型宽,名称,鱼雷,水雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,关注度,制造厂,_id,图片,武装,次型,满载排水量,活动范围,下水时间,服役时间,前型,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
7.5米,039型“宋”级潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,300米,2250吨,NULL,江南造船厂和武昌造船厂,{'$oid': '5cc931ea831b973d657f1798'},http://images.huanqiu.com/sarons/2013/07/dbc299d1af6bbe4358f08e559b48c127.jpg,NULL,039A型潜艇（元级潜艇）,NULL,太平洋,1994年,1999年5月,035型潜艇（明级潜艇）,中国,NULL,常规潜艇,1992年,NULL,,22节,28天,1700吨,NULL,4节航速水下航行3300海里
6.3米,214级常规攻击型潜艇,NULL,NULL,舰船舰艇,22人,65米,NULL,400米,1800吨,NULL,哈德威造船厂（HDW）,{'$oid': '5cc931ea831b973d657f1799'},http://images.huanqiu.com/sarons/2013/07/0a0d495322a14263ab7feae47519ae31.jpg,NULL,NULL,NULL,印度洋，太平洋，大西洋，地中海,NULL,2010年11月2日,209级,德国,NULL,常规潜艇,2001年1月16日,212级,"214级潜艇是德国在畅销全球的209级潜艇基础上设计出来的新一代潜艇，哈德威造船厂（HDW,Howaldtswerke-Deutsche Werft）在209型潜艇基础上做动力性能提升的潜艇，同时将212A远洋型潜艇的优点引进214潜艇设计里，因此214型被看作是209型的接替产品，目前已经出口多国。",20节,84天,1700吨,现役,4节航速行驶1248海里
7米,212A级常规攻击型潜艇,NULL,NULL,舰船舰艇,18人,55.9米,NULL,700米,1830吨,NULL,哈德威造船厂（HDW）,{'$oid': '5cc931ea831b973d657f179a'},http://images.huanqiu.com/sarons/2013/07/f4f77b86c0eebec556dcf2a6f0fcf2a1.jpg,NULL,NULL,NULL,大西洋波罗的海地中海,2005年,NULL,209级,德国,NULL,常规潜艇,2003年,212A级,"
212级潜艇，是1990年由德国哈德威造船厂（HDW）和北海工程公司（NSWE）以209级1200型潜艇为母型，所设计制造的新一级柴电动力潜艇。德国海军将其作为走向21世纪的主力潜艇。
",20节,21天,1450吨,现役,8节航速水面航行时航程8000英里
6.25米,209级潜艇,NULL,NULL,舰船舰艇,22人,62米,NULL,320米,1586吨,NULL,哈德威造船厂（HDW ）,{'$oid': '5cc931eb831b973d657f179b'},http://images.huanqiu.com/sarons/2013/07/d6f6b9f64cf2f09996f54418f2e4c389.jpg,NULL,NULL,NULL,NULL,NULL,1994年7月,206型,德国,500-2000吨,常规潜艇,1971年,214型,209型潜艇是一种柴电动力的攻击型潜艇，由德国哈德威造船厂（HDW）设计研制，20世纪60年代末外销。到2009年为止，209型潜艇已成功出口到13个国家和地区，在全球各地，已生产同型舰艇近60艘，是西方外销量最大的潜艇。,22.5节,50天,1454吨,NULL,8节航速水下通气管航行时航程8 000英里
4.6米,206A级常规攻击型潜艇,NULL,NULL,舰船舰艇,23人,48.6米,NULL,200米,498吨,NULL,德国哈德威造船厂（HDW）,{'$oid': '5cc931eb831b973d657f179c'},http://images.huanqiu.com/sarons/2013/07/be9afbaf9d8b521fc2b1a39c89d5eeef.jpg,NULL,212A型潜艇， 209型潜艇（外销型）,NULL,大西洋，波罗的海，地中海，印度洋,NULL,1973年4月19日,205型潜艇,德国,NULL,常规潜艇,20世纪60年代,206型潜艇,"
德国的206A级潜艇原为206型潜艇，即U型潜艇，206A级潜艇是它的升级版。206A级潜艇是一种小型近岸柴电动力潜艇，最早由德国哈德威造船厂（HDW）以之前205型潜艇为基础建造而成，首艇U13(S192)于1962年开发设计完成，1973年开始服役于德国海军。
",17节,5天,450吨,全部退役,5节航速水面航行时航程4500英里
9.9米,“基洛”级常规潜艇,NULL,NULL,舰船舰艇,39人,72.6米,NULL,240米,3076吨,(4.9分),红宝石设计局,{'$oid': '5cc931eb831b973d657f179d'},http://images.huanqiu.com/sarons/2013/07/a54bbf212a121365d9d3fd94335f35d5.jpg,NULL,NULL,NULL,北冰洋太平洋,1979年,1982年,T型,苏/俄,2000-5000吨,常规潜艇,1974,NULL,基洛级常规动力攻击潜艇（Kilo class，基洛为Kilo的音译）目前是俄罗斯海军战后第三代主力柴电潜艇。基洛级潜艇以火力强大、噪音小而闻名，是目前俄罗斯出口量最大的潜艇。,17节,45天,2325吨,NULL,7节航速水下通气管航行航程6000英里；3节航速水下潜航航程400英里
8.4米,“元”级（041型）常规攻击型潜艇,NULL,NULL,舰船舰艇,65人,72米,NULL,300米,3600吨,NULL,武昌造船厂,{'$oid': '5cc931eb831b973d657f179e'},http://images.huanqiu.com/sarons/2013/07/db00e8a51560faec98cdae57fcf73ea9.jpg,NULL,NULL,NULL,NULL,2004年5月31日,NULL,NULL,中国,NULL,常规潜艇,NULL,NULL,,20节,NULL,2300吨,NULL,未知
6.8米,“阿戈斯塔”级常规动力潜艇,NULL,NULL,舰船舰艇,47人,67.7米,NULL,350米,1760吨,NULL,NULL,{'$oid': '5cc931eb831b973d657f179f'},http://images.huanqiu.com/sarons/2013/07/dc11be08f5194e52d95210d2e043e5b8.jpg,NULL,鲉鱼级潜艇，红宝石级核子攻击潜艇，S-80型潜艇（西班牙）,NULL,NULL,NULL,1977年,达弗尼级潜艇,法国,500-2000吨,常规潜艇,1971年,NULL,"
“阿戈斯塔”级潜艇（又称称“奥古斯塔”级潜艇Agosta class submarine，西班牙称S-70型潜艇），为法国DCNS公司研发制造的常规动力潜艇，是法国政府在1971~1975年的第三个5年建设计划中的产物,1977年开始进入海军服役。
",20节,45天,1510吨,NULL,9节航速水下通气管航行时航程8 500英里
7.8米,“柯林斯”级常规潜艇,NULL,NULL,舰船舰艇,36人,77.8米,NULL,300米,3353吨,NULL,澳大利亚工业部,{'$oid': '5cc931eb831b973d657f17a0'},http://images.huanqiu.com/sarons/2013/07/d9812fa91011889317bf778b81379d86.jpg,NULL,NULL,3353吨,太平洋,1993年8月28日,1995年,NULL,澳大利亚,2000-5000吨,常规潜艇,1989,NULL,"柯林斯级潜艇是由澳大利亚工业部门生产的，被普遍认为是世界上常规潜艇中能力最强的一种潜艇。澳大利亚官员称，世界上没有其他常规潜艇在技术方面能超过""柯林斯""级潜艇，在水中，柯林斯级常规潜艇几乎无法被发现。",20节,70天,3051吨,NULL,10节航速水下通气管航行9000英里
7.2米,“维多利亚”级常规攻击型潜艇,NULL,NULL,舰船舰艇,55人,70.26米,NULL,200米,2400吨,NULL,英国维克斯造船与工程有限公司（VSEL）,{'$oid': '5cc931eb831b973d657f17a1'},http://images.huanqiu.com/sarons/2013/07/9c00b43968d151a7d4ec4f5d2d8c234f.jpg,NULL,NULL,NULL,大西洋太平洋,1986年12月,NULL,NULL,英国,2000-5000吨,常规潜艇,1983年11月,NULL,“维多利亚”级潜艇，原名“支持者”级，共四艘，是英国维克斯造船与工程有限公（VSEL）在上世纪70年代末为英国海军研制一款新型常规攻击型潜艇。尽管性能优越，但刚列装不久，即面临被淘汰的命运。最终，于1998年，被加拿大政府低价购回，重新命名为“维多利亚”级潜艇，进入加拿大皇家海军服役。,20节,49天,2200吨,NULL,8节航速水下通气管，航行航程8 000英里
6.2米,“天蝎座”级常规攻击性潜艇,NULL,NULL,舰船舰艇,31人,66.4米,NULL,350米,1564吨,NULL,法国DCNS公司与西班牙Navantia公司（IZAR）,{'$oid': '5cc931eb831b973d657f17a2'},http://images.huanqiu.com/sarons/2013/07/25fe97d0a35a8c3213e33f6927468745.jpg,NULL,NULL,NULL,NULL,NULL,2005年9月9日,NULL,法国,NULL,常规潜艇,2003年10月23日,NULL,"
“天蝎座”级（或称“鲉鱼”级潜艇、“天蝎星”级潜艇）为法国DCNS公司与西班牙Navantia公司（IZAR）联合研发制造的常规动力潜艇。“天蝎座”级潜艇的设计是结合了西班牙的常规动力潜艇与法国“凯旋”级核潜艇的部分概念，共有三种型号，标准型、AIP型和缩小版型。
",20节,50天,1668吨,NULL,8节水面航速航行时航程6 500英里；4节水下航速航行时航程550英里；4节水下航速航行时航程360英里(马来西亚)
8.4米,SS-793/海龙号,NULL,NULL,舰船舰艇,58人,66.92米,NULL,240米,2600吨,NULL,Wilton-Fyenood造船厂,{'$oid': '5cc931eb831b973d657f17a3'},http://images.huanqiu.com/sarons/2014/01/4e033cfadaf3a1d82f52b398800ceec1.jpg,NULL,NULL,NULL,NULL,1986年10月4日,1987年12月28日,NULL,中国,500-2000吨,常规潜艇,1982年,海虎号,,20节,60天,2300吨,在役,18520公里（水面）
6.8米,“海豚”级常规攻击型潜艇,NULL,NULL,舰船舰艇,35人,57.3米,NULL,350米,1900吨,NULL,哈德威造船厂（HDW）,{'$oid': '5cc931ec831b973d657f17a4'},http://images.huanqiu.com/sarons/2013/07/554488856b0c353500dd729d6d20fd64.jpg,NULL,NULL,NULL,地中海印度洋,NULL,1998年4月,NULL,德国,NULL,常规潜艇,1992年,海豚号、黎凡塞号和泰库玛号,"
""海豚""级潜艇为以色列海军的常规动力潜艇，由哈德威造船厂（HDW）和蒂森北海工厂(TNSW)共同负责建造。海豚级潜艇的厂方编号为“Type 800”，为209型潜艇及212型潜艇的改良型，但不被视为是209型的家族成员，基本设计反而类似最新的212型。以色列海军用该艇来替代70年代购得的盖尔级潜艇。
",20节,60天,1640吨,现役,8节航速水面航行时航程8 000英里，8节航速水下航行时航程420英里
6.8米,“桂树神”（Daphné）级（“汉果”级，“青花鱼”级，“海豚”级）常规攻击型潜艇,NULL,NULL,舰船舰艇,50人,57.8米,NULL,300米,1043吨,NULL,NULL,{'$oid': '5cc931ec831b973d657f17a5'},http://images.huanqiu.com/sarons/2013/07/e0bdc9315ab0aced3fc1b30abd19624a.jpg,NULL,NULL,NULL,NULL,NULL,1964年,NULL,法国,NULL,常规潜艇,1964年,NULL,“桂树神”级常规潜艇，又称“女神”级，是法国由“林仙”级发展而来的一级反潜潜艇。该级潜艇建造于1964年-1969年，首艇于1964年服役，现役9艘。该级艇1971年改装了武备和电子探测装置。,16节,30天,869吨,NULL,5节航速水面航行时航程4500英里，7节航速水下通气管航行时航程3 000英里
6.2米,“哥特兰” (Gotland)级(A 19)常规攻击型潜艇,NULL,NULL,舰船舰艇,24人,60.4米,NULL,300米,1599吨,NULL,瑞典考库姆公司,{'$oid': '5cc931ec831b973d657f17a6'},http://images.huanqiu.com/sarons/2013/07/6c3b2d017e1f467c0e603fdf54275721.jpg,NULL,南曼兰级潜艇 A-26型潜艇,NULL,NULL,1995年2月2日,1996年,所罗门级（A-11型）海蛇级（A-12型）水怪级（A-14型）西约特兰级（A-17型）,瑞典,500-2000吨,常规潜艇,1992年11月20日,3艘,,20节,15天,1494吨,服役中,未知
5.4米,乌拉(Ula)级常规攻击型潜艇,NULL,NULL,舰船舰艇,21人,59米,NULL,200米,1150吨,NULL,NULL,{'$oid': '5cc931ec831b973d657f17a7'},http://images.huanqiu.com/sarons/2013/07/d007d25cec7455fc56c854bae8e1cf0b.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,挪威,NULL,常规潜艇,1989年,NULL,,23节,40天,1040吨,NULL,8节航速时航程5000英里
10米,“春潮”(Harushio)级常规攻击型潜艇,NULL,NULL,舰船舰艇,65人,77米,NULL,300米,2750吨,NULL,日本三菱重工业神户造船所，川崎造船神户工场,{'$oid': '5cc931ec831b973d657f17a8'},http://images.huanqiu.com/sarons/2013/07/dd2e674713fa6239d12f0fe238ec4dc9.jpg,NULL,“亲潮”级,NULL,NULL,NULL,1990年11月30日,“夕潮”级,日本,NULL,常规潜艇,1987年4月21日,“春潮”号(SS583)，“夏潮”号(SS 584)，“早潮”号(SS 585)，“荒潮”号(SS586)，“若潮”号(SS 587)，“冬潮”号(SS588)，“朝潮”号(TSS3601，原SS 589),"
春潮级潜艇为日本海上自卫队的常规动力潜艇。1987年，由日本三菱重工业神户造船所和川崎造船神戸工场分别开工建造。春潮级的舰体比法国的红宝石级(Rubis class)核动力攻击潜舰还大一些，设计上延续前型“涡潮”级、“汐潮”级一脉相承的基本构型，但在舰体长度增长1米，直径略增，排水量增大，其他在人员适居性、舰体材料、潜航续航力、静音能力、水下侦测等方面都有许多改进。所以，春潮级基本上是汐潮级的改良型。
",20节,45天,2450吨,退役，部分转为训练潜舰或测试平台,未知
8.9米,“亲潮”（Oyashio）级常规攻击型潜艇,NULL,NULL,舰船舰艇,59人,81.7米,NULL,500米,3000吨,NULL,日本三菱重工业神户造船所和川崎造船神戸工场,{'$oid': '5cc931ec831b973d657f17a9'},http://images.huanqiu.com/sarons/2013/07/abce60603d4998eb24f33e746af18bcf.jpg,NULL,“苍龙”级潜艇,NULL,NULL,1996年10月15日,1998年3月16日,“春潮”级潜艇,日本,NULL,常规潜艇,1994年1月26日,NULL,"
“亲潮”级潜艇为日本海上自卫队的常规动力潜艇之一。“亲潮”级潜艇是由日本三菱重工业神户造船所和川崎造船神户工场，分别在1998年3月至2008年3月完成11艘的舰造工程。较前一型“春潮”级潜艇有更良好的操控性能、潜航深度的增大、续航力增加、情报处理能力更优越，算是“春潮”级潜艇的改良加大版。
",20节,21天,2750吨,现役,不详
8.4米,“海象”(Walrus)级常规攻击型潜艇,NULL,NULL,舰船舰艇,55人,67.7米,NULL,450米,2800吨,NULL,鹿特丹干船坞公司,{'$oid': '5cc931ec831b973d657f17aa'},http://images.huanqiu.com/sarons/2013/07/693266549f036b23285e0cc7dbcbd0ce.jpg,NULL,海鳗级潜艇,NULL,NULL,NULL,1992年,荷兰旗鱼级潜舰剑鱼级潜艇,荷兰,NULL,常规潜艇,1979年12月,“海象”“海豚”“布鲁因维斯”号“海狮”,"
海象级潜舰是荷兰海军目前唯一现役潜舰群，从90年代开始服役，都以海洋哺乳动物命名，特殊之处在于接近十字形状的舰尾；其升降舵和方向舵是X型排列。这种船尾是60年代由美军USS Albacore (AGSS-569)号率先使用。
",20节,NULL,2465吨,服役中,9节航速水下通气管航行时航程10 000英里
9.9米,“夕潮”（Yuushio） 级常规动力潜艇,NULL,NULL,舰船舰艇,61人,76米,NULL,300米,2450吨,NULL,日本三菱重工业神户造船所，川崎重工神户造船厂,{'$oid': '5cc931ec831b973d657f17ab'},http://images.huanqiu.com/sarons/2013/07/7855d88197090ba791f4b744c6b2ced8.jpg,NULL,“春潮”级,NULL,太平洋,1979年3月29日,1980年2月26日,“涡潮”级,日本,2000-5000吨,常规潜艇,1976年12月21日,NULL,"
夕潮级(又称汐潮级)潜艇为日本海上自卫队的常规动力潜舰，由日本三菱重工业神户造船所和川崎重工神户造船厂建造。首舰于1976年开工，共建造同级型10艘分别在1980年至1989年服役，以每年一艘的速度成军。
",20节,NULL,2250吨,退役,未知
61米,“索德蒙兰”（Sǒdermanland）级常规攻击型潜艇,NULL,NULL,舰船舰艇,24人,60.5米,NULL,300米,1600吨,NULL,英国考库姆公司,{'$oid': '5cc931ec831b973d657f17ac'},http://images.huanqiu.com/sarons/2013/07/a3a7baf96e5effc6f2b1863a3e1822ab.jpg,NULL,NULL,NULL,NULL,1988年4月12日,1989年4月21日,NULL,瑞典,NULL,常规潜艇,未知,NULL,,20节,NULL,1500吨,现役,未知
6.1米,“海蛇”(Sjoormen)级(A 12)常规攻击型潜艇,NULL,NULL,舰船舰艇,18人,51米,NULL,250米,1210吨,NULL,瑞典考库姆造船公司,{'$oid': '5cc931ed831b973d657f17ad'},http://images.huanqiu.com/sarons/2013/07/cd2b2cf579e91d4c0512b9c69380507a.jpg,NULL,NULL,NULL,NULL,1967年1月25日,1968年7月31日,NULL,瑞典,NULL,常规潜艇,1967年-1968年,NULL,"
“海蛇”级潜艇以反潜为主要任务。它是瑞典考库姆舰船公司于二战后研制的第一代采用单轴、单螺旋桨推进的现代化潜艇。瑞典海军原来共有5艘“海蛇”级潜艇，其中1艘早已退役，另4艘分别名为“海熊”、“海蛇”、“海狮”和“海狗”号，全部卖给了新加坡。新加坡将其更名为“挑战者”级，4艘艇分别更名为“挑战者”、“征服者”、“百人队长”和“酋长”号。“海蛇”级潜艇的指挥台围壳尺寸相对较大，是瑞典第一代采用围壳舵的潜艇。
",20节,21天,1130吨,在役4艘,未知
9.8米,“敏捷”（Swiftsure）级核动力攻击型潜艇,NULL,NULL,舰船舰艇,98人,82.9米,NULL,500米,4900吨,NULL,维克斯造船与工程有限公司,{'$oid': '5cc931ed831b973d657f17ae'},http://images.huanqiu.com/sarons/2013/07/76cb8006ac9e9835aefd67d777dd3de7.jpg,NULL,“特拉法加”级,NULL,NULL,1971年9月7日,1973年4月17日,“丘吉尔”级,英国,NULL,常规潜艇,1969年6月6日,6艘,"
“敏捷”（Swiftsure）级是在20世纪70年代初至2010年为英国皇家海军服役的核动力攻击型潜艇。共有6艘建成并服役。到2010年“敏捷”级陆续退役，逐渐被“机敏”级潜艇取代。除了本身的鱼雷装备，水雷和反舰导弹，一些潜艇得以升级，新增了发射战斧式巡航导弹的能力。“敏捷”（Swiftsure）级核动力攻击型潜艇也是英国皇家海军第一批配备喷水式推进器的潜艇。
",30节,NULL,4400吨,退役,不限
6.8米,“萨乌罗”级常规攻击型潜艇,NULL,NULL,舰船舰艇,55人,63.9米,NULL,300米,1631吨,NULL,意大利芬坎特里造船公司蒙法尔科内造船厂,{'$oid': '5cc931ed831b973d657f17af'},http://images.huanqiu.com/sarons/2013/07/ebd2152ba9f2469657092a1e566d2a57.jpg,NULL,“托达罗”级潜艇,NULL,地中海，大西洋,1976年10月1日,1980年2月12日,“托蒂”级潜艇,意大利,500-2000吨,常规潜艇,1974年6月27日,NULL,,19节,NULL,1456吨,5艘升级服役中，3艘退役,11节航速水面航行时航程11000英里，4节航速水下航行时航程250英里
0.8米,Chariot CE2F/X100T潜水员输送载具 ,NULL,NULL,舰船舰艇,1人,7米,NULL,100米,NULL,NULL,Cosmos Spa(意大利，里窝那),{'$oid': '5cc931ed831b973d657f17b0'},http://images.huanqiu.com/sarons/2013/11/204a5c7adc26fc0b004a73f34f1451f4.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,意大利,NULL,常规潜艇,NULL,NULL,,NULL,NULL,2吨,NULL,50海里
5.6米,MG110小型潜水艇,两个21英寸(533毫米)发射管；两枚AEG SUT鱼雷；线导；主动导航12公里(65英里)，35节；被动导航签公里(15英里)，23节；弹头250千克外加两枚短程主动/被动导航鱼雷或两艘潜水员输送载具(SDV)。水雷,NULL,舰船舰艇,8人,27.8米,NULL,150米,110吨,NULL,Cosmos SpA(意大利，里窝那)(巴基斯坦特许生产),{'$oid': '5cc931ed831b973d657f17b1'},,NULL,NULL,NULL,欧洲,NULL,NULL,SX 756型潜艇,意大利,500吨以内,常规潜艇,未知,NULL,"
在意大利Cosmos公司监管下，三艘MG 110型潜艇在巴基斯坦生产。这些潜艇是意大利Cosmos公司设计的SX 756型潜艇的扩大版潜水深度为150米，可乘载八名蛙人和两吨爆炸物以及两艘CF2 FX 60 SDV(潜水员输送载具)。
",9节,NULL,102吨,NULL,NULL
6.7米,033型（R级）常规攻击潜艇,NULL,NULL,舰船舰艇,47人,76.6米,NULL,300米,1800吨,NULL,上海江南造船厂,{'$oid': '5cc931ed831b973d657f17b2'},,NULL,NULL,3200吨,中国，朝鲜，埃及,1963年8月,1965年9月,前苏联633型,中国,2000-5000吨,常规潜艇,1960年,NULL,"
033型常规动力潜艇，是原苏联633型,北约代号R级(ROEMO)的改进型，是根据“二四协定”，向中国有偿转让，由中国进行仿制的。是中国生产批量最大的一型潜艇，其中出口朝鲜7艘埃及4艘。1960年开始中国化修改和国产化工作，至1967年基本完成，并命名为033型，出口型号ES5A型。至1987年停产时，我国共建造了106艘。
",15节,45天,1400吨,部分在役,NULL
4米,小型潜艇,NULL,6枚Mk 21水雷，弹头300千克；8枚Mk11，弹头50千克。,舰船舰艇,4人,23米,NULL,96560.64米,70吨,NULL,Cosmcs SpA(意人利，里窝那),{'$oid': '5cc931ed831b973d657f17b3'},,NULL,NULL,70吨,北美洲,NULL,NULL,NULL,意大利,500吨以内,常规潜艇,未知,NULL,"
两艘该艇被哥伦比亚海军列为“战术潜艇”。它可以运载八名蛙人和两吨的爆炸物以及两艘潜水员输送载具(SDV)。该艇的排水量最初设计为40吨，但后来于20世纪80年代初扩大了。
",11节,NULL,58吨,NULL,NULL
6.2米,“卡克拉”（209）级潜艇（SSK）,8-21英寸(533毫米)艇首鱼雷管道；14枚AEG SUTMod o型鱼雷；,NULL,舰船舰艇,28人,59.5米,NULL,500米,1390吨,NULL, 霍瓦特-德意志造船厂(德国),{'$oid': '5cc931ee831b973d657f17b4'},http://images.huanqiu.com/sarons/2013/11/33910116ed0a4db2c5d34e31f37ba3ab.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,德国,500-2000吨,常规潜艇,NULL,NULL,"
“卡克拉”(Cakra)209型是德国德意志船厂开发的一款专供出口开发的柴电攻击潜艇。其艇首部分较高，尾部略低，艇舵浮出。主要装备印度尼西亚海军。目前已成功出口到13个国家。
",11节,50天,1285吨,NULL,NULL
2.1米,Orca潜水员输送载具（SDV）,NULL,NULL,舰船舰艇,5人,13.27米,NULL,100米,NULL,NULL,NULL,{'$oid': '5cc931ee831b973d657f17b5'},http://images.huanqiu.com/sarons/2013/11/98ffc385c8f6fce84309f5c5d05fc088.jpg,NULL,NULL,NULL,欧洲,NULL,NULL,NULL,德国,NULL,常规潜艇,NULL,NULL,"
Orca潜水员输送载具是为了实现多种隐蔽性任务而设计的，它能够独自在海岸区域执行可视与感知的侦察行动，信息采集和探雷的战斗任务。该防水艇允许潜水员从艇体上部或底部的闸门装置进出该艇。因为没有气泡冒出而且在任何情况下也不会扰乱水的状态，所以保证了其保密性。
",5节,NULL,NULL,NULL,150海里
8.6米,031型（G级）常规动力导弹潜艇,NULL,NULL,舰船舰艇,74人,98米,NULL,300米,2950吨,NULL,大连造船厂,{'$oid': '5cc931ee831b973d657f17b6'},http://images.huanqiu.com/sarons/2013/11/0e2ce74334806f8f83bc3c8a82822adf.jpg,NULL,NULL,5300吨,NULL,1964年9月,1966年8月,NULL,中国,5000-10000吨,常规潜艇,1960年,NULL,,17节,NULL,2350吨,现役,水上（6000海里/15节）
3.8米,“跤”(Sanger-O)级潜艇,NULL,NULL,舰船舰艇,23人,35.5米,NULL,NULL,277吨,NULL,新浦(朝鲜),{'$oid': '5cc931ee831b973d657f17b7'},http://images.huanqiu.com/sarons/2013/11/d5b298a38efe2ce41fdddf391fc400ec.jpg,NULL,NULL,277吨,亚洲,NULL,NULL,NULL,朝鲜,500吨以内,常规潜艇,未知,NULL,"
“跤”(Sanger-O)级潜艇被大量用于执行侵入任务。该艇可潜入海底，报道称常规训练包括潜水员从潜望镜的深度处离艇登陆。“跤”在执行短期任务时，一些艇员可能被特种部队所取代。
",8.8节,NULL,256吨,NULL,2700英里
7.6米,030型（W级）常规动力攻击潜艇,NULL,NULL,舰船舰艇,53人,76米,NULL,200米,1320吨,NULL,上海江南造船厂,{'$oid': '5cc931ee831b973d657f17b8'},,NULL,NULL,2540吨,中国海域,1956年3月,1957年10月,NULL,中国,2000-5000吨,常规潜艇,1954年4月,NULL,,17节,30天,1080吨,已退役,18.25节
7.6米,035改进型明级潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,武昌造船厂,{'$oid': '5cc931ee831b973d657f17b9'},,NULL,NULL,3697吨,中国,1971年7月,1974年4月,NULL,中国,2000-5000吨,常规潜艇,1969年10月,NULL,"
该型艇是1967年由中央军委批准，自行研制的中国第一代常规动力鱼雷攻击潜艇。该艇第一次采用了尖尾线型，采用了航向自动操舵仪和深度自动操舵仪，在所有航速范围内潜艇保证有正常的操纵性。035型潜艇首制艇于1969年10月开工，1974年4月交付海军使用。
",18节,60天,1584吨,NULL,NULL
NULL,MG120/ER浅水攻击型潜艇（SWAT）,NULL,NULL,舰船舰艇,21人,30米,NULL,NULL,NULL,NULL,Cosmos SpA(意大利，里窝那),{'$oid': '5cc931ee831b973d657f17ba'},,NULL,NULL,NULL,欧洲,NULL,NULL,NULL,意大利,NULL,常规潜艇,未知,NULL,"
MG 120/ER是为了能够在大型潜艇无法完全发挥潜能的浅水区执行攻击和防卫任务而设计的。该潜艇也可以通过沿着海底缓慢的潜航来进一步提升其行动的秘密性。MG 120/ER浅水攻击型潜艇的一个突出特性是它的航程，它的航程在海面上超过2000英里。
",NULL,NULL,120吨,NULL,2000余英里
