型宽,名称,鱼雷,水雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,关注度,制造厂,_id,图片,武装,次型,满载排水量,活动范围,下水时间,服役时间,前型,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
2.5米,“尤纳”级小型潜艇,NULL,NULL,舰船舰艇,10人,18.8米,NULL,120米,88吨,NULL,斯普利特造船厂(克罗地亚，斯普利特),{'$oid': '5cc931ee831b973d657f17bb'},,NULL,NULL,88吨,欧洲,NULL,NULL,NULL,克罗地亚,500吨以内,常规潜艇,未知,NULL,"
“尤纳”(Una)级潜艇带有离艇/再进入的能力并且可以布雷。它可携带六名蛙人和四具蛙人输送艇以及水下爆破弹。潜水深为120米(394英尺)。电池仅可在海岸或是靠补给舰充电。克罗地亚和前南斯拉夫拥有多款尚存的该艇，克罗地亚拥有两艘，前南斯拉夫拥有六艘。
",4节,NULL,76吨,NULL,NULL
7.6米,342号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,武昌造船厂，江南造船厂,{'$oid': '5cc931ef831b973d657f17bc'},,NULL,NULL,NULL,NULL,NULL,1987年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,18节,NULL,1584吨,NULL,NULL
7.6米,352号常规动力攻击潜艇,NULL,NULL,舰船舰艇,10人,76米,NULL,300米,2113吨,NULL,武昌造船厂，江南造船厂,{'$oid': '5cc931ef831b973d657f17bd'},,NULL,NULL,NULL,NULL,NULL,1990年12月,033型,中国,2000-5000吨,常规潜艇,1988年8月,NULL,"
035型，北约称为“明”级，为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。 
",18节,NULL,1584吨,NULL,NULL
7.6米,310号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,78米,NULL,300米,2113吨,NULL,武昌制造厂，江南制造厂,{'$oid': '5cc931ef831b973d657f17be'},,NULL,NULL,NULL,NULL,NULL,2001年, 033型,中国,2000-5000吨,常规潜艇,NULL,NULL,"
310号潜艇，属于035B型。（中国海军提出继续对035型实施改进，以便形成高低搭配。该型号被命名为035B。主要改进之处是：进一步改进外形，包括指挥台围壳和部分艇体的重新设计，排水孔结构、布排方式大幅度改变，类似于039型潜艇上布置；艇艏水声设备改进为先进型号；武备方面则正式具有了潜射飞航导弹的能力。）
",18节,NULL,1584吨,NULL,NULL
3.1米,“裕古”和P-4级小型潜艇,NULL,NULL,舰船舰艇,7人,20米,NULL,NULL,110吨,NULL,Yukdaesu-ri shipyard(朝鲜),{'$oid': '5cc931ef831b973d657f17bf'},,NULL,NULL,110吨,NULL,NULL,NULL,NULL,朝鲜,500吨以内,常规潜艇,1987年,NULL,"
“裕古”(Yugo)级潜艇存在多款设计。新款是1987年后采用前南斯拉夫设计生产，至少有一艘出口到了伊朗。部分型号带有两个外置的短的鱼雷发射管和排气管道。指挥塔对潜水员来说相当于进出潜艇的隔问。
",8节,NULL,90吨,NULL,NULL
7.6米,356号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,江南造船厂,{'$oid': '5cc931ef831b973d657f17c0'},,NULL,NULL,NULL,NULL,NULL,1991年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,中国江南造船厂在20世纪90建造，属于明级常规潜艇的一员，型号035G。在1991年交付部队开始服役，035G型潜艇共计建造23艘，现役约19艘，356号常规动力攻击潜艇便是其中一艘。,18节,NULL,1584吨,在役,NULL
76米,309号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,78米,NULL,5.1米,2113吨,NULL,武昌制造厂，江南制造厂,{'$oid': '5cc931ef831b973d657f17c1'},,NULL,NULL,NULL,NULL,NULL,2000年,035型,中国,2000-5000吨,常规潜艇,NULL,NULL,"
309号常规动力攻击潜艇，隶属于035B型。主要改进之处是：进一步改进外形，包括指挥台围壳和部分艇体的重新设计，排水孔结构、布排方式大幅度改变，类似于039型潜艇上布置；艇艏水声设备改进为先进型号；武备方面则正式具有了潜射飞航导弹的能力。
",18节,NULL,1584吨,NULL,NULL
7.6米,355号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,NULL,{'$oid': '5cc931ef831b973d657f17c2'},,NULL,NULL,NULL,NULL,1991年,1991年,NULL,中国,2000-5000吨,常规潜艇,1990年,NULL,355号常规动力攻击潜艇属于035型常规潜艇，035型潜艇总体综合作战性能并不高，电子设备较为落后，尤其是早期型号没有整体作战指挥中心。但对中国自行研制潜艇是一个重要的开端，到了70年代末，随着035型潜艇的研制，中国已逐步形成了从科研设计到生产，从总体到材料设备，从试验到使用维修的完整体系和全国配套协作网，基本完成了第一代潜艇的自行研制任务。,18节,NULL,1854吨,服役中,NULL
7.6米,305号常规动力攻击潜艇,NULL,NULL,舰船舰艇,45人,76米,NULL,300米,NULL,NULL,武昌造船厂,{'$oid': '5cc931f0831b973d657f17c3'},,NULL,NULL,2110吨,南海,NULL,1998年,NULL,中国,2000-5000吨,常规潜艇,20世纪90年代,NULL,305号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,18节,60天,1585吨,服役中,NULL
7.6米,354号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,武昌造船厂，江南造船厂,{'$oid': '5cc931f0831b973d657f17c4'},,NULL,NULL,NULL,NULL,NULL,1990年,033型,中国,2000-5000吨,常规潜艇,NULL,NULL,北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。1985年开始研制改进提高型，即035G型(又称ES5E)。改装型艇的设计，要求在保持原035型艇总体性能基本不变的前提下，在武器系统、水声设备、噪声控制、改善生活和工作条件等方面，进行多方面的改进，大规模更新艇载设备，使艇的作战能力、生存能力、隐蔽性、可靠性、安全性等均有一定程度的提高。,18节,NULL,1584吨,NULL,NULL
7.6米,307号常规动力攻击潜艇,NULL,NULL,舰船舰艇,45人,76米,NULL,300米,NULL,NULL,武昌造船厂,{'$oid': '5cc931f0831b973d657f17c5'},,NULL,NULL,2110吨,南海,NULL,1999年,NULL,中国,2000-5000吨,常规潜艇,20世纪90年代,NULL,307号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,18节,60天,1585吨,NULL,NULL
7.6米,353号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,武昌造船厂，江南造船厂,{'$oid': '5cc931f0831b973d657f17c6'},,NULL,NULL,NULL,NULL,NULL,1989年,033型,中国,2000-5000吨,常规潜艇,NULL,NULL,北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。1985年开始研制改进提高型，即035G型(又称ES5E)。改装型艇的设计，要求在保持原035型艇总体性能基本不变的前提下，在武器系统、水声设备、噪声控制、改善生活和工作条件等方面，进行多方面的改进，大规模更新艇载设备，使艇的作战能力、生存能力、隐蔽性、可靠性、安全性等均有一定程度的提高。,18节,NULL,1584吨,NULL,NULL
7.6米,306号常规动力攻击潜艇,NULL,NULL,舰船舰艇,45人,76米,NULL,300米,NULL,NULL,武昌造船厂,{'$oid': '5cc931f0831b973d657f17c7'},,NULL,NULL,2110吨,南海,NULL,1998年,NULL,中国,2000-5000吨,常规潜艇,20世纪90年代,NULL,306号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。,18节,60天,1585吨,服役中,NULL
7.6米,357号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,江南造船厂,{'$oid': '5cc931f0831b973d657f17c8'},,NULL,NULL,NULL,NULL,NULL,1992年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
357号常规动力攻击潜艇作为明级常规动力攻击潜艇系列的一员，由中国江南造船厂在20世纪90年代开工建造，在1992年交付于中国北海舰队开始服役，主要任务是袭击敌人的各种舰艇和运输船只,破坏敌人海上交通线,攻击敌人的港口、基地或岸上目标,进行侦察和巡逻,布放水雷,输送物资和人员等。
",18节,NULL,1584吨,在役,NULL
7.6米,360号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,江南造船厂,{'$oid': '5cc931f0831b973d657f17c9'},,NULL,NULL,NULL,NULL,NULL,1995年,NULL,中国,2000-5000吨,常规潜艇,1994年,NULL,"
360号常规动力攻击潜艇隶属于中国的北海舰队。中国海军目前拥有的现役的22艘明级常规潜艇之一，其标准战斗编制为57人，其中军官10人。
",18节,NULL,1584吨,在役,NULL
9.9米,基洛级（877EKM/636/636M型）364号常规潜艇,NULL,NULL,舰船舰艇,50人,72.9米,NULL,300米,3950吨,NULL,NULL,{'$oid': '5cc931f0831b973d657f17ca'},,NULL,NULL,NULL,NULL,NULL,1995年,NULL,苏/俄,2000-5000吨,常规潜艇,NULL,NULL,"
基洛级364号，舷号：364，型号：877EKM；主要用途：常规动力攻击潜艇，1995年开始服役。
",20节,45天,2300吨,NULL,NULL
8.4米,远征18号（318）常规动力攻击潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,NULL,2250吨,NULL,NULL,{'$oid': '5cc931f1831b973d657f17cb'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,2000-5000吨,常规潜艇,21世纪初,NULL,"
远征18号（318）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。
",22节,NULL,1700吨,服役中,NULL
8.4米,远征17号（317）常规动力攻击潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,NULL,2250吨,NULL,NULL,{'$oid': '5cc931f1831b973d657f17cc'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,2000-5000吨,常规潜艇,21世纪初,NULL,"
远征17号（317）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",22节,NULL,1700吨,服役中,NULL
7.6米,308号常规动力攻击潜艇,NULL,NULL,舰船舰艇,45人,76米,NULL,300米,NULL,NULL,武昌造船厂,{'$oid': '5cc931f1831b973d657f17cd'},,NULL,NULL,2110吨,南海,NULL,1999年,NULL,中国,2000-5000吨,常规潜艇,20世纪90年代,NULL,"
308号常规动力攻击潜艇属035型常规动力潜艇，北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。
",18节,60天,1585吨,服役中,NULL
8.4米,远征16号（316）攻击潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,NULL,2250吨,NULL,NULL,{'$oid': '5cc931f1831b973d657f17ce'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,常规潜艇,21世纪初,NULL,"
远征16号（316）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",22节,NULL,1700吨,服役中,NULL
7.6米,361号常规动力攻击潜艇,NULL,NULL,舰船舰艇,57人,76米,NULL,300米,2113吨,NULL,NULL,{'$oid': '5cc931f1831b973d657f17cf'},,NULL,NULL,2113吨,中国东海,NULL,1995年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,中国自行研制的第一代常规动力鱼雷攻击潜艇。编号361的“明”级柴电潜艇在渤海和黄海交界处进行训练时，因机械故障失事。艇上70名官兵全部罹难。,18节,NULL,1584吨,NULL,NULL
7.6米,359号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,江南造船厂,{'$oid': '5cc931f1831b973d657f17d0'},,NULL,NULL,NULL,NULL,NULL,1994年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,359号常规潜艇作为明级潜艇家族的一员，359号常规动力攻击潜艇也是由中国江南造船长于20世纪90年代建造，进入军队服役的时间为1994年，隶属于中国北海舰队。,18节,NULL,1584吨,服役中,NULL
7.6米,358号常规动力攻击潜艇,NULL,NULL,舰船舰艇,47人,76米,NULL,300米,2113吨,NULL,江南造船厂,{'$oid': '5cc931f1831b973d657f17d1'},,NULL,NULL,NULL,NULL,NULL,1993年,NULL,中国,2000-5000吨,常规潜艇,1992年,NULL,"
358号常规动力攻击潜艇属于攻击型潜艇，这类潜艇的主要任务是袭击敌人的各种舰艇和运输船只，破坏敌人海上交通线，攻击敌人的港口、基地或岸上目标，进行侦察和巡逻，布放水雷，输送物资和人员等。这些潜艇执行的任务、实施攻击作战行动的范围以及所发挥的作用往往都属于战术性的。因此，攻击潜艇也被称作战术潜艇。
",18节,NULL,1584吨,在役,NULL
NULL,（039A/039B型）330号核潜艇,NULL,NULL,舰船舰艇,65人,NULL,NULL,NULL,3600吨,NULL,NULL,{'$oid': '5cc931f1831b973d657f17d2'},,NULL,NULL,NULL,NULL,2004年5月31日,2006年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
039AB型AIP混合动力潜艇的批量装备，对于提高人民海军潜艇部队在东北亚，乃至整个亚太地区的战争潜力都有着重大的意义。我国首型AIP混合动力潜艇039AB型，已经批量生产并装备部队使用。该型艇自首艇于2004年露面以来，在短短的5年时间内（截止到09年），已累计有5艘出现在我们面前。如此迅捷的生产与技术定型，如此快速的批量生产装备速度，在我国自主研发的潜艇项目中都是不多见的。这证明随着我国国防费用稳定持续的投入，国内潜艇工业体系在自主研发和建造能力上已经有了显著的进步。
",NULL,NULL,2300吨,NULL,NULL
8.4米,远征23号（323）常规攻击潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,350米,2250吨,NULL,NULL,{'$oid': '5cc931f1831b973d657f17d3'},,NULL,NULL,NULL,NULL,NULL,2005年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
远征23号（323）常规攻击潜艇，舷号：323，型号：039G；常规动力攻击潜艇。
",22节,NULL,1992吨,NULL,NULL
8.4米,远征21号（321）常规动力攻击潜艇,NULL,NULL,舰船舰艇,60人,74.9米,NULL,NULL,2250吨,NULL,NULL,{'$oid': '5cc931f2831b973d657f17d4'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,2000-5000吨,常规潜艇,21世纪初,NULL,"
远征21号（321）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",22节,NULL,1700吨,服役中,NULL
8.4米,远征14号（314）常规攻击潜艇,NULL,NULL,舰船舰艇,60人,74.9米,NULL,350米,2250吨,NULL,NULL,{'$oid': '5cc931f2831b973d657f17d5'},,NULL,NULL,NULL,NULL,NULL,2003年11月,NULL,中国,NULL,常规潜艇,NULL,NULL,"
远征14号常规攻击潜艇舷号314，型号039G1。
",22节,NULL,1992吨,NULL,NULL
7.6米,362号常规动力攻击潜艇,NULL,NULL,舰船舰艇,57人,76米,NULL,NULL,NULL,NULL,上海沪东造船厂,{'$oid': '5cc931f2831b973d657f17d6'},,NULL,NULL,2113吨,NULL,NULL,1996年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
北约称为“明”级。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准研制，由701所以033型为母型负责总体研究设计。035G型包含356-363常规动力攻击潜艇，以提高作战能力为中心的现代化改装的035潜艇已成为中国海军的一型主力潜艇。
",NULL,NULL,1584吨,NULL,NULL
9.9米,基洛级（877EKM/636/636M型）365号常规潜艇,NULL,NULL,舰船舰艇,60人,72.6米,NULL,300米,3076吨,NULL,共青城造船厂,{'$oid': '5cc931f2831b973d657f17d7'},,NULL,NULL,NULL,NULL,1980年9月,1982年,NULL,苏/俄,2000-5000吨,常规潜艇,1974年,NULL,"
基洛级潜艇（英语：Kilo-class submarine）是一些西方国家对苏联海军在上个世纪八十年代开始建造的一型常规潜艇的北约代号。其正式名称为877型潜艇（俄语：Подводные лодки проекта 877）绰号：比目鱼（Палтус）。

  本型艇是原苏联海军时代研制的最成功的常规潜艇，主要用于在近海浅水区域进行反舰与反潜作战，是目前俄罗斯出口量最大的潜艇等级。以火力强大、噪音小而闻名，尔后基洛级在经过现代化等改装后形成了基洛级改进型（Improved Kilo），俄方正式命名636型潜艇（Подводные лодки проекта 636），绰号：华沙之歌（Варшавянка）。其改进型更成为了柴电动力潜艇中的佼佼者，是世界上最安静的柴电潜艇之一。
",17节,45天,2325吨,NULL,NULL
8.4米,远征28号常规攻击潜艇(328),NULL,NULL,舰船舰艇,50人,74.9米,NULL,350米,2250吨,NULL,江南造船厂,{'$oid': '5cc931f2831b973d657f17d8'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
远征28号常规攻击潜艇(328)属于039G1系列潜艇，是在039型潜艇的基础上改进而来，装备了德国制造的MTU 16V396 SE8柴油机，动力良好。目前主要服役于中国海军。
",22节,NULL,1992吨,NULL,NULL
8.4米,远征22号（322）,NULL,NULL,舰船舰艇,50人,74.9米,NULL,NULL,2250吨,NULL,NULL,{'$oid': '5cc931f2831b973d657f17d9'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,2000-5000吨,常规潜艇,21世纪初,NULL,"
远征22号（322）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",22节,NULL,1700吨,服役中,NULL
8.4米,远征20号（320）常规动力攻击潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,NULL,2250吨,NULL,NULL,{'$oid': '5cc931f2831b973d657f17da'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
远征20号（320）属039G型常规动力攻击潜艇，北约称为“宋级改”，为039型重大改进型。该型潜艇与基型相比最主要的区别是其指挥台围壳进行了重新设计。
",22节,NULL,1700吨,在役,NULL
8.4米,远征15号（315）常规攻击潜艇,NULL,NULL,舰船舰艇,60人,74.9米,NULL,350米,2250吨,NULL,NULL,{'$oid': '5cc931f3831b973d657f17db'},,NULL,NULL,NULL,NULL,NULL,2003年12月,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,,22节,NULL,1992吨,NULL,NULL
8.4米,远征13号（313）常规攻击潜艇,NULL,NULL,舰船舰艇,60人,74.9米,NULL,350米,2250吨,NULL,NULL,{'$oid': '5cc931f3831b973d657f17dc'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,中国,NULL,常规潜艇,NULL,NULL,"
远征13号常规攻击潜艇舷号313，型号039G1，明级035B型常规攻击潜艇。
",22节,NULL,1992吨,NULL,NULL
9.9米,基洛级（877EKM/636/636M型）367号潜艇,NULL,NULL,舰船舰艇,60人,73.8米,NULL,240米,3076吨,NULL,红宝石设计局,{'$oid': '5cc931f3831b973d657f17dd'},,NULL,NULL,3126吨,东海,NULL,20世纪90年代,NULL,苏/俄,2000-5000吨,常规潜艇,20世纪90年代,NULL,"
俄制“基洛”级潜艇，前苏联于70年代初“红宝石”设计局设计的常规潜艇，是前苏联研制的最后一级常规潜艇，也是俄罗斯海军最先进的常规潜艇，原型编号877型，出口型编号877EKM，改进型为636型。“基洛”级1974年开始设计，1979年开工，首艇1981年建成入役。

而基洛级367号潜艇所属的636型潜艇是在877型的基础上又进行了改进提高，其降低动力装置的转速，采用了七叶大侧斜螺旋桨，增大充电功率提高了充电能力，改进降噪措施，进一步降低了噪声。
",19节,45天,2325吨,服役中,NULL
NULL,363号常规动力攻击潜艇,NULL,NULL,舰船舰艇,57人,NULL,NULL,300米,2113吨,NULL,NULL,{'$oid': '5cc931f3831b973d657f17de'},,NULL,NULL,NULL,NULL,NULL,1996年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
""明”级（035型）潜艇。为中国自行研制第一代常规动力鱼雷攻击潜艇。1967年由中央军委批准，自行研制的中国第一代常规动力鱼雷攻击潜艇。035型潜艇首制艇于1969年10月开工，1974年4月交付海军使用。1979―1989年与1992―1994年间曾两度停建，进行现代化改装型艇的设计，改进艇于1988年8月开工，1990年底交艇，1993年定型，至今已建造了一小批交付海军使用。
",NULL,NULL,1584吨,NULL,NULL
8.4米,远征24号（324）常规攻击潜艇,NULL,NULL,舰船舰艇,60人,74.9米,NULL,350米,2250吨,NULL,NULL,{'$oid': '5cc931f3831b973d657f17df'},,NULL,NULL,NULL,NULL,NULL,2005年,NULL,中国,2000-5000吨,常规潜艇,NULL,NULL,"
远征24号常规攻击潜艇舷号324，型号039G1，宋级039A级常规攻击潜艇。
",22节,NULL,1992吨,NULL,NULL
8.4米,远征29号（329）常规攻击潜艇,NULL,NULL,舰船舰艇,50人,74米,NULL,350米,2250吨,NULL,武汉造船厂，江南造船厂,{'$oid': '5cc931f3831b973d657f17e0'},,NULL,039A型潜艇（元级潜艇）,NULL,NULL,NULL,NULL,035型潜艇（明级潜艇）,中国,2000-5000吨,常规潜艇,2004年6月3日,13艘以上,,22节,NULL,1992吨,NULL,NULL
8.2米,629级/高尔夫级(G级) 弹道导弹柴电潜艇,NULL,NULL,舰船舰艇,80人,98.4米,NULL,300米,3553吨,NULL,阿穆尔共青城北德文斯克,{'$oid': '5cc931f3831b973d657f17e1'},http://images.huanqiu.com/sarons/2013/12/b8bbeda7e31bae5f5fd6e3c4829dd041.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,2000-5000吨,常规潜艇,1957年,NULL,,15节,70天,2794吨,1990年前全部除役,NULL
10米,651型/朱莉叶级（J级）,NULL,NULL,舰船舰艇,82人,90米,NULL,235米,4137吨,NULL,NULL,{'$oid': '5cc931f3831b973d657f17e2'},http://images.huanqiu.com/sarons/2013/12/a4a306af9d4f931944f9765374ede074.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,2000-5000吨,常规潜艇,NULL,NULL,"
J级常规动力飞航导弹潜艇（苏俄代号：651级。北约代号：Juliett Class，另“茱莉叶级”、“朱莉叶级”）是苏联研制的第一个独立级别的以巡航导弹为主武器的潜艇，J级由W级潜艇改装型号发展而来。最初计划建造35艘，实际建造16艘，全部J级潜艇于1992年以前除役。
",16.8节,NULL,3174吨,NULL,NULL
6.8米,奥古斯塔级潜艇,NULL,NULL,舰船舰艇,41人,67.6米,NULL,500米,1760吨,NULL,DCNS公司,{'$oid': '5cc931f4831b973d657f17e3'},,NULL,NULL,NULL,NULL,NULL,1977年,NULL,法国,500-2000吨,常规潜艇,NULL,NULL,"
奥古斯塔级潜艇是法国DCNS公司研发制造的常规动力潜艇，它是法国依据1980年代的国际市场需求，对原有的“奥古斯塔级”潜艇进行改进和更新后，所形成的新款设计，最大的差异在动力采用了最新科技的AIP系统。
",20.5节,45天,1480吨,西班牙和巴基斯坦服役中、法国除役,NULL
6.3米,613型/威士忌级(W级）,"6座533毫米鱼雷发射管（前4后2）；火炮",NULL,舰船舰艇,52人,76米,NULL,200米,1340吨,NULL,红色索尔莫沃工厂，黑海造船厂，波罗的海工厂，共青城,{'$oid': '5cc931f4831b973d657f17e4'},http://images.huanqiu.com/sarons/2013/12/be62dd5c80b61e8e4531793fc37f8623.jpg,NULL,Z级潜艇,NULL,NULL,1950年10月（首舰）,1951年12月（首舰）,首型,苏/俄,500-2000吨,常规潜艇,1950年3月（首舰）,NULL,,18.25节,30天,1050吨,除印尼所属以外全部除役,NULL
NULL,安德拉斯塔级潜艇,NULL,NULL,舰船舰艇,NULL,48.8米,NULL,200米,NULL,NULL,法国DCNS公司,{'$oid': '5cc931f4831b973d657f17e5'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,法国,500-2000吨,常规潜艇,NULL,NULL,"
安德拉斯塔级潜艇（SMX-23 Andrasta SSK）为法国DCNS公司研发设计，于2008年9月发表的一款常规动力潜艇，目前为概念舰阶段，尚无实体。
",15节,5天,855吨,只是概念舰,NULL
7.9米,627A型/十一月级(N级) ,"座533毫米鱼雷发射管；20枚鱼雷；其中通常6枚1万5千吨当量核鱼雷。",NULL,舰船舰艇,104人,107.4米,NULL,310米,4750吨,NULL,北德文斯克的402造船厂（列宁共青团号）,{'$oid': '5cc931f4831b973d657f17e6'},http://images.huanqiu.com/sarons/2013/12/862b71b428f33c4f1de8c661611cd469.jpg,NULL,V级核潜艇,NULL,太平洋，,1957年8月9日（列宁共青团号）,1958年12月17日（列宁共青团号）,首型,苏/俄,2000-5000吨,常规潜艇,1954年6月（列宁共青团号）,13艘。,,20节,60天,3065吨,1990年左右集中退役。,NULL
