型宽,名称,鱼雷,水雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,关注度,制造厂,_id,图片,武装,次型,满载排水量,活动范围,下水时间,服役时间,前型,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
7米,677型/拉达级,NULL,NULL,舰船舰艇,35人,72米,NULL,400米,NULL,NULL,NULL,{'$oid': '5cc931f4831b973d657f17e7'},http://images.huanqiu.com/sarons/2013/12/adcd08b3ec1644e75277baa4b83a913a.jpg,NULL,NULL,NULL,NULL,2005年11月29日,NULL,NULL,苏/俄,2000-5000吨,常规潜艇,NULL,NULL,"
拉达级柴电动力攻击潜艇（俄文：Лада，意为和谐 俄军代号：677级）是俄罗斯自苏联解体后研制的第一级柴电潜艇，由红宝石设计局负责设计研制。该级潜艇北约代号为圣彼得堡级，以拉达级首舰“圣彼得堡”号，但这个名称似乎没有得到大多数国家的承认。拉达级是苏俄第四代柴电动力潜艇，较基洛级潜艇有较大的发展，俄罗斯官方称该级潜艇比基洛级更加安静。该艇装备了高自动化的战斗系统，从而将艇员减至35人。外界推测该级将可能装备AIP推进系统。
",NULL,45天,1675吨,NULL,NULL
8.4米,远征27号（327）常规攻击潜艇,NULL,NULL,舰船舰艇,50人,74.9米,NULL,350米,2250吨,NULL,武汉造船厂，江南造船厂,{'$oid': '5cc931f4831b973d657f17e8'},,NULL,039A型潜艇（元级潜艇）,NULL,NULL,NULL,NULL,035型潜艇（明级潜艇）,中国,NULL,常规潜艇,2004年6月3日,13艘以上,"
039型常规动力潜艇（西方称：宋级），为我国自行设计建造的第二代常规动力潜艇。039型潜艇在研制过程中充分吸收西方发达国家常规潜艇的新概念，大量采用新型动力、自动化设备、声呐和武器装备。其作战能力预计与俄制基洛级持平，超越德国二十世纪80年代水平的209潜艇。阶梯状的指挥台围壳是039型外观上最显著的特征。目前有039、039G、039G1三型号序列。2007年起有外销泰国和巴基斯坦的计划。
",22节,NULL,1992吨,NULL,NULL
9米,1710型白鲸级试验潜艇,NULL,NULL,舰船舰艇,22人,64米,NULL,300米,2480吨,NULL,孔雀石设计局,{'$oid': '5cc931f4831b973d657f17e9'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,2000-5000吨,常规潜艇,1987年,NULL,"
1710型，白鲸级试验潜艇，由“孔雀石”设计局设计。在技术设计阶段前，总设计师是A.K.纳扎罗夫，以后为马斯卡列夫和B.H.皮亚诺夫。是一型在实航条件下进行高速潜艇的快速性、操纵性、推进和声学性能等方面试验研究的科研试验潜艇。
",26.6节,3天,1460吨,NULL,NULL
9.8米,690型/欢欣级（B级）潜艇,NULL,NULL,舰船舰艇,65人,73米,NULL,NULL,2947吨,NULL,NULL,{'$oid': '5cc931f4831b973d657f17ea'},,NULL,NULL,NULL,NULL,NULL,1967年,NULL,苏/俄,2000-5000吨,常规潜艇,NULL,NULL,"
690工程，北约代号Bravo欢欣级，该型潜艇是反潜武器的试验艇，共建造了4艘，首艇于1967年服役。该级艇建造数量和影响力都很有限。
",14节,NULL,2439吨,NULL,NULL
7.5米,611型/祖鲁级(Z级) ,NULL,NULL,舰船舰艇,65人,90.5米,"鱼雷",200米,2400吨,NULL,NULL,{'$oid': '5cc931f4831b973d657f17eb'},http://images.huanqiu.com/sarons/2013/12/604b0968ba9b92242cc03de2a1a89e64.jpg,NULL,NULL,NULL,NULL,1952年（首艇）,NULL,NULL,苏/俄,2000-5000吨,常规潜艇,1950年,共26艘,,18节,58天,1831吨,NULL,NULL
NULL,S级潜艇,NULL,NULL,舰船舰艇,33人,77.75米,NULL,NULL,935吨,NULL,NULL,{'$oid': '5cc931f5831b973d657f17ec'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,英国,500-2000吨,常规潜艇,1930年,NULL,"
S级潜艇是一种中型巡逻潜艇，用于北欧和地中海海域的作战活动。这种潜艇操纵性能较好，下潜速度快，鱼雷携带数量也较多。具备较强的生存能力和攻击力。
",NULL,NULL,640吨,NULL,NULL
NULL,T级潜艇,NULL,NULL,舰船舰艇,59人,83.82米,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc931f5831b973d657f17ed'},http://images.huanqiu.com/sarons/2013/12/c857793b51757d54dcc55d3af13d0eaa.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,英国,5000-10000吨,常规潜艇,NULL,NULL,"
T级潜艇是被设计用来替代O级、P级和R级艇，其排水量保持在1325吨左右是为了在伦敦条约许可的潜艇吨位范围内建造更多的潜艇。同S级艇相比，T级艇的鱼雷数量和燃料更多，潜艇本身的设计在战争期间一直得到改进，如在远东海域作战的潜艇就设计了附加的外部储油舱以增加航程。T级潜艇在大战中共损失了15艘。
",NULL,NULL,NULL,NULL,NULL
2.75米,鲑鱼级/玉桂级/Yono 潜艇,"2具533毫米鱼雷发射管。",NULL,舰船舰艇,NULL,29米,NULL,NULL,130吨,NULL,NULL,{'$oid': '5cc931f5831b973d657f17ee'},http://images.huanqiu.com/sarons/2013/12/14d23be39b280fa7da473b2f153d57ff.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,朝鲜,500吨以内,常规潜艇,NULL,NULL,"
鲑鱼级潜艇（英语：Yono class submarine），或译玉桂级潜艇，是朝鲜建造的微型潜艇。这个名称仅是国际所使用的通用代称，而该型潜艇在朝鲜的官方名称仍然不明。截至2010年5月，据报朝鲜拥有10艘鲑鱼级潜艇。
",11节,NULL,95吨,NULL,NULL
7.4米,641型/狐步级(F级) ,"10座533毫米鱼雷发射管（前6后4）。",NULL,舰船舰艇,78人,89.9米,NULL,245米,2515吨,NULL,NULL,{'$oid': '5cc931f5831b973d657f17ef'},http://images.huanqiu.com/sarons/2013/12/f6c9096da102fa50b948f26da865bdb5.jpg,NULL,T级潜艇,NULL,太平洋,NULL,1958年（首舰）,z级潜艇,苏/俄,2000-5000吨,常规潜艇,NULL,75艘,,16节,5天,1983吨,退役之后的F级潜艇有许多被当做了博物馆。,NULL
5.1米,615型/魁北克潜艇/Q级 AIP潜艇,NULL,NULL,舰船舰艇,33人,56米,NULL,140米,540吨,NULL,NULL,{'$oid': '5cc931f5831b973d657f17f0'},http://images.huanqiu.com/sarons/2013/12/aeb371758b310ac208c588808b07ed74.jpg,NULL,NULL,NULL,NULL,NULL,1952年,NULL,苏/俄,500-2000吨,常规潜艇,NULL,NULL,"
Q级潜艇（北约代号“魁北克”）是苏联第一种AIP潜艇.苏联代号是615型。1952年研制成功.安装了闭式循环柴油机动力。第二次世界大战后，苏联利用从德国获取的闭循环柴油机技术，结合本国的经验设计。正常排水量400吨，下潜深度140米。使用两台功率各为700HP的M-50n型闭循环柴油机。M-50n以液氧为氧化剂，以氢氧化钙为二氧化碳吸收剂， 这种潜艇极度危险。
",16节,NULL,460吨,退役,NULL
6.83米,扫罗级潜艇 ,NULL,NULL,舰船舰艇,55人,66米,NULL,300米,1630吨,NULL,意大利芬坎特里造船公司,{'$oid': '5cc931f5831b973d657f17f1'},,NULL,托达罗级潜艇,NULL,NULL,NULL,NULL,托蒂级潜艇,意大利,500-2000吨,常规潜艇,NULL,纳扎里奥扫罗系列Ⅰ-Ⅱ萨尔瓦托佩洛西系列Ⅲ普里莫隆戈巴尔多系列Ⅳ,扫罗级潜艇（Sauro class submarine；或译“苏诺级”、“沙洛级”）、为意大利海军使用的常规动力潜艇。由意大利芬坎特里造船公司设计在蒙法尔科内镇的造船厂制造。1980年至1995年间、以四个系列（亚型、改良型）分三批建造完成、正式投入意大利海军服役。其中1988年就役的系列Ⅲ在升级作战系统，之后的系列Ⅳ进行了各项装备更新等。2003年开始对老旧的系列Ⅰ-Ⅱ进行除役，同时计划以德国制的212型潜艇作为下一代舰型取代绍罗级潜艇。,12节,NULL,1456吨,NULL,NULL
2米,南联级/Yugo微型潜艇,"2具533毫米鱼雷发射管。",NULL,舰船舰艇,NULL,20米,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc931f5831b973d657f17f2'},,NULL,鲨鱼级潜艇,NULL,NULL,NULL,NULL,NULL,朝鲜,500吨以内,常规潜艇,1960年代,NULL,,10节,NULL,NULL,NULL,NULL
9.7米,940型/印度级(I级)救援潜艇,NULL,NULL,舰船舰艇,94人,106米,NULL,1000米,6840吨,NULL,NULL,{'$oid': '5cc931f5831b973d657f17f3'},http://images.huanqiu.com/sarons/2013/12/b324174bda9a3ea509c4c02d3a7e1945.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,5000-10000吨,常规潜艇,NULL,NULL,"
印度级(INDIA)—I级，这是一型柴电动力潜艇。940型由“天青石”设计局设计，主要任务是搜索失事潜艇，做好使失事潜艇上浮的各项援救工作。和深潜器母船不同，940型不受海情限制，能在任何气候条件下，从500米水深处将艇员援救出艇。
",15节,45天,3940吨,NULL,NULL
6.7米,633型/罗密欧级(R级) ,NULL,NULL,舰船舰艇,54人,76.6米,NULL,600米,1830吨,NULL,高尔基造船厂，望江造船厂，武昌造船厂，广州造船厂，江南造船厂，葫芦岛造船厂。,{'$oid': '5cc931f6831b973d657f17f4'},http://images.huanqiu.com/sarons/2013/12/f6d6238a1145f52ec45bb537572876a3.jpg,"8具533毫米鱼雷发射管；（艇首6具，艇尾2具）14枚鱼雷（包括鱼-1和鱼-4）；或28枚水雷。",F级潜艇,NULL,NULL,NULL,NULL,W级潜艇,苏/俄,500-2000吨,常规潜艇,1963年（033型）,NULL,,15.2节,45天,1475吨,NULL,NULL
3.8米,鲨鱼级/成山高级/Sang-O,"2具533毫米鱼雷发射管。",NULL,舰船舰艇,20人,34米,NULL,NULL,277吨,NULL,NULL,{'$oid': '5cc931f6831b973d657f17f5'},http://images.huanqiu.com/sarons/2013/12/aed0a6d01c64c1bcb2dc5f36feb7dced.jpg,NULL,鲑鱼级潜艇 (朝鲜),NULL,NULL,NULL,NULL,南联级潜艇,朝鲜,500吨以内,常规潜艇,NULL,NULL,,8.8节,NULL,256吨,NULL,NULL
6.81米,马可尼级潜艇,NULL,NULL,舰船舰艇,57人,76.5米,NULL,90米,1510吨,NULL,NULL,{'$oid': '5cc931f6831b973d657f17f6'},,NULL,NULL,NULL,NULL,1939年7月30日,1940年2月20日,NULL,意大利,500-2000吨,常规潜艇,1938年9月19日,NULL,"
马可尼级六艘潜艇是二次大战爆发前不久的1938年海军计划中建造的一型潜艇，是稍早前建造的马切洛（Marcello）级潜艇的改进型号，由意大利设计师贝尔纳提斯（Bernadis）设计，各艇艇名均以历史人物命名。这级潜艇可以说是二次大战爆发前意大利最先进，也是最好的远洋潜艇。
",17.8节,NULL,1214吨,NULL,NULL
NULL,巡洋级/卡秋莎级/K级,NULL,NULL,舰船舰艇,NULL,97.65米,NULL,NULL,2095吨,NULL,NULL,{'$oid': '5cc931f6831b973d657f17f7'},,NULL,NULL,NULL,NULL,NULL,1939年-1959年,NULL,苏/俄,2000-5000吨,常规潜艇,1939年,NULL,"
K级又称卡秋莎级，K级（巡洋级）大型远洋潜艇（2095吨）是II级（真理级）的改进型为1940年投建的。
",21节,NULL,1480吨,NULL,NULL
6.8米,海豚级潜艇,NULL,NULL,舰船舰艇,45人,57米,NULL,NULL,NULL,NULL,德国基尔的哈德威造船厂,{'$oid': '5cc931f6831b973d657f17f8'},http://images.huanqiu.com/sarons/2013/12/c3af9af1b1c50f1463f3bf65a87a62f0.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,以色列,500-2000吨,常规潜艇,NULL,目前3艘；海豚号、黎凡塞号和泰库玛号另外追订2艘,"
海豚级潜艇为以色列海军的常规动力潜舰、后型舰为绝气推进动力潜艇，由德国基尔的哈德威造船厂（HDW）所设计的一项新型潜艇，并由哈德威造船厂（HDW）和蒂森北海工厂(TNSW)共同负责造舰工程。该艇用于替代以海军70年代购得的盖尔级潜艇。

海豚级潜艇特色在于多了一段可供两栖特战人员进出的舱段，并装载潜水推送器(SDV)执行输送特种部队的任务。2000年报道称以在印度洋完成了核巡航导弹的试射,因此它还担负着核报复的任务。
",NULL,NULL,1640吨,在役,NULL
1.98米,SX-404级微型潜艇,NULL,NULL,舰船舰艇,12人,18.01米,NULL,40米,NULL,NULL,NULL,{'$oid': '5cc931f6831b973d657f17f9'},,NULL,海狮级潜艇,NULL,NULL,1969年,NULL,NULL,中国,500吨以内,常规潜艇,1969年,巴基斯坦微型潜艇,"
SX-404级微型潜艇是中国台湾海军的微型潜艇，是中国台湾海军最早的潜艇。该型微型潜艇主要为从事训练,侦查及岸际渗透、水下渗透等任务。
",7.2节,NULL,40吨,NULL,NULL
6.2米,哥特兰级潜艇,NULL,NULL,舰船舰艇,24人,60.4米,NULL,300米,NULL,NULL,瑞典考库姆公司,{'$oid': '5cc931f7831b973d657f17fa'},,NULL,南曼兰级潜艇、A-26型潜艇,NULL,大西洋,NULL,NULL,所罗门级（A-11型）-出口新加坡、海蛇级（A-12型）、水怪级（A-14型）-出口丹麦、西约特兰级（A-17型）-出口新加坡,瑞典,2000-5000吨,常规潜艇,NULL,哥特兰号、乌普兰号、哈兰德号等3艘,哥特兰级潜艇（A-19型潜艇）、为瑞典考库姆公司设计制造的常规动力潜艇。它是世界上第一艘装配斯特林发动机绝气推进系统（AIP动力系统）的潜舰。该系统能延长潜艇在水中潜航耐力达数天甚至数周之久，并有效降低传统动力系统运作产生的噪音。,NULL,NULL,1494吨,NULL,NULL
6.1米,西约特兰级/射手级/南曼兰级,NULL,NULL,舰船舰艇,28人,60.5米,NULL,300米,1150吨,NULL,瑞典考库姆公司设计制造,{'$oid': '5cc931f7831b973d657f17fb'},,NULL,哥特兰级潜艇,NULL,NULL,NULL,NULL,挑战者级-新加坡水怪级（A-14型）-瑞典,瑞典,500-2000吨,常规潜艇,NULL,射手号、剑客号等4艘,"
西约特兰级潜艇（A-17型潜艇）、为瑞典考库姆公司设计制造的常规动力潜艇。建造于1983年-1988年间，共有4艘。在2003年其中2艘进行改良升级，加装了斯特林发动机，被重新命名为南曼兰级潜艇；另外2艘则在2005年11月，出售给新加坡，并同时进行升级改良，达到近乎""南曼兰级""的水平，于2009年6月16日在瑞典卡尔斯克鲁纳(Karlskrona)完成第一艘射手号(RSS Archer)的下水交舰作业。新加坡重新命名为射手级潜艇，预计2艘将于2010年正式服役。
",20节,NULL,1070吨,服役中,NULL
5.9米,海豚号/Delfino/德尔菲诺 ,NULL,NULL,舰船舰艇,66人,46.3米,NULL,910米,860吨,NULL,NULL,{'$oid': '5cc931f7831b973d657f17fc'},,NULL,NULL,NULL,NULL,NULL,1968年8月17日,NULL,美国,500-2000吨,常规潜艇,NULL,NULL,"
2006年9月22日，美国海军役龄最长，也是目前唯一的一艘常规动力潜艇———AGSS-555“海豚”号退役。“海豚”号主要承担美国海军新型技术与先进概念的验证与研究，具有相当高的机密等级。

1968年11月，“海豚”号创造了美国海军潜艇水下914．4米持续航行深度的记录。除深潜器之外，“海豚”号是目前世界上下潜深度最大的可载有多名艇员的常规动力潜艇。1969年8月，“海豚”号在大深度上进行了鱼雷发射试验，为美国海军其后研制的各型鱼雷奠定了重要基础。“海豚”号还是第一艘发射移动式潜艇诱饵装置的潜艇，美国核潜艇上目前装备的潜艇诱饵装置，都是以此为基础发展起来的。“海豚”号是世界上第一艘成功与飞机之间进行光学通信的潜艇，是第一艘对新型潜艇用BQS-15声呐进行成功试验的潜艇，是第一艘与飞机成功进行大深度水下激光双向通信的潜艇。
",10节,15天,600吨,NULL,NULL
8.3米,海狮级潜艇,NULL,NULL,舰船舰艇,70人,93.57米,NULL,NULL,2420吨,NULL,美国Portsmouth造船厂,{'$oid': '5cc931f7831b973d657f17fd'},http://images.huanqiu.com/sarons/2014/01/955468834710cd9bbf6e636670eb90cc.jpg,NULL,NULL,2420吨,NULL,1944年11月5日（海狮号）,1945年3月17日（美军）,NULL,美国,500-2000吨,常规潜艇,1944年7月10日（海狮号）,NULL,,20.25节,NULL,1870吨,在役,NULL
6.8米,大青花鱼级潜艇 ,NULL,NULL,舰船舰艇,54人,57.8米,NULL,300米,NULL,NULL,NULL,{'$oid': '5cc931f7831b973d657f17fe'},,NULL,NULL,NULL,NULL,NULL,NULL,NULL,葡萄牙,500-2000吨,常规潜艇,NULL,NULL,"
大青花鱼级潜艇为葡萄牙海军的常规动力潜舰，是仿制法国的达弗尼级潜艇。1964年，葡萄牙政府下令建造四艘同级舰，已取代老旧的海王星级潜艇；在1967年开始运作。
",NULL,NULL,860吨,NULL,NULL
7.77米,T级潜艇 (1937年) ,NULL,NULL,舰船舰艇,48人,84.28米,NULL,NULL,1560吨,NULL,NULL,{'$oid': '5cc931f7831b973d657f17ff'},http://images.huanqiu.com/sarons/2013/12/abbdec63cb6c2918a805dc40eed66bb5.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,英国,500-2000吨,常规潜艇,NULL,NULL,"
英国T级潜艇又称TRITON级是于二战前开建的一种柴电动力潜艇，共建成55艘。在皇家荷兰海军中使用的4艘该艇被称为剑鱼级。英国人用它来代替过时的O级（奥丁级）、P级（帕提亚级）和R级（彩虹级）。
",15.5节,NULL,1290吨,NULL,NULL
6.3米,郑地号潜艇,NULL,NULL,舰船舰艇,27人,65米,NULL,250米,1860吨,NULL,NULL,{'$oid': '5cc931f7831b973d657f1800'},,NULL,NULL,NULL,太平洋,2007年6月13日,NULL,NULL,韩国,500-2000吨,常规潜艇,NULL,NULL,"
“郑地”号潜艇是韩国海军214型潜水艇舷号SS-073。于2007年6月13日下午在蔚山现代重工业下水。郑地（1347年 - 1391年）是高丽王朝时期的将领，曾在抗击倭寇的海战中立下一系列战功。据韩联社报道，“郑地”号是继“孙元一”号之后的韩国国产第二艘214型潜艇。

于2007年6月13日下午在蔚山现代重工业下水。郑地（1347年 - 1391年）是高丽王朝时期的将领，曾在抗击倭寇的海战中立下一系列战功。据韩联社报道，“郑地”号是继“孙元一”号之后的韩国国产第二艘214型潜艇。

该艘潜艇的设计和主要部件由HDW公司的基尔船厂提供，韩国214型潜艇由现代重工集团公司根据HDW公司的许可证在蔚山的船厂建造。“郑地”号在通过试运之后，于2008年11月28日向韩国国防采办项目局(DAPA)交付，韩国海军于12月2号接受了该艘潜艇，进行实战部署。
",20节,NULL,1700吨,NULL,NULL
8.4米,SS-794海虎号潜艇,NULL,NULL,舰船舰艇,58人,66.92米,NULL,240米,2660吨,NULL,NULL,{'$oid': '5cc931f7831b973d657f1801'},,NULL,NULL,2376吨,SS-794海虎号潜艇,NULL,1988年7月4日,NULL,中国,2000-5000吨,常规潜艇,1987年4月9日,海龙号,"
海虎号潜艇，编号“SS-794”，是中国台湾海军256战队剑龙级潜艇的二号舰，其优点在于低噪音、隐蔽性好，为中国台湾海军的主力潜艇。主要任务包括：水中反潜、攻击敌方军舰、支援特种作战等。海虎号是中国台湾海军“剑龙专案”中，于1982年委托荷兰建造的剑龙级潜艇中的其中一艘（另一艘是海龙号）。于1986年下水，1988年7月4日服役。在中国台湾海军的现役舰艇中，作战力名列前茅。海虎号曾和海龙号多次编队执行汉光演习，为中国台湾捍卫领海的最佳利器。
",20节,60天,2376吨,现役,NULL
5.4米,乌拉级潜艇,NULL,NULL,舰船舰艇,21人,59米,NULL,250米,1150吨,NULL,挪威康斯堡公司,{'$oid': '5cc931f7831b973d657f1802'},,NULL,NULL,NULL,NULL,NULL,NULL,科本级潜艇（207型潜艇）,德国,500-2000吨,常规潜艇,1988年4月-1991年,乌拉号、乌齐拉号、乌特斯坦号、乌特瓦尔号等6艘,"
乌拉级潜艇（U-210型潜艇）、为德国北海公司与挪威康斯堡公司联合设计研发，委托在德国埃姆登生产制造，并于挪威皇家海军服役的常规动力潜艇。

该型舰源于1972年、挪威皇家海军（RNoN）计划建立一支现代化潜艇部队，以取代老旧的207型潜艇。乌拉级潜艇的设计，在本国（挪威）的康斯堡集团(Kongsberg Gruppen)负责作战系统及部分船体、压力壳的制造，主动声纳采用德国的阿特拉斯电子公司所属系统和被动声纳采用法国的汤姆逊系统；最后统筹于德国埃姆登的北海造船公司(Nordseewerke)装配完成。首艘于1989年完工服役。
",23节,40天,1040吨,服役中,NULL
7.6米,支持者级潜艇,NULL,NULL,舰船舰艇,47人,70.26米,NULL,200米,2455吨,NULL,维克斯造船与工程有限公司,{'$oid': '5cc931f8831b973d657f1803'},,NULL,NULL,NULL,太平洋,NULL,NULL,奥伯龙级潜艇,加拿大,2000-5000吨,常规潜艇,1987年,温莎号(SSK 877)布鲁克角号(SSK 878)奇科迪米号(SSK 879)维多利亚号(SSK 876)、共4艘,支持者级潜艇（或称‘拥护者级’；加拿大命名：‘维多利亚级潜艇’）为英国的维克斯造船与工程有限公司（VSEL）在1979年设计，建于1987年-1993年；然而，初步计划是要建造12艘该系列潜艇，最终因经费问题被减为4艘。它们在英国皇家海军服役时间并没有持续太久，在1993年-1994年后它们便退出英国皇家海军行列。,20节,49天,2168吨,NULL,NULL
5.85米,VII型U艇,NULL,NULL,舰船舰艇,52人,67.1米,NULL,220米,871吨,NULL,船舶建设工程局,{'$oid': '5cc931f8831b973d657f1804'},http://images.huanqiu.com/sarons/2014/07/bb206d1fcad9ba1a6555d70dc83323be.jpg,NULL,无,745吨,NULL,1936年6月,1940年（U-69号）,UB III级,德国,NULL,常规潜艇,第一次世界大战后期,NULL,,17.7节,NULL,769吨,全部已退役,11470米
8米,XXI型U艇,NULL,NULL,舰船舰艇,57人,76.7米,NULL,500米,NULL,NULL,U2501-2531（第一批次，建造厂布洛姆·福斯汉堡船厂）,{'$oid': '5cc931f8831b973d657f1805'},http://images.huanqiu.com/sarons/2014/07/0bd9594030a72ec0dc0884f0af926f5d.jpg,NULL,NULL,2100吨,NULL,1944年5月12日,1944年6月27日,NULL,德国,NULL,常规潜艇,1943年,NULL,,17.9节,NULL,1621吨,1985年，有人于德国汉堡发现了部份报废的“易北河II”潜艇洞库里的U-2505、U-3004和U-3506，后将它填补。,15500海里
8.29米,SS-792海豹号（原美军USS-426 Tusk 长牙号）,NULL,NULL,舰船舰艇,81人,93.57米,NULL,185米,2420吨,NULL,美国费城铁箍造船(厂)公司,{'$oid': '5cc931f8831b973d657f1806'},,NULL,NULL,NULL,NULL,1945年7月8日,NULL,NULL,美国,2000-5000吨,常规潜艇,1943年8月23日,NULL,"
SS-792海豹号（原美军USS-426 Tusk 长牙号）
1943年8月23日由美国费城铁箍造船(厂)公司（Cramp Shipbuilding Company）建造(该公司于1947年关闭)。
1945年7月8日，下水。
1946年4月11日，成军命名USS-426 Tusk 长牙号。
1947年10月，执行第一次大修和“茄比Ⅱ型”现代化工程。
1973年10月18日，在纽约移交给台湾海军接收，命名为S-92海豹号。
1974年1月10日返国。
",20.25节,NULL,1870吨,NULL,NULL
4.1米,II型U艇,NULL,NULL,舰船舰艇,24人,40.9米,NULL,150米,381吨,NULL,NULL,{'$oid': '5cc931f8831b973d657f1807'},http://images.huanqiu.com/sarons/2014/07/5e2aaaf50e58357bda1570a88ab164d9.jpg,NULL,NULL,381吨,德国沿海，英吉利海峡，巴伦支海和黑海,1935年6月18日,NULL,NULL,德国,500吨以内,常规潜艇,1934年,NULL,,13节,NULL,254吨,自沉（U-120和U-121）,2960公里
9.1米,苍龙级AIP潜艇,NULL,NULL,舰船舰艇,65人,84米,NULL,500米,4200吨,NULL,三菱重工神户造船厂（苍龙号）,{'$oid': '5cc931f8831b973d657f1808'},http://images.huanqiu.com/sarons/2014/01/2a578fb1389e9af7c64e08f069a378c2.jpg,NULL,NULL,3300吨,NULL,2007年12月7日（苍龙号）,2009年3月30日（苍龙号）,亲潮级潜艇,日本,2000-5000吨,常规潜艇,2005年3月31日（苍龙号）,6艘（预计）,"
随着AIP技术的发展，日本也在春潮级的最后一艘朝潮号进行了相关实验，在此基础上，日本开发了基于AIP技术的新一代柴油动力攻击型常规潜艇，即苍龙级潜艇。首艘苍龙号（SS-501）由三菱重工神户造船厂负责建造，这也是继韩国的""孙元一级""（214型）之后东亚第三款AIP型潜艇。日本亦成为世界上继瑞典（哥特兰级潜艇）后第二个采用斯特林发动机（AIP）系统的国家。而苍龙级潜艇更是日本在二次大战后，建造潜艇吨位最大的一款潜艇。 

从这一级潜艇开始，日本海军打破了以往帝国海军以往以潮汐做为命名的惯例（汐潮、春潮），而是采用了以吉祥动物为命名来源。
",20节,21天,2950吨,在役,NULL
6.51米,IX型U艇,NULL,NULL,舰船舰艇,48人,76.5米,NULL,150米,1153吨,NULL,NULL,{'$oid': '5cc931f8831b973d657f1809'},http://images.huanqiu.com/sarons/2014/07/8f57a868d9dfcd1136e72897cc4dc184.jpg,NULL,NULL,NULL,印度洋，太平洋,NULL,1940年,NULL,德国,NULL,常规潜艇,1935年,NULL,,18.2节,NULL,1032吨,二次大战后有一艘U-1231被苏军接收。,10500海里
8.29米,SS-478海狮号潜舰,NULL,NULL,舰船舰艇,81人,93.57米,NULL,185米,2420吨,NULL,NULL,{'$oid': '5cc931f8831b973d657f180a'},http://images.huanqiu.com/sarons/2014/01/85aebf97b69194e963378e472ec0190f.jpg,NULL,NULL,NULL,NULL,1945年,NULL,SX-404级微型潜艇,美国,2000-5000吨,常规潜艇,1943年,茄比级潜舰,"
“海狮”号潜艇(SS791)原为美海军的“鲤鱼”号(SS426)，于1945年7月下水，1973年交付台湾，1974年1月抵台；同型艇“海豹”号(SS792)，原为美海军“安哥拉带鱼”号 (SS478)，1944年11月下水，1973年4月交付台湾，l974年4月抵台。“海狮”级潜艇本来就是美国战时赶造的，在历经了50多年的风雨波涛之后，其作战能力已明显降低，所以，1995年以后，“海狮”级潜艇基本已不出海，只能作为训练潜艇用于训练其他各种舰艇的反潜作战能力。
",20.25节,NULL,1870吨,服役中,NULL
