_id,战斗射速,图片,参战情况,口径,类型,名称,生产年限,简介,全枪重,有效射程,全枪长,数量,制造商,弹匣容弹量,大类,刀长,发射性能,产国,关注度
{'$oid': '5cc93229831b973d657f194a'},30发/分,,1983年尼加拉瓜反政府武装,7.62毫米,自动步枪,VZ52自动步枪,1952年-1959年,,4.1千克,400米,1003毫米,NULL,前捷克斯洛伐克切斯卡·兹布罗约夫卡兵工厂,10发,枪械与单兵,NULL,自动步枪,捷克,NULL
{'$oid': '5cc93229831b973d657f194b'},800发/分,http://images.huanqiu.com/sarons/2013/07/91c71bbc6308f908eb4825850e2597d2.jpg,越战尼日利亚内战南非边境战争厄立特里亚独立战争阿富汗战争 (2001年)伊拉克战争2011年利比亚内战,7.62毫米,自动步枪,VZ58自动步枪,1959年-1980年,,3.1千克,400米,820毫米,NULL,乌尔斯基·布罗德国营兵工厂,30发,枪械与单兵,NULL,自动步枪,捷克,NULL
{'$oid': '5cc93229831b973d657f194c'},1000发/分,http://images.huanqiu.com/sarons/2013/07/35d47660d718c8d31f2d0c1359c710f3.jpg,伊拉克战争，2001年阿富汗战争，持久自由行动， 2006年以黎冲突，哥伦比亚武装冲突 ，2008年南奥塞梯战争，2011年利比亚内战，2011年叙利亚内战，墨西哥毒品战争，2013年拿笃冲突,5.56毫米,自动步枪,美国M4卡宾枪,1984年,,2.5千克,600米,840毫米,NULL,美国柯尔特公司,30发,枪械与单兵,NULL,自动步枪,美国,(4.8分)
{'$oid': '5cc93229831b973d657f194d'},750发/分,http://images.huanqiu.com/sarons/2014/03/aebb39e3c66d04af6174f804f04a7c65.jpg,NULL,5.56毫米,自动步枪,日本89式突击步枪,1990年,89式5.56毫米步枪是丰和64式7.62毫米自动步枪的后继，并由丰和工业基于美制AR-18突击步枪开发而成。亦是根据NATO标准的5.56毫米口径突击步枪。日本自卫队于1989年开始配备前线及使用。另外，89式亦在日本海上保安厅及日本警察的特殊急袭部队中配备及使用。,3.5千克,500米,916毫米,NULL,日本丰和工业,30发,枪械与单兵,NULL,自动枪支,日本,(4.7分)
{'$oid': '5cc93229831b973d657f194e'},650发/分,http://images.huanqiu.com/sarons/2014/03/b95affa71bf0a0beaf1202575941f5ef.jpg,NULL,5.8毫米,自动步枪,97式突击步枪,NULL,,3.25千克,400米,745毫米,NULL,中国北方工业总公司,NULL,枪械与单兵,NULL,NULL,中国,(4.7分)
{'$oid': '5cc93229831b973d657f194f'},100发/分,http://images.huanqiu.com/sarons/2013/07/85f776dd6863bc4dfc6ffa63f1292d3b.jpg,斯里兰卡内战，2008年柬泰边境冲突，中国海军索马里护航行动,5.8毫米,自动步枪,中国95式步枪,1995年,"
95式自动步枪（QBZ-95，QBZ为源自拼音“枪-步-自动”的类别代码），是由中国兵器装备集团公司208研究所研制的突击步枪，主设计师为中国工程院院士朵英贤，属于95式枪族的一部分，为目前中国人民解放军的制式自动步枪之一，它是中国研制的第二种小口径步枪，也是解放军第一种大规模列装部队的小口径自动步枪。该枪于1997年的香港回归交接仪式上首次出现在公众视线中。
",3.3千克,400米,743毫米,NULL,中国兵器装备集团公司,30发,枪械与单兵,NULL,NULL,中国,(4.5分)
{'$oid': '5cc93229831b973d657f1950'},900发/分,http://images.huanqiu.com/sarons/2013/07/22aca7b47de3f6bb18fd9965a3805d59.jpg,2001年阿富汗战争伊拉克战争海神之矛行动,5.56毫米,自动步枪,赫克勒-科赫HK 416自动步枪,2005年,"
所谓的HK416步枪，原产于德国，是由黑克勒-科赫公司研发，现在美国也有生产。由HK公司对英国SA80和M16进行改装，HK 416的研制目的在于提供一款性能比长期服役的M16突击步枪更优越的武器。它采用短行程导气式自动方式，而不像M16系列那样使用直接气体驱动系统。该枪对M16的基本设计做了重大改进，将一体化合金前托换成了由两部分组成的聚合材料前托，并采用浮动式枪管。装备可折叠的机械瞄具，因为标准配置是使用光学和夜视瞄准设备。据了解，HK416步枪是“海豹”特种部队的完美武器，标准型HK416步枪可以在浸水后，没有完全干燥时进行射击，在打出近20000发子弹后，其射击精确度只会有微弱的下降。 
",3.5千克,450米,886毫米,NULL,黑克勒-科赫(HK公司),30发,枪械与单兵,NULL,自动,德国,(4.9分)
{'$oid': '5cc93229831b973d657f1951'},1000发/分,http://images.huanqiu.com/sarons/2013/11/2ea4c94738c2eee2c7ac937baeb8d335.jpg,NULL,7.62毫米,自动步枪,AK-12突击步枪,2011年至今,,3.3千克,1100米,945毫米,NULL,伊茨玛希工厂,60发,枪械与单兵,NULL,NULL,苏/俄,(4.6分)
{'$oid': '5cc93229831b973d657f1952'},100发/分,,中印边境战争、中苏边界冲突、 越南战争、中越边境战争等,7.62毫米,自动步枪,中国56式突击步枪,1958年,"
 56式自动步枪的原型是AK-47／AKM。AK-47的机匣为实心钢制，而后来的AKM采用冲压金属机匣，中国的枪型全部称为56式。
",3.8千克,400米,874毫米,NULL,NULL,30发,枪械与单兵,NULL,自动枪支,中国,(4分)
{'$oid': '5cc93229831b973d657f1953'},NULL,http://images.huanqiu.com/sarons/2014/03/068218225775107ec2036cfb0dc2bee8.jpg,两山战役，斯里兰卡内战，伊拉克战争，叙利亚内战,7.62毫米,自动步枪,81式自动步枪,1983年,,3.4千克,600米,955毫米,NULL,NULL,30发,枪械与单兵,NULL,NULL,中国,(5分)
{'$oid': '5cc9322a831b973d657f1954'},500发/分,http://images.huanqiu.com/sarons/2013/08/3a5d30761b4d9a9d11ee2e483d064211.jpg,NULL,7.62毫米,自动步枪,日本64式自动步枪,1957年,,4.4千克,400米,990毫米,NULL,日本丰和机械有限公司,20发,枪械与单兵,700毫米,自动枪支,日本,NULL
{'$oid': '5cc9322a831b973d657f1955'},650发/分,http://images.huanqiu.com/sarons/2013/08/a922a43afcab11deca5b63cced138336.jpg,NULL,5.45毫米,自动步枪,卡拉什尼科夫1974（AK-74）突击步枪,1975年至今,"
AK-74是前苏联装备的第一种小口径突击步枪，也是世界上大规模装备部队的第二种小口径步枪（第一种是美国的5.56毫米M16），首次露面是在1974年11月7日的莫斯科红场阅兵仪式上，在1980年代是前苏联军队制式装备AK-74在很多国家也有装备，包括特许生产及仿制型如东德的MPi-KM-74、MPI-KMS-74、MPI-AKR-74波兰的WZ. 1988 Tantal、WZ. 1989 Onyks，罗马尼亚的AI-74、AIS-74，保加利亚的AKK-74等。
",3.9千克,400米,928毫米,NULL,伊孜玛什公司,30发,枪械与单兵,NULL,自动枪支,苏/俄,(4.8分)
{'$oid': '5cc9322a831b973d657f1956'},650发/分,http://images.huanqiu.com/sarons/2013/08/44e9119ad052d52aac40f5f012e820af.jpg,阿富汗战争 (2001年)伊拉克战争2011年叙利亚内战墨西哥毒品战争,5.56毫米,自动步枪,斯太尔-曼利夏AUG自动步枪,1978年,"
斯太尔-曼利夏AUG自动步枪是1977年奥地利公司斯泰尔-曼利夏（Steyr Mannlicher）推出的军用自动步枪，是史上首次正式列装、实际采用犊牛式设计的军用步枪。“AUG”是德文“Armee-Universal-Gewehr”的缩写，意即“陆军通用步枪”。该枪专门为奥地利陆军设计，于1979年开始装备使用。此后，该枪先后被爱尔兰、澳大利亚、多个中东国家、美国海关部门、福克兰群岛防卫军采用。
",3.9千克,800米,790毫米,NULL,斯泰尔-曼利夏 （Steyr Mannlicher）,42发,枪械与单兵,NULL,自动,奥地利,NULL
{'$oid': '5cc9322a831b973d657f1957'},650发/分,,NULL,7.62毫米,自动步枪,萨科M90自动步枪,1991年-1999年,,4.7千克,719米,1060毫米,NULL,芬兰萨科公司,30发,枪械与单兵,NULL,NULL,芬兰,NULL
{'$oid': '5cc9322a831b973d657f1958'},750发/分,http://images.huanqiu.com/sarons/2013/07/f9312d65853a65b6e7ce37a338660792.jpg,NULL,5.56毫米,自动步枪,赫克勒-科赫HK33E自动步枪,1968年,70年代初，德国赫克勒-科赫有限公司为出口研制了一种5.56毫米小口径步枪，称之为HK33E式。该枪是在G3式7.62毫米自动步枪的基础上改进而成的，实际上它是G3式步枪的缩小型。,734千克,400米,940毫米,NULL,德国赫克勒-科赫公司,25发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322a831b973d657f1959'},600发/分,http://images.huanqiu.com/sarons/2013/08/67431a5b7fcbeecab2c3818535246789.jpg,NULL,8毫米,自动步枪,MP44自动步枪,1943年-1945年,STG44突击步枪（Sturmgewehr 44，定型投产时名称MP44），是现代步兵史上划时代的成就之一。它是首先使用了短药筒的中间型威力枪弹并大规模装备的自动步枪。,5.2千克,300米,940毫米,425977,黑内尔公司,30发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322a831b973d657f195a'},900发/分,http://images.huanqiu.com/sarons/2013/07/6af89dd8c8c59dd2ac6ecfcf3e444b29.jpg,海湾战争中的沙漠风暴行动及其他维持和平行动,5.56毫米,自动步枪,法玛斯自动步枪,1975年,,3.61千克,300米,757毫米,NULL,法国GIAT集团下属的圣·艾蒂安兵工厂,25发,枪械与单兵,NULL,自动步枪,法国,NULL
{'$oid': '5cc9322a831b973d657f195b'},800发/分,http://images.huanqiu.com/sarons/2013/08/be7037700a94ea66cd92d592673607ba.jpg,NULL,7.62毫米,自动步枪,瓦尔梅特M76自动步枪,1976年-1986年,,4.6千克,600米,1135毫米,NULL,芬兰瓦尔梅特公司,30发,枪械与单兵,NULL,自动步枪,芬兰,NULL
{'$oid': '5cc9322b831b973d657f195c'},600发/分,http://images.huanqiu.com/sarons/2013/07/ed42bd89823f61d49f8cce72e1af3ae4.jpg,NULL,7.62毫米,自动步枪,赫克勒-科赫G36自动步枪,1995年,,7.58千克,400米,1025毫米,NULL,德国赫克勒-科赫公司（H&K）,30发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322b831b973d657f195d'},850发/分,http://images.huanqiu.com/sarons/2013/08/9492a2424ff1bdef0dfc5f45ac99b2fc.jpg,机敏行动（Operation Astute），阿富汗战争，2011年利比亚内战，墨西哥毒品战争,5.56毫米,自动步枪,FN 2000突击步枪,2001年,"
FN2000是由比利时公司Fabrique Nationale所制造的一种突击步枪。2001年3月在阿拉伯联合酋长国阿布扎比举行的IDEX展览会上首次正式展示。FN 2000是Fabrique Nationale唯一一种犊牛式突击步枪。该枪是一款采用模块化设计的无枪托突击步枪，采用导气式自动方式的回转式枪机由硕大的聚合材料外壳包裹，同时可用于执行特殊战斗任务。
",3.6千克,500米,694毫米,NULL,Fabrique Nationale（简称FN，没有正式中文译名）,30发,枪械与单兵,NULL,气动式、转拴式枪机,比利时,NULL
{'$oid': '5cc9322b831b973d657f195e'},650发/分,http://images.huanqiu.com/sarons/2013/08/1c585cc9342014c358234327fa9044ae.jpg,NULL,5.56毫米,自动步枪,INSAS突击步枪,1999年,"
印度INSAS（印度小型火器系统的缩写，Indian Small Arms System）突击步枪，是印度生产的步枪，采用了国外多种武器的结构，印度在其基础上还发展了一种重枪管型。
",3.2千克,885米,945毫米,NULL,武器研究与开发部,22发,枪械与单兵,NULL,NULL,印度,NULL
{'$oid': '5cc9322b831b973d657f195f'},850发/分,,2007年黎巴嫩冲突,5.56毫米,自动步枪,赫克勒-科赫G41自动步枪,1983年,,4.1千克,910米,997毫米,NULL,德国赫克勒&科赫防务公司(H&K),30发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322b831b973d657f1960'},600发/分,http://images.huanqiu.com/sarons/2013/07/b50d7ae56a3a3670f40e853616d6fda0.jpg,NULL,7.62毫米,自动步枪,赫克勒-科赫G3自动步枪,1964年,,4.41千克,400米,1025毫米,NULL,德国赫克勒-科赫公司,20发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322b831b973d657f1961'},750发/分,,NULL,5.56毫米,自动步枪,FARA 83自动步枪,1984年-1990年,"
FARA 83（“阿根廷共和国自动步枪”或FAA 81）是一款由阿根廷DGFM（多明戈-马特轻武器厂）于1980年代开发并装备军队的突击步枪，旨在取代阿根廷军队原装备的FMAP FSL（阿根廷特许生产的FN FAL）。该枪主要面向阿根廷陆军，但因财政原因而导致生产缓慢，只有部分陆军部队装备了该枪。
",4千克,500米,1000毫米,1200,多明戈-马特轻武器厂（DGFM）,30发,枪械与单兵,NULL,自动,阿根廷,NULL
{'$oid': '5cc9322b831b973d657f1962'},550发/分,http://images.huanqiu.com/sarons/2013/08/27412580296c57270641275b420b3214.jpg,NULL,7.62毫米,自动步枪,伽利尔突击步枪,1971年,"
加利尔（Galili）突击步枪是以色列在1967年的“六日战争”中的取得教训的产物，由于当时以色列军中大量装备的FN FAL自动步枪在沙漠环境中经常不能正常动作，故障频发多，因此IMI的首席武器设计师以色列人加利尔和雅各布·利奥尔带领着一个研制小组，开始设计一种发射5.56毫米 M193弹的新步枪。目前，南非的R4步枪，瑞典的FFV890C步枪均是以伽利尔为蓝本设计生产的。
",4千克,500米,979毫米,NULL,以色列军事工业（IMI）,50发,枪械与单兵,NULL,自动步枪,以色列,NULL
{'$oid': '5cc9322b831b973d657f1963'},650发/分,http://images.huanqiu.com/sarons/2013/08/c4647f4295cc577608f42e898aba6a27.jpg,阿富汗战争伊拉克战争墨西哥毒品战争,5.56毫米,自动步枪,伯莱塔AR70／223自动步枪,1972年-1980年,"
该枪是伯莱塔公司研制的第一款5.56毫米口径步枪，采用导气式工作原理和双突笋枪栓。该枪装备意大利特种部队并出口到其他一些国家，但未能占据较大的市场份额，且使用中暴露出了一些小缺陷，如机匣强度不够。
",3.8千克,950米,955毫米,NULL,意大利伯莱塔公司,30发,枪械与单兵,NULL,自动步枪,意大利,NULL
{'$oid': '5cc9322b831b973d657f1964'},750发/分,http://images.huanqiu.com/sarons/2013/08/7107ac25a8b345d3adc1f43fac0ad778.jpg,越南战争柬埔寨内战对越自卫反击战苏联对阿富汗战争科索沃战争,7.62毫米,自动步枪,中国63式自动步枪,1970年,"
63式自动步枪是中国自行研制的第一支步枪（在外国被误称为68式）。1958年，中国掀起“大跃进”高潮，全国群众鼓干劲，争上游，放卫星，创奇迹，国防科技界也跟随热潮行动起来，63式自动步枪就是在这样的时代背景下开始研制的。63式是由中国基于56式半自动步枪（仿制自SKS）而设计的自动步枪。然而，此武器使用的转拴式枪机操作系统（枪机回转式闭锁）却是来自AK-47突击步枪系统，而不是很像SKS的倾斜式枪机操作系统（枪机偏移式闭锁）。发射7.62×39毫米中间型威力枪弹。1963年完成了设计定型。1969年投入大量生产和装备部队，至1978年停产、撤装。
",3.5千克,400米,1029毫米,6000000,重庆空压厂，嘉陵厂，建设厂,20发,枪械与单兵,NULL,自动,中国,NULL
{'$oid': '5cc9322c831b973d657f1965'},690发/分,http://images.huanqiu.com/sarons/2013/08/464fbaf4fbb62301725b9f4366c1ed44.jpg,NULL,5.56毫米,自动步枪,贝尔突击步枪,1998年,"
贝尔突击步枪可发射SSl09及M193枪弹，最初是为波兰海军特种部队研制的。2006年波兰国防部定购的新型迷你贝尔突击步枪改进了枪口部分。使之能适于使用夜视瞄该枪的附件包括不同的夜视瞄具及目标捕获装置.如HWS-552.A651／2全息瞄具。该瞄具由光一电技术公司研制，最初是为警察反恐分队开发的，波兰陆军曾给其下车步兵装备了这种瞄具，另有一些特种部队，如美国和波兰的特种部队曾在阿富汗和伊拉克战场上使用过这种瞄具。
",3.4千克,1000米,943毫米,860,拉多姆公司,30发,枪械与单兵,NULL,自动枪支,芬兰,NULL
{'$oid': '5cc9322c831b973d657f1966'},700发/分,http://images.huanqiu.com/sarons/2013/08/38ede8f98886f0e078c403d67e4ba07e.jpg,2001年阿富汗战争，在印尼的反游击作战，2007年黎巴嫩冲突，在尼日尔河三角洲地区的冲突，多国维和任务,5.56毫米,自动步枪,FN FNC自动步枪,1979年,"
FN FNC（FabriqueNationaleCarabine）是由比利时Fabrique Nationale de Herstal（FN公司）在1970年代中期生产的突击步枪，该枪是CAL步枪的替代品，它符合北约5.56毫米枪弹的要求，广受用户欢迎。另外，它比CAL步枪价格更低廉，可靠性更高。该枪大量使用钢、合金和塑料，大部分金属部件都采用冲压工艺和锻压工艺制造。与CAL步枪类似，该枪采用导气式自动方式和枪机回转式闭锁机构，其弹匣槽符合北约标准，因此可使用M16步枪弹匣或类似弹匣。瑞典采用了该枪的变型枪AK5，印度尼西亚也特许生产该武器。
",3.8千克,450米,997毫米,NULL,Fabrique Nationale（简称FN，没有正式中文译名）,30发,枪械与单兵,NULL,自动,比利时,NULL
{'$oid': '5cc9322c831b973d657f1967'},350发/分,http://images.huanqiu.com/sarons/2013/08/23e5906e639d2b0160ba387557209a51.jpg,NULL,5.66毫米,自动步枪,APS突击步枪,1970年,"
APS突击步枪是披露于世的第一支水下突击步枪，APS突击步枪是前苏联海军为了防范海军基地受到敌对蛙人的攻击而研究出各种反蛙人技术而生产制造的，主要供特种部队与武装蛙人作战时使用，也可用于攻击鲨鱼和水中其他危险动物。
",3.4千克,100米,823毫米,NULL,NULL,26发,枪械与单兵,NULL,自动枪支,苏/俄,NULL
{'$oid': '5cc9322c831b973d657f1968'},600发/分,http://images.huanqiu.com/sarons/2013/08/54ba4e4bf0f1a29b8c80dacc12bf0524.jpg,越南战争,7.62毫米,自动步枪,AK-47突击步枪,1947年至今,"
АК-47是俄语Автомат Калашникова образца 1947 года第一个字母的缩写，意思是卡拉什尼科夫1947年定型的自动步枪，是由苏联枪械设计师米哈伊尔·季莫费耶维奇·卡拉什尼科夫设计的自动步枪。截至2012年，诞生65年的AK-47风靡全世界，AK-47步枪的声望超越了所有同时代的武器。
",4.3千克,300米,870毫米,NULL,伊热夫斯克军工厂,30发,枪械与单兵,NULL,自动枪支,苏/俄,NULL
{'$oid': '5cc9322c831b973d657f1969'},600发/分,http://images.huanqiu.com/sarons/2013/08/787c74c81a597505c7e858fdd3e7dd73.jpg,NULL,7.62毫米,自动步枪,AKM自动步枪,1959年至今(AKM),"
卡拉什尼科夫枪族中的变型枪非常多， 如，AKM步枪，AK-74步枪，AKMS步枪等，AK-47系列和AKM系列之间的最大不同是，前者采用实心钢制机匣，而后者采用冲压金属机匣。AKM步枪：1953年-1954年，由枪械设计师卡拉什尼科夫通过改进AK-47突击步枪而来。1959年投产，目前仍有生产。广泛装备世界各地的武装力量。
",3.1千克,400米,880毫米,NULL,伊热夫斯克机器制造厂（Izhmash)，图拉兵工厂,30发,枪械与单兵,NULL,自动枪支,苏/俄,NULL
{'$oid': '5cc9322c831b973d657f196a'},900发/分,http://images.huanqiu.com/sarons/2013/08/f0a01445d154e7fb49429ef46b988f32.jpg,2006年加沙危机2006年以黎冲突2008年南奥塞梯战争2008年柬泰对峙加沙战争,5.56毫米,自动步枪,塔沃尔突击步枪,2004年,"
塔沃尔步枪是以色列军事工业公司（IMI）根据战场需求与实战经验开发出的最新式突击步枪，采用了无托结构，在不缩短枪管长度与有效射程的前提下大幅缩短了全枪长度，便于需要频繁搭乘直升机的部队与空降部队等使用。塔沃尔步枪自服役以来已经经历了加沙与黎巴嫩前线的实战考验，表现优异。印度购买了大量这样的枪支用于装备特种部队。
",2.8千克,600米,720毫米,NULL,以色列军事工业（IMI）,30发,枪械与单兵,NULL,自动步枪,以色列,NULL
{'$oid': '5cc9322c831b973d657f196b'},700发/分,http://images.huanqiu.com/sarons/2013/08/e8d3f1a0d0492929562c5a9d85552644.jpg,苏联入侵阿富汗战争塔吉克内战格鲁吉亚内战两次车臣战争,5.45毫米,自动步枪,卡拉什尼科夫AKS-74U自动步枪,1979年-,"
AKS-74U（又称AKSU-74或AK-74SU）是苏联在1975年设计及生产的短突击步枪，AKS-74U当中的“U”（俄语：Укороченный）解为“缩短”，AKS-74U在1970年代后期装备前苏联军队作AKS-74的卡宾枪版本，它的的整体尺寸及有效射程与冲锋枪相似。AKS-74U亦是AK-74的独立变种版本，同様发射5.45×39毫米（M74）弹，但它的枪口消焰器较为不同，消焰器尾部为喇叭形，以降低射击时的后座力，亦可卡在铁丝上，以子弹发射时的威力冲断铁丝。
",2.7千克,200米,720毫米,NULL,伊热夫斯克机器制造厂，图拉兵工厂,30发,枪械与单兵,NULL,自动枪支,苏/俄,NULL
{'$oid': '5cc9322c831b973d657f196c'},945发/分,http://images.huanqiu.com/sarons/2013/08/2acaf521c4fe44cf90b80b9c446ecfc3.jpg,NULL,7.62毫米,自动步枪,马盖尔卡宾枪,1998年,"
IMI的马盖尔（Magal）卡宾枪是微型加利尔（Galil MAR）的一种变形枪。马盖尔的设计初衷，是要替换被以色列国家警察和以色列国民护卫队仍在普遍使用的二战时期诞生的M1卡宾枪。
",3.68千克,515米,735毫米,4000,以色列军事工业（IMI）,27发,枪械与单兵,NULL,NULL,以色列,NULL
{'$oid': '5cc9322c831b973d657f196d'},700发/分,http://images.huanqiu.com/sarons/2013/08/ad701b72fc9f5a31cfba1c82dcd27ced.jpg,苏伊士运河危机，亚丁危机，马来亚危机等,7.62毫米,自动步枪,FN FAL自动步枪,1953年,"
FAL（法文：Fusil Automatique Légère）由比利时Fabrique Nationale设计的7.62 × 51毫米口径自动步枪，FAL相对应的英文名称是Light Automatic Rifle，意为“轻型自动步枪”。FAL是世界上著名步枪之一，曾是大量国家的制式装备。FNFAL步枪可能是历史上使用最广泛的步枪，被90多个国家采用。
",4.5千克,650米,1090毫米,1000000,Fabrique Nationale（简称FN，没有正式中文译名）,20发,枪械与单兵,NULL,自动,比利时,NULL
{'$oid': '5cc9322d831b973d657f196e'},800发/分,http://images.huanqiu.com/sarons/2013/08/0f7729f92ac26ff14bf5cd43fc567254.jpg,北爱尔兰问题,7.65毫米,自动步枪,阿玛莱特AR-18自动步枪,1966年-1979年,,3.2千克,1000米,940毫米,NULL,阿玛莱特丰和工业 史特林军备公司 ,40发,枪械与单兵,NULL,自动步枪,美国,NULL
{'$oid': '5cc9322d831b973d657f196f'},775发/分,http://images.huanqiu.com/sarons/2013/08/eb23b2af08bcec67417e53c65575a637.jpg,NULL,5.56毫米,自动步枪,L85A1/L85A2单兵武器,1985年-1994年,,3.8千克,940米,785毫米,NULL,BEA系统公司，RO防务设计子公司,30发,枪械与单兵,NULL,自动步枪,英国,NULL
{'$oid': '5cc9322d831b973d657f1970'},700发/分,http://images.huanqiu.com/sarons/2013/08/ad67012c9b64f9d7a21819696aa69853.jpg,南非边境战争海地内战,5.56毫米,自动步枪,维克托R4突击步枪,1982年至今,,4.3千克,500米,1005毫米,NULL,南非利特尔顿兵工厂,35发,枪械与单兵,NULL,自动枪支,南非,NULL
{'$oid': '5cc9322d831b973d657f1971'},700发/分,http://images.huanqiu.com/sarons/2013/08/7a1387444c630483132230c36dbfbe97.jpg,NULL,5.56毫米,自动步枪,西格SG 550／551(Stgw 90)自动步枪,1986年-2002年,"
该枪是1984年西格公司为满足瑞士陆军需求而从SG540改进而来的。西格公司最终在竞争中获得了胜利，并定型号为Stgw90，取代Stgw57成为新的瑞士军用步枪。该枪还有民用型，但不能进行连发射击。
",4.1千克,995米,998毫米,NULL,西格公司,30发,枪械与单兵,NULL,自动步枪,瑞士,NULL
{'$oid': '5cc9322d831b973d657f1972'},750发/分,,NULL,5.56毫米,自动步枪,SR88突击步枪,1988年至今,,3.66千克,500米,912毫米,NULL,新加坡轻兵器工业有限公司,30发,枪械与单兵,NULL,自动枪支,新加坡,NULL
{'$oid': '5cc9322d831b973d657f1973'},450发/分,http://images.huanqiu.com/sarons/2013/08/9675dcea9c95becda38228f7f8655000.jpg,NULL,5.56毫米,自动步枪,SAR 21突击步枪,2002年至今,,3.8千克,800米,805毫米,NULL,新加坡科技动力公司,30发,枪械与单兵,NULL,自动枪支,新加坡,NULL
{'$oid': '5cc9322d831b973d657f1974'},650发/分,http://images.huanqiu.com/sarons/2013/08/1812d4b037adea53e4fa959178e877b6.jpg,海湾战争，伊拉克战争 ,5.56毫米,自动步枪,大宇K2突击步枪,1987年至今,,3.3千克,600米,990毫米,NULL,韩国大宇集团,30发,枪械与单兵,NULL,自动枪支,韩国,NULL
