_id,战斗射速,图片,参战情况,口径,类型,名称,生产年限,简介,全枪重,有效射程,全枪长,数量,制造商,弹匣容弹量,大类,刀长,发射性能,产国,关注度
{'$oid': '5cc9322d831b973d657f1975'},650发/分,http://images.huanqiu.com/sarons/2013/08/db1d12dcdce6a4e7cdb1256e23583ab6.jpg,NULL,5.56毫米,自动步枪,AK5突击步枪,1984年,"
该枪实际上是比利时FNFNC步枪的变型枪，为满足瑞典军方的要求，于20世纪80年代中期进行一系列综合性试验后对其做了大量改进。包括枪托、瞄准具、拉机柄、枪栓、快慢机、扳机护圈和背带环，使其能够更好地适应严寒作战环境以及方便戴着手套操作。该枪取消了三发点射机构，金属表面做了深绿色烤瓷，使得该枪很容易识别。
",3.9千克,400米,1008毫米,NULL,瑞典博福斯-埃斯基尔斯图纳公司,30发,枪械与单兵,NULL,自动步枪,瑞典,NULL
{'$oid': '5cc9322e831b973d657f1976'},650发/分,,NULL,5.56毫米,自动步枪,圣·巴巴拉CETME L型突击步枪,1984年-2001年,"
该枪实际上由西班牙国营圣·巴巴拉·奥维亚多兵工厂制造。军事装备技术研究中心（CETMF）是一家西班牙设计机构，二战后不久开始设计步枪，该中心设计的所有步枪都采用德国G3步枪的滚柱枪机延迟后坐式系统，最初的口径为7.92毫米，后来采用北约7.62毫米口径，而L型突击步枪的口径为5.56毫米。
",3.9千克,875米,930毫米,NULL,圣·巴巴拉·奥维亚多兵工厂,30发,枪械与单兵,NULL,自动步枪,西班牙,NULL
{'$oid': '5cc9322e831b973d657f1977'},800发/分,,NULL,5.65毫米,自动步枪,西格SG 540／542／543自动步枪,1977年-2002年,,3.6千克,500米,1000毫米,20000,西格公司,30发,枪械与单兵,NULL,自动步枪,瑞士,NULL
{'$oid': '5cc9322e831b973d657f1978'},600发/分,http://images.huanqiu.com/sarons/2013/08/2aa546107ed61fa955ba0532b9677861.jpg,NULL,7.65毫米,自动步枪,Stgw 57自动步枪,1957年-1983年,"
Stgw.57自动步枪是SIG公司在1954-1957年间研制的，该枪参考了德国的毛瑟StG.45突击步枪和西班牙CETME步枪的原理，但采用瑞士的7.5×55毫米口径步枪弹。该枪较重，但射击精度高、使用舒适，且以在各种恶劣气候条件下都有良好可靠性著称。后期型号西格510-4发射7.62毫米枪弹，它们之间的区别在于：Stgw57的机匣后方为直形枪托且使用胶枪包裹，而西格510-4采用下弯的木制枪托。
",4.3千克,600米,1016毫米,NULL,西格公司,24发,枪械与单兵,NULL,自动步枪,瑞士,NULL
{'$oid': '5cc9322e831b973d657f1979'},40发/分,http://images.huanqiu.com/sarons/2013/08/bf9d61d2814e02dfa610d1f5b0bb6e82.jpg,二战,6.5毫米,自动步枪,扬曼AG42自动步枪,1942年-1962年,,4.7千克,600米,1214毫米,NULL,瑞典卡尔·古斯塔 夫国营兵工厂制造,10发,枪械与单兵,NULL,自动步枪,瑞典,NULL
{'$oid': '5cc9322e831b973d657f197a'},NULL,http://images.huanqiu.com/sarons/2013/11/1330a275ec66f91604250b3fe8d0c6a7.jpg,NULL,9毫米,自动步枪,9毫米AS特种突击步枪,NULL,该突击步枪的设计目标是发射时无噪音无光焰，射程达到400米并能够发射破甲弹。承包商称该破甲弹能够穿透防弹衣和未装甲车辆。该枪配有特制的枪口消音器以降低噪音。能够安装光学或夜视瞄准镜，枪托可以折叠。,NULL,400米,878毫米,NULL,中央精密机械工程研究院(俄罗斯，莫斯科),20发,枪械与单兵,NULL,NULL,苏/俄,NULL
{'$oid': '5cc9322e831b973d657f197b'},700发/分,http://images.huanqiu.com/sarons/2013/11/ede96eb6ab87c74ba1428a2ef548f99e.jpg,NULL,7.62毫米,自动步枪,阿玛利特0.243毫米和7.62毫米AR-10B步枪,20世纪50年代,"
AR-10（Armalite Rifle 10）是一种由美国人尤金·斯通纳设计，弹匣供弹、气动式、气冷自动步枪，发射7.62 × 51毫米（.308寸）北约标准弹药。阿玛利特AR-10B 7.62毫米步枪的设计以20世纪50年代生产的AR-10为基础，但采用了现代化的零部件和制造技术。首先强调可靠性和功能性，其次尽可能使用与5.56毫米M16A2步枪相同的零部件。
",4.445千克,600米,1003毫米,NULL,阿玛利特股份有限公司(美国，伊利诺伊州),20发,枪械与单兵,NULL,半自动枪支,美国,NULL
{'$oid': '5cc9322e831b973d657f197c'},750发/分,http://images.huanqiu.com/sarons/2013/08/67f90866c12a9db6eb7a28a064026ff7.jpg,NULL,5.56毫米,自动步枪,Zastava M80自动步枪,1985年,,3.5千克,400米,990毫米,NULL,前南斯拉夫扎斯塔瓦武器公司,30发,枪械与单兵,NULL,自动步枪,前南斯拉夫,NULL
{'$oid': '5cc9322e831b973d657f197d'},900发/分,http://images.huanqiu.com/sarons/2013/11/6e4fe63f9b455d1dfc94569ada25d790.jpg,越南战争印马对峙柬埔寨内战斯里兰卡内战黎巴嫩内战萨尔瓦多内战1979年阿富汗战争入侵格林纳达福克兰战争索马里内战海湾战争南斯拉夫战争2006年以黎冲突伊拉克战争2001年阿富汗战争2008年南奥塞梯战争2011年利比亚内战墨西哥毒品战争,5.56毫米,自动步枪,柯特尔5.56毫米AR-15/M16系列步枪,1957年,,4千克,550米,1006毫米,80000000,柯尔特制造有限公司(美国，康涅狄格州),30发,枪械与单兵,NULL,NULL,美国,NULL
{'$oid': '5cc9322f831b973d657f197e'},800发/分,,NULL,5.56毫米,自动步枪,SR88A突击步枪,1990年至今,,3.68千克,400米,960毫米,NULL,新加坡轻兵器工业有限公司,30发,枪械与单兵,NULL,自动枪支,新加坡,NULL
{'$oid': '5cc9322f831b973d657f197f'},750发/分,,NULL,5.56毫米,自动步枪,5.56毫米HK短突击步枪,NULL,"
黑克勒-科赫HK53冲锋枪的枪膛使用5.56毫米×45毫米枪弹，工作原理与其他黑克勒-科赫生产的步枪和冲锋枪相似，都是使用滚轮系统延迟枪栓头的向后运动直至气压降低到一定数值，确保了整个枪栓部件安全反冲。
",3.77千克,1000米,1002毫米,NULL,黑克勒-科赫有限责任公司(德国，奥本多夫,30发,枪械与单兵,NULL,NULL,德国,NULL
{'$oid': '5cc9322f831b973d657f1980'},450发/分,http://images.huanqiu.com/sarons/2013/08/5e8db693d228f710e3417fa606d07a7b.jpg,二战,7.62毫米,自动步枪,勃朗宁自动步枪,1917年-1945年,,7.5千克,548米,1214毫米,NULL,柯尔特工业公司,20发,枪械与单兵,NULL,自动步枪,美国,NULL
{'$oid': '5cc9322f831b973d657f1981'},750发/分,,NULL,5.56毫米,自动步枪,5.56毫米G36突击步枪,1995年,G36是德国黑克勒-科赫在1995年推出的现代化突击步枪，发射5.56 × 45毫米北约制式子弹。导气式黑克勒-科赫5.56毫米G36突击步枪秉承了传统的设计，骨架式枪托可折叠到机匣右侧，缩短了长度，便于携带和存放或在狭窄的空间内进行射击。,3.8千克,1000米,1000毫米,NULL,黑克勒-科赫公司(德国，奥本多夫/内喀尔),30发,枪械与单兵,NULL,NULL,德国,NULL
{'$oid': '5cc9322f831b973d657f1982'},600发/分,,NULL,5.66毫米,自动步枪,5.66毫米ASP水下突击步枪,1970年,"
5.66毫米APS水下突击步枪为苏联于1970年代研制的一种水下枪械。该枪于1975年被军方正式采用，尽管水下武器在各海事特种部队服役已经有一定的历史，但该枪是第一个发布并公布细节的武器。专为水下作战而设计的，但也可在陆地上使用。
",3.4千克,100米,823毫米,NULL, 精密工程研究院(Institute of Precise Engineering，俄罗斯，伊塞夫斯克),26发,枪械与单兵,NULL,NULL,俄罗斯,NULL
{'$oid': '5cc9322f831b973d657f1983'},650发/分,http://images.huanqiu.com/sarons/2013/08/3f1d57983ebb8ae9102717087fceb130.jpg,海湾战争、南斯拉夫内战、科索沃战争、持久自由军事行动、伊拉克战争、2011年利比亚内战 ,7.62毫米,自动步枪,Zastava M70B1自动步枪,1974年-,,3.7千克,360米,900毫米,NULL,前南斯拉夫扎斯塔瓦武器公司,30发,枪械与单兵,NULL,自动步枪,前南斯拉夫,NULL
{'$oid': '5cc9322f831b973d657f1984'},750发/分,http://images.huanqiu.com/sarons/2013/08/ea534ff049b7e38eb63dbe3fafb03c0f.jpg,NULL,5.56毫米,自动步枪,OTs-14“暴风”突击步枪,1994年至今,,3.1千克,200米,700毫米,NULL,俄罗斯图拉兵工厂,30发,枪械与单兵,NULL,自动枪支,苏/俄,NULL
{'$oid': '5cc9322f831b973d657f1985'},700发/分,,NULL,5.56毫米,自动步枪,SG550、SG551和SG552“突击队”突击步枪,1984年,"
由瑞士工业公司即SIG公司研制，1981年得到军方认可。1983年2月，联邦议会决定采用，正式命名为SG550突击步枪，1984年初装备部队。SG550是标准型，供步兵部队使用。SG551是短枪管型，供坦克和装甲战车乘员使用。SG550结构简单，全枪重量轻，坚固耐用，可靠性好，机动性强，费/效比好，耐高温，抗严寒，是一支设计比较成功的小口径步枪。SG552是SIG公司在二次大战后以德国施梅瑟MP40冲锋枪为基础，为瑞士陆军发展了MP310冲锋枪，一直服役到1970年代，后来这一类武器随着突击步枪的普及，逐渐降低了在瑞士陆军中的重要性。
",4.05千克,400米,998毫米,NULL,SIG集团轻武器分部(瑞士，诺伊豪森),30发,枪械与单兵,NULL,NULL,瑞士,NULL
{'$oid': '5cc9322f831b973d657f1986'},900发/分,http://images.huanqiu.com/sarons/2013/11/3ff32e567c181c5b245e50deaac0af0e.jpg,NULL,5.45毫米,自动步枪,AEK-971突击步枪,20世纪70年代初期,,3.3千克,400米,965毫米,100,科夫罗夫基础机械设计局(Kovrov Machinebuilding Plant),30发,枪械与单兵,NULL,自动枪支,苏/俄,NULL
{'$oid': '5cc93230831b973d657f1987'},750发/分,http://images.huanqiu.com/sarons/2014/01/06153b56981f90c2607338c76aca2de4.jpg,NULL,7.62毫米,自动步枪,Mk14增强型战斗步枪,2004年,,5.1千克,500米,889毫米,NULL,美国海军水上作战中心分部，史密斯企业公司，美国夏伊战术公司，柯尔特防务系统，塞奇国际,20发,枪械与单兵,NULL,自动枪支,美国,NULL
{'$oid': '5cc93230831b973d657f1988'},900发/分,http://images.huanqiu.com/sarons/2013/11/2b4c449df72a28c057b1aa237f700d70.jpg,NULL,5.56毫米,自动步枪,M16A4自动步枪,21世纪初,"
M16A4自动步枪是M16自动步枪的一种改型，使用30发5.56毫米口径子弹装填的并具有3发点射功能的突击步枪。稳定的命中率和独特的3发点射功能充分体现了它瞬间火力强大的优点，但3发点射后是有较长延迟的。
",3.8千克,600米,1000毫米,NULL,柯尔特、FNMI,30发,枪械与单兵,NULL,自动枪支,美国,NULL
{'$oid': '5cc93230831b973d657f1989'},760发/分,http://images.huanqiu.com/sarons/2013/11/2dd847f79f68aeaee5343eeda4891e1d.jpg,2001年阿富汗战争,5.56毫米,自动步枪,cz805bren突击步枪,2011年至今,,3.6千克,500米,910毫米,NULL,捷克布罗德兵工厂,100发,枪械与单兵,NULL,自动枪支,捷克,NULL
{'$oid': '5cc93230831b973d657f198a'},750发/分,,NULL,5.56毫米,自动步枪,L和LC5.56毫米步枪,NULL,"
小口径步枪，质量小，适合现代战争的需要。是巴西专门为军队的特殊需求而量身定制的一款步枪。
",3.7千克,600米,1010毫米,NULL,巴西军用物资工业公司(巴西，Piqucte-sp),20发,枪械与单兵,NULL,NULL,巴西,NULL
{'$oid': '5cc93230831b973d657f198b'},750发/分,,NULL,5.56毫米,自动步枪,FNC5.56毫米突击步枪,1979年5月,,4.01千克,300米,997毫米,NULL,FN赫斯塔尔公司(比利时，赫斯塔尔),30发,枪械与单兵,NULL,NULL,比利时,NULL
{'$oid': '5cc93230831b973d657f198c'},1200发/分,http://images.huanqiu.com/sarons/2013/11/345e108dfe1b442814a9d50a0cc81aa0.jpg,NULL,5.45毫米,自动步枪,AN94自动步枪,1997年至今,,3.85千克,400米,405毫米,NULL,NULL,30发,枪械与单兵,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93230831b973d657f198d'},850发/分,,NULL,5.56毫米,自动步枪,KH2002（Khaybar）自动步枪,2003年,,3.7千克,450米,780毫米,NULL,伊朗王国的国营防务工业组织,30发,枪械与单兵,NULL,NULL,伊朗,NULL
{'$oid': '5cc93230831b973d657f198e'},800发/分,http://images.huanqiu.com/sarons/2013/11/eb8e88d6db5334a68b9c9a4fafde076e.jpg,NULL,7.62毫米,自动步枪,A-91突击步枪,1990年至今,,3.97千克,400米,660毫米,NULL,KBP设计局,30发,枪械与单兵,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93230831b973d657f198f'},1100发/分,,NULL,5.56毫米,自动步枪,FAMAS G25.56毫米突击步枪,NULL,"
FAMAS在我国称为“法玛斯”，于1967年开始研制，主设计师是轻武器专家保罗·泰尔。FAMAS G2基于G1的改进型，于1994推出，法国海军在1995年亦装备了20000支G2。
",4.17千克,600米,757毫米,NULL,法国地面武器工业集团(法国，凡尔赛),30发,枪械与单兵,NULL,NULL,法国,NULL
{'$oid': '5cc93231831b973d657f1990'},NULL,http://images.huanqiu.com/sarons/2013/11/b154f6856c715e8c1aec90eac8330c22.jpg,NULL,7.62毫米,自动步枪,Kel-Tec RFB步枪,2003年,"
Kel-Tec RFB（缩写及简称为RFB，全称：Rifle,Forward-ejection,Bullpup，意为：前抛壳型无托结构步枪）是一枝由美国佛罗里达州枪械公司Kel-Tec数控工业公司研制及生产的无托结构半自动战斗步枪，发射7.62 × 51 毫米北约/308 Winchester口径步枪子弹。
",3.67千克,600米,660毫米,NULL,美国佛罗里达州枪械公司Kel-Tec数控工业公司,30发,枪械与单兵,NULL,自动枪支,美国,NULL
{'$oid': '5cc93231831b973d657f1991'},680发/分,,NULL,5.56毫米,自动步枪,施泰尔5.56毫米AUG步枪,20世纪60年代后期,,4.9千克,1000米,900毫米,NULL,施泰尔-曼利夏有限公司(奥地利，维也纳),42发,枪械与单兵,NULL,NULL,澳大利亚,NULL
{'$oid': '5cc93231831b973d657f1992'},850发/分,http://images.huanqiu.com/sarons/2013/11/3294e813bcd106068670814e8f15ae22.jpg,NULL,5.56毫米,自动步枪,HKM27步兵自动步枪,2009年至今,"

HK M27步兵自动步枪（英语：HK M27 Infantry Automatic Rifle，简称：M27、IAR或M27 IAR，是美国海军陆战队对德国军火制造商黑克勒-科赫于2009年以HK416 5.56 × 45 毫米北约口径突击步枪枪管型重枪管版本的正式命名。
",3.6千克,800米,940毫米,NULL,NULL,30发,枪械与单兵,NULL,NULL,美国,NULL
{'$oid': '5cc93231831b973d657f1993'},NULL,,NULL,7.62毫米,自动步枪,AAC蜜獾式PDW突击步枪 ,2011年,,3千克,400米,737毫米,NULL,美国先进武器公司,30发,枪械与单兵,NULL,NULL,美国,NULL
{'$oid': '5cc93231831b973d657f1994'},750发/分,http://images.huanqiu.com/sarons/2013/11/290f357ff2495a32665c138ca9efe233.jpg,NULL,5.56毫米,自动步枪,MSBS Radon突击步枪,2007年,,3.7千克,400米,980毫米,NULL,阿切尔武器厂,30发,枪械与单兵,NULL,自动枪支,波兰,NULL
{'$oid': '5cc93231831b973d657f1995'},900发/分,http://images.huanqiu.com/sarons/2013/11/03c42ab3b608ccc1f04475474856b772.jpg,NULL,9毫米,自动步枪,AS Val微声自动步枪,1980年,,2.96千克,300米,875毫米,NULL,中央精密机械工程研究院,20发,枪械与单兵,NULL,NULL,苏/俄,NULL
{'$oid': '5cc93231831b973d657f1996'},NULL,http://images.huanqiu.com/sarons/2013/11/9876bdfaeeffd1fc8750b77e7471a3de.jpg,NULL,7.62毫米,自动步枪,R5 RGP 卡宾枪,NULL,,3.12千克,500米,852毫米,NULL,美国雷明顿公司,38发,枪械与单兵,NULL,NULL,美国,NULL
{'$oid': '5cc93232831b973d657f1997'},550发/分,http://images.huanqiu.com/sarons/2013/11/9be178f48da9ecdd739ff28695025202.jpg,NULL,5.56毫米,自动步枪,FAD无托突击步枪,2008年至今,"
FAD双重突击步枪（西班牙语：Fusil Automático Doble），简称FAD，是由秘鲁国有企业，司马电子元器件开发的一款无托式突击步枪。
",3.6千克,600米,814毫米,NULL,司马电子元器件,30发,枪械与单兵,NULL,NULL,秘鲁,NULL
{'$oid': '5cc93232831b973d657f1998'},710发/分,,墨西哥毒品战争,7.62毫米,自动步枪,国产86S自动步枪,1986年,"
国产86S自动步枪原本是我国一种无托步枪的试验枪，北方工业将其发扬光大，研制成为一种外贸枪。由于86S的外形问题，有些人误以为是一种全新的武器，实际上86S只是56式冲锋枪的无托型，各项性能指标也大同小异，只不过86S没有全自动射击的功能。
",3.6千克,400米,663毫米,2000,中国北方工业公司,30发,枪械与单兵,NULL,自动枪支,中国,NULL
{'$oid': '5cc93232831b973d657f1999'},40发/分,,NULL,5.56毫米,自动步枪,99式5.56mm自动步枪 ,1998年,"
99式5.56毫米自动步枪是在95式5.8毫米自动步枪基础之上研制而成，由白光瞄准镜和微光瞄准镜构成，可以安装5.8毫米枪族用多功能刺刀和快速装卸国产35毫米下挂防暴榴弹发射器发射35毫米系列防暴榴弹，可以实弹发射40毫米系列枪口榴弹。
",3.2千克,400米,755毫米,NULL,NULL,30发,枪械与单兵,NULL,导气式自动方式,中国,NULL
{'$oid': '5cc93232831b973d657f199a'},800发/分,http://images.huanqiu.com/sarons/2013/11/9b99468db1d83cea219c78e37fd038f9.jpg,NULL,5.56毫米,自动步枪,SIG SG 553卡宾枪,2009年至今,,3.4千克,450米,822毫米,NULL,Swiss Arms AG,30发,枪械与单兵,NULL,NULL,瑞士,NULL
{'$oid': '5cc93232831b973d657f199b'},600发/分,http://images.huanqiu.com/sarons/2013/11/aa3dba94ed931410a54d152140a7c059.jpg,NULL,5.56毫米,自动步枪,FN SCAR突击步枪,2009-现在,,3.12千克,500米,852毫米,NULL,美国FN公司,30发,枪械与单兵,NULL,NULL,比利时,NULL
{'$oid': '5cc93232831b973d657f199c'},700发/分,http://images.huanqiu.com/sarons/2013/11/27696890d71cc2a192df984d5cb85ae7.jpg,2001年阿富汗战争，墨西哥毒品战争,5.56毫米,自动步枪,ARX-160单兵武器,2009年至今,,3千克,600米,920毫米,NULL,伯莱塔公司,30发,枪械与单兵,NULL,NULL,意大利,NULL
{'$oid': '5cc93232831b973d657f199d'},700发/分,,NULL,5.8毫米,自动步枪,03式自动步枪,2003年至今,,3.5千克,500米,950毫米,NULL,中国北方工业集团公司,30发,枪械与单兵,NULL,NULL,中国,NULL
{'$oid': '5cc93232831b973d657f199e'},700发/分,http://images.huanqiu.com/sarons/2014/01/fb8a2fd69f3efb4f8684619dc0a55f68.jpg,NULL,5.56毫米,自动步枪,K11自动步枪,2009年,,6.1千克,500米,860毫米,NULL,韩国国防发展局,30发,枪械与单兵,NULL,自动枪支,韩国,NULL
{'$oid': '5cc93232831b973d657f199f'},900发/分,http://images.huanqiu.com/sarons/2014/01/5e9862d48a5b8c1aba2cb3624a776438.jpg,阿富汗战争，2011年利比亚内战，2011年叙利亚内战,5.56毫米,自动步枪,CQ突击步枪,1983年,,2.9千克,460米,987毫米,NULL,中国北方工业公司,30发,枪械与单兵,NULL,自动枪支,中国,NULL
{'$oid': '5cc93232831b973d657f19a0'},750发/分,http://images.huanqiu.com/sarons/2014/01/2c05c09aa4d48443fd2fdd22ae138e2a.jpg,六日战争,7.62毫米,自动步枪,加利尔自动步枪,1974年,,4.45千克,500米,987毫米,NULL,IMI公司,50发,枪械与单兵,NULL,NULL,以色列,NULL
{'$oid': '5cc93233831b973d657f19a1'},970发/分,http://images.huanqiu.com/sarons/2014/01/893ba686fdc85bfe97e2d42148cbb1b9.jpg,NULL,5.56毫米,自动步枪,CQ-5.56毫米A卡宾枪,NULL,"
基于M4/M4A1在伊拉克等局部战争中的出色表现，这个在原先研制的CQ5.56mm自动步枪的基础上开发了CQ5.56mm A卡宾枪。它的工作原理仍为导气式，主要运动部件枪机与枪机框也不变。弹种使用5.56毫米*45毫米(SS109枪弹)北约制式枪弹。
",3.3千克,460米,880毫米,NULL,中国北方工业公司,30发,枪械与单兵,NULL,NULL,中国,NULL
{'$oid': '5cc93233831b973d657f19a2'},650发/分,,一战，二战,7.62毫米,自动步枪,M1918自动步枪,1918年,"
勃朗宁自动步枪（Browning Automatic Rifle英文简称：BAR）。在第一次世界大战期间，美国军队参战后发现，在欧洲大陆环境恶劣的堑壕战中，他们缺乏密集的火力。1917年由武器设计师约翰·勃朗宁设计的一种可半自动或全自动步枪很快被军方选中，迅速投产，并被军方正式命名编号为M1918，勃朗宁自动步枪虽名为自动步枪但在使用时却往往作为轻机枪。
",7.25千克,1500米,1194毫米,NULL,约翰·勃朗宁,20发,枪械与单兵,NULL,自动枪支,美国,NULL
{'$oid': '5cc93233831b973d657f19a3'},810发/分,,越南战争,7.62毫米,自动步枪,布朗精密战术步枪,1969年,,6.63千克,900米,559毫米,NULL,雷明顿公司,20发,枪械与单兵,NULL,自动枪支,美国,NULL
{'$oid': '5cc93233831b973d657f19a4'},900发/分,,二战，德苏战争,8毫米,自动步枪,FG42伞兵步枪,1942年,"
FG42伞兵步枪（Fallschirmjägergewehr 42）是第二次世界大战期间德国空军专门为伞兵设计的自动步枪。FG42，虽然不是一种成功的战斗步枪，但其设计却很有意思，而且由于产量低，还不到7,000支，使这种步枪现在已经变得非常罕见，成为收藏家眼中的珍品。一支功能完好能够发射的FG42大概能卖个5万美元，而一支不能发射的FG42也能卖到1千至2千美元。
",4.5千克,550米,937毫米,7000,莱茵金属公司,20发,枪械与单兵,NULL,自动枪支,德国,NULL
{'$oid': '5cc93233831b973d657f19a5'},600发/分,http://images.huanqiu.com/sarons/2014/01/333656137a317a9593a0b0e3db488a79.jpg,NULL,5.56毫米,自动步枪,QBZ97自动步枪 ,1997年,"
QBZ97式自动步枪（1999年刚公布图片时曾被称为99式，在2000年的刊物上正式称为97式）是QBZ95式自动步枪的出口型，口径为西方国家流行的5.56mm NATO，主要是发射SS109规格的步枪弹。
",3.35千克,400米,758毫米,NULL,北方工业公司,30发,枪械与单兵,NULL,NULL,中国,NULL
{'$oid': '5cc93233831b973d657f19a6'},710发/分,http://images.huanqiu.com/sarons/2014/01/7c9841f40fccb3f9974822cd71ace01a.jpg,NULL,7.62毫米,自动步枪,MAK-90步枪,1990年,"
在84S型半自动步枪之后，中国北方工业公司又推出了MAK-90式半自动步枪。MAK-90是56式冲锋枪的改进型，主要面向民用市场，使用标准的7.62×39毫米枪弹，改装后也可使用5.56×45毫米北约制式枪弹。MAK-90推出不久，就成为美国销量最大的源自AK47设计的半自动步枪。
",3.745千克,400米,892毫米,NULL,中国北方工业公司,5发,枪械与单兵,NULL,NULL,中国,NULL
{'$oid': '5cc93233831b973d657f19a7'},600发/分,http://images.huanqiu.com/sarons/2014/02/1c7b2938eafe43b609213e76a3dd6655.jpg,NULL,7.62毫米,自动步枪,56-2式冲锋枪,1980年,,3.9千克,400米,874毫米,NULL,NULL,30发,枪械与单兵,NULL,NULL,中国,NULL
{'$oid': '5cc93233831b973d657f19a8'},600发/分,http://images.huanqiu.com/sarons/2014/01/fa27628260bfca615408bcc11a9e14dd.jpg,NULL,7.62毫米,自动步枪,QBZ56C型短突击步枪,1988年,,2.85千克,300米,764毫米,NULL,NULL,20发,枪械与单兵,NULL,导气式，可单、连发射击,中国,NULL
{'$oid': '5cc93233831b973d657f19a9'},NULL,http://images.huanqiu.com/sarons/2014/01/d2a51490c6555b5afa9576345bbaf1f7.jpg,NULL,7.62毫米,自动步枪,NHM-91步枪,1991年,,3.13千克,1000米,880毫米,NULL,中国北方工业公司,10发,枪械与单兵,NULL,NULL,中国,NULL
{'$oid': '5cc93234831b973d657f19aa'},777发/分,,NULL,7.62毫米,自动步枪,1956-C式7.62毫米短步枪,1990年,"
中国1990年12月定型投产的一种短自动步枪。是1956年式7.62毫米冲锋枪的变型枪。
",2.94千克,300米,765毫米,NULL,NULL,30发,枪械与单兵,NULL,自动枪支,中国,NULL
