_id,图片,口径,炮口初速,类型,名称,简介,研发单位,全长,研发时间,型号,最大射程,大类,炮管长度,产国,总重
{'$oid': '5cc93344831b973d657f2035'},http://images.huanqiu.com/sarons/2013/11/14fecb8970dc7a0cf7c2b01335fd021f.jpg,大口径炮,NULL,舰炮,AK-130型舰炮 ,,NULL,NULL,20世纪80年代,NULL,29500米,火炮,NULL,苏/俄,NULL
{'$oid': '5cc93344831b973d657f2036'},,7.62毫米,840米/秒,舰炮,MAG58M7.62mm机枪,"
MAG58M7.62mm机枪是比利时的FN赫斯特尔公司为地面部队研制的7.62mm口径MAG58机枪的机载型，代号为MAG(60/40)，主要是作为诸如FN TMG双机枪吊舱之类的机载外挂吊舱武器而发展的，供各型直升机和轻型固定翼飞机外挂使用。但是，也可用作诸如“轻型舱外枢轴”(LEP)、“轻型舱底枢轴”(LFP)、“轻型舱门枢轴”(LWP)、“外部枪架”(EMA)等枢轴式枪架之类的机载固定安装武器，供各型武装直升机舱门内/外安装使用。
",FN赫斯特尔公司,NULL,NULL,7.62mm口径标准弹药,NULL,火炮,1250毫米,比利时,12千克
{'$oid': '5cc93344831b973d657f2037'},,30毫米,900米/秒,舰炮,AK-630M型30mm6管舰炮,,NULL,1629毫米,1963年,NULL,8100米,火炮,1620毫米,苏/俄,1918千克
{'$oid': '5cc93344831b973d657f2038'},,NULL,NULL,舰炮,双37舰炮,,NULL,NULL,NULL,NULL,NULL,火炮,NULL,中国,NULL
{'$oid': '5cc93344831b973d657f2039'},,25毫米,NULL,舰炮,MK38型25毫米舰炮,,NULL,NULL,NULL,NULL,2000米,火炮,NULL,美国,NULL
{'$oid': '5cc93344831b973d657f203a'},,37毫米,1000米/秒,舰炮,76A式37毫米双管舰炮,,NULL,NULL,NULL,NULL,7000米,火炮,NULL,中国,5000千克
{'$oid': '5cc93344831b973d657f203b'},,30毫米,850米/秒,舰炮,20mmG1-2/GA-1通用机炮,,阿姆斯考公司,NULL,第二次世界大战时期,30mm口径系列弹药,NULL,火炮,2024毫米,南非,150千克
{'$oid': '5cc93345831b973d657f203c'},,35毫米,1440米/秒,舰炮,奥利康（Oerlikon）35/1000转膛炮,"
奥利康（Oerlikon）35/1000转膛炮是瑞士奥利康-康特拉夫斯公司研制的新型大口径通用机炮，90年代初开始研制，1994年开始地面试射。装备与地面战军、海上舰艇，又可装备重型武装直升机和固定翼飞机。
",奥利康-康特拉夫斯公司,NULL,90年代初,35mm口径标准弹药,NULL,火炮,4100毫米,瑞士,450千克
{'$oid': '5cc93345831b973d657f203d'},http://images.huanqiu.com/sarons/2013/11/6319c6c0d7a6b6cbbf80442498b53c7e.jpg,30毫米,NULL,舰炮,DS30B型30毫米舰炮,,NULL,NULL,NULL,NULL,NULL,火炮,NULL,英国,NULL
{'$oid': '5cc93345831b973d657f203e'},,25毫米,890米/秒,舰炮,61式25毫米双管舰炮,,NULL,NULL,NULL,NULL,2778米,火炮,NULL,中国,1735千克
{'$oid': '5cc93345831b973d657f203f'},,12.7毫米,920米/秒,舰炮,M3M/P12.7mm机枪,"
M3M/P12.7mm机枪是比利时的FN赫斯特尔公司在其早期12.7mm口径“布朗宁”(Browning)M3型航空机枪的基础上研制的两种机载型重机枪。

“布朗宁”(Browning)机枪最初是由J·M·“布朗宁”(Browning)于1918年开始设计的，直到1946年完成研制，并由世界各国、其中包括FN赫斯特尔公司，购买其专利技术，大量生产M3航空机枪。既可用作诸如FN HMP重机枪吊舱和MRL70组合式武器吊舱之类的机载外挂吊舱武器，供各型直升机和轻型固定翼飞机外挂使用，也可用作诸如“中型舱底枢轴”(MFP)、“中型舱外枢轴”(MEP)、以及意大利的阿里亚公司(Aerea)“舱门射手台”(DGP)等枢轴式枪架之类的机载固定安装武器，供各型武装直升机舱门内/外安装使用。
",FN赫斯特尔公司,NULL,1946年,12.7mm口径标准弹药,NULL,火炮,1650毫米,比利时,35千克
{'$oid': '5cc93345831b973d657f2040'},http://images.huanqiu.com/sarons/2013/11/4f34b79d4a67e3a79da972f9b4c94c52.jpg,37毫米,NULL,舰炮,61式双联装37mm舰炮,,NULL,NULL,NULL,NULL,NULL,火炮,NULL,中国,NULL
{'$oid': '5cc93345831b973d657f2041'},http://images.huanqiu.com/sarons/2014/03/982c8a9b9826d9e6ae82f7fd7bc662e5.jpg,76毫米,925米/秒,舰炮,“奥托”紧凑型76毫米舰炮,“奥托”紧凑型76毫米舰炮是意大利奥托.梅莱拉公司生产的全自动高平两用舰炮。1969年定型生产，到90年代初，已装备美国、德国、澳大利亚、日本、泰国、韩国和中国台湾等40多个国家或地区。主要装备小型舰艇，用于拦截导弹、飞机和攻击快速舰艇。,意大利奥托.梅莱拉公司,NULL,20世纪60年代,NULL,16300米,火炮,4712毫米,意大利,NULL
{'$oid': '5cc93345831b973d657f2042'},http://images.huanqiu.com/sarons/2014/03/addcd54a34404960db0bb74af22724a8.jpg,30毫米,1080米/秒,舰炮,“埃默莱克”30式30毫米双管舰炮,"
美国埃默森电气公司研制的口径30毫米双管舰炮。主要装备海岸巡逻舰艇，用于防空和打击小型目标。样机型号为EX－74型，20世纪70年代初期研制，1972年研制成功。由于美国海军并未选用该样机炮，后来对样机又进行了改进，成为“埃默莱克”30式30毫米双管舰炮。出口厄瓜多尔、希腊、韩国、马来西亚、摩洛哥和尼日利亚等国家。
",美国埃默森电气公司,NULL,20世纪70年代初期,NULL,6000米,火炮,2250毫米,美国,3600千克
{'$oid': '5cc93346831b973d657f2043'},http://images.huanqiu.com/sarons/2013/11/f0da7ddde01f5cee03985c705518d946.jpg,7.62毫米,869米/秒,舰炮,M134迷你炮(Minigun),,NULL,800毫米,NULL,NULL,1000米,火炮,559毫米,美国,15.9千克
{'$oid': '5cc93346831b973d657f2044'},http://images.huanqiu.com/sarons/2014/01/e2f392da583e06af4fde7fd57f111fe0.jpg,20毫米,NULL,舰炮,T-75 20毫米机炮,"
T-75 20毫米机炮是联勤205兵工厂仿制美国M-39A3空用机炮所研发的通用支援火器。M-39机炮系列于1950年代在美制战机上大量配发，中华民国空军也使用装备于F-86与F-5等战斗机上的M39机炮；205厂从空军手中得到实枪与各种零件样品，甚至是原厂支援及操作经验并不困难，很快地设计出需要的支援平台，进而量产。
",联勤205兵工厂,NULL,NULL,NULL,2000米,火炮,NULL,中国,85千克
{'$oid': '5cc93346831b973d657f2045'},http://images.huanqiu.com/sarons/2014/03/adb51e66f0e595b332176f2df14e9ddf.jpg,57毫米,1025米/秒,舰炮,“博福斯”57毫米舰炮,"
“博福斯”57毫米舰炮是瑞典博福斯公司研制的口径57毫米单管高平两用舰炮。20世纪70年代后期开始研制，1980年6月在国际海军展览会上展出该炮模型。80年代初期研制完成，1985年正式装备。主要用于对付固定翼飞机、直升机。反舰导弹、海上舰艇和路上目标。除瑞典海军和加拿大海军装备外还出口墨西哥、印度尼西亚和南非等国家。
",瑞典博福斯公司,NULL,20世纪70年代后期,NULL,17000米,火炮,3990毫米,瑞典,NULL
{'$oid': '5cc93346831b973d657f2046'},http://images.huanqiu.com/sarons/2014/03/f62b526683b3fd71f4716ad73e547a75.jpg,127毫米,807米/秒,舰炮,Mk42 127毫米舰炮,"
美国食品机械公司北方军械部研制的口径127毫米高平两用舰炮。主要用于中型或大型舰艇防空作战，或打击海上和岸上目标。第二次世界大战后，在MK39 127毫米舰炮基础上改制而成，之后又做了多次改进，发展了10个型号，共生产170余座，装备美国、澳大利亚、德国、日本、西班牙等5个国家的中型水面舰艇上。
",美国食品机械公司北方军械部,NULL,NULL,NULL,23700米,火炮,6858毫米,美国,66000千克
{'$oid': '5cc93346831b973d657f2047'},,30毫米,1040米/秒,舰炮,“布雷达”紧凑型30毫米双管舰炮,“布雷达”紧凑型30毫米双管舰炮是意大利布雷达机械有限公司研制的口径为30毫米双管全自动舰炮。是在“布雷达”双管40毫米舰炮基础上研制的。1980年开始研制，1984年投入生产，主要用于承担防空、反导和打击海面小型舰艇任务。,意大利布雷达机械有限公司,NULL,1980年,NULL,3000米,火炮,2460毫米,意大利,NULL
{'$oid': '5cc93346831b973d657f2048'},http://images.huanqiu.com/sarons/2014/03/a098c1d3138a20996886385afae4bcd7.jpg,406毫米,820米/秒,舰炮,MK-7 406毫米3管舰炮,"
MK-7 406毫米3管舰炮是美国研制的口径406毫米3管舰炮，1938年开始研制，1943年2月装备在“艾奥瓦”级战列舰上，在1991年海湾战争中，“密苏里”号和“威斯康星”号战列舰曾使用该炮对伊拉克军队进行炮击。主要装备战列舰，用于打击岸上和海上目标。
",NULL,NULL,1938年,NULL,NULL,火炮,15300毫米,美国,1735千克
{'$oid': '5cc93346831b973d657f2049'},http://images.huanqiu.com/sarons/2014/03/021000523980abed33b940554b8032e3.jpg,127毫米,808米/秒,舰炮,“奥托”紧凑型127毫米舰炮,"
“奥托”紧凑型127毫米舰炮是意大利奥托.梅莱拉公司研制的口径127毫米单管高平两用舰炮。1966年开始研制，1972年初装备意大利海军和加拿大海军，还出口阿根廷、伊拉克、日本、尼日利亚、委内瑞拉等国家。主要用于防空和打击海上或岸上中小型目标，装备于驱逐舰或护卫舰上。
",意大利奥托.梅莱拉公司,NULL,1966年,NULL,23680米,火炮,6858毫米,意大利,37500千克
{'$oid': '5cc93347831b973d657f204a'},,76毫米,980米/秒,舰炮,AK-1 76毫米舰炮,AK-1 76毫米舰炮是苏联下诺夫哥罗德机械制造厂研制的口径76毫米全自动多用途舰炮。主要用于防空、对海和对岸作战。第一代产品为双管76毫米舰炮，20世纪50年代末开始设计，1962年安装在“格罗兹尼”号巡洋舰上。AK-1型单管76毫米舰炮为第二代产品，从70年代初开始研制，1978年装备苏联海军，主要安装在小型护卫航、导弹艇、快艇、巡逻艇等，并出口民主德国、印度和波兰等国。,苏联下诺夫哥罗德机械制造厂,NULL,70年代初,NULL,17000米,火炮,4484毫米,苏/俄,NULL
{'$oid': '5cc93347831b973d657f204b'},http://images.huanqiu.com/sarons/2014/03/b536d30e62a22961f3f7f276c710dffb.jpg,114毫米,900米/秒,舰炮,MK8 114毫米舰炮,"
MK8 114毫米舰炮是英国维克斯军械部巴罗工程制造厂研制的口径114毫米单管高平两用舰炮。该炮在MK6式114毫米舰炮基础上改进而成，1972年投入使用。装备在42型驱逐舰和21型、22型、23型护卫舰上，主要用于对海面、岸上和空中目标射击。90年代初出口阿根廷、巴西、泰国等国家。
",英国维克斯军械部巴罗工程制造厂,NULL,60年代末,NULL,NULL,火炮,6270毫米,英国,26400千克
