图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/11/80aa4d42f69604cb0159ccbd4e7f27ce.jpg,NULL,NULL,NULL,"

",NULL,NULL,NULL,NULL,24.8米,NULL,807米,舰船舰艇,保障辅助舰艇,130人,178米,中国,NULL,19节,NULL,886 千岛湖号补给舰,NULL,{'$oid': '5cc93216831b973d657f18c4'},NULL,2003年7月21日,NULL,2005年4月30日
NULL,NULL,服役中,10975吨,"
884镜泊湖号，904型（北约称大运级）运输补给舰，曾用名“南运952”、952、“渔政21”（临时调用）。上海求新造船厂建造，1992年8月服役，配属南海舰队。
",上海求新造船厂,NULL,NULL,NULL,20.6米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,156.2米,中国,中国南海,22节,NULL,884镜泊湖号补给舰,NULL,{'$oid': '5cc93216831b973d657f18c5'},NULL,NULL,10000-50000吨,1992年8月
NULL,NULL,NULL,23000吨,"
889 太湖号，903A型（福池级改进型）远洋补给舰，广船国际制造，2012年3月22日下水，2013年6月18日上午，入列命名授旗仪式在青岛某军港码头举行，正式服役于北海舰队。
",广船国际,NULL,NULL,NULL,248米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,178.5米,中国,NULL,NULL,NULL,889 太湖号补给舰 ,NULL,{'$oid': '5cc93216831b973d657f18c6'},NULL,2012年3月22日,10000-50000吨,2013年6月18日上午
http://images.huanqiu.com/sarons/2013/11/e93cb20f6fa642314a35dd75f0c62a7f.jpg,NULL,现役,15000吨,"
抚仙湖号综合补给舰是我国建造的最新一艘补给舰，舷号888，隶属南海舰队，属于综合型的大型补给舰。2007年，904A型舰首舰“抚仙湖”号服役，目前尚未确认有后续舰存在。该舰船体与以前的福池型补给舰相似，但并未设置补给站。中部两舷装备有与福池型相似的吊车，但在福池型前后补给站的位置，“抚仙湖”号 装备有4部门型吊艇架，每舷各2部。目前尚不清楚该吊车用于吊放何种艇型，可能是车辆人员登陆艇。舰上也没有福池型上所见到的补给指挥所。
",NULL,NULL,NULL,NULL,24.8米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,171.4米,中国,NULL,NULL,NULL,888 抚仙湖号补给舰,NULL,{'$oid': '5cc93216831b973d657f18c7'},NULL,NULL,10000-50000吨,2007年
http://images.huanqiu.com/sarons/2013/11/ad1cb4d8ac459f739e20cc39f42125ee.jpg,NULL,NULL,10975吨,"
883 阳澄湖号，904型（北约称大运级）运输补给舰，曾用名“南运951”、951。上海求新造船厂建造，1992年3月服役，配属南海舰队。
",上海求新造船厂,NULL,NULL,NULL,20.6米,NULL,6.8米,舰船舰艇,保障辅助舰艇,240人,156.2米,中国,NULL,22节,NULL,883 阳澄湖号补给舰,NULL,{'$oid': '5cc93216831b973d657f18c8'},NULL,NULL,10000-50000吨,1992年3月
http://images.huanqiu.com/sarons/2013/11/c5168c0eaaf1635bceb4ca8e974b286a.jpg,NULL,NULL,2150吨,NULL,广州造船厂,最大3000海里,NULL,12天,13.4米,NULL,3.9米,舰船舰艇,保障辅助舰艇,NULL,86米,中国,NULL,16节,NULL,833 南康号医疗船,1980年,{'$oid': '5cc93216831b973d657f18c9'},NULL,1981年,2000-5000吨,1981年
http://images.huanqiu.com/sarons/2013/11/912c48c57493a668121a4fd053c7919e.jpg,NULL,NULL,21740吨,882 鄱阳湖号(曾用弦号X615、R327、东运615丰仓号)，905型“太仓”级(北约代号福清级)补给船，为我国第一艘油水干货补给船。,大连造船厂,NULL,15230吨,90天,21.8米,NULL,12米,舰船舰艇,保障辅助舰艇,180人,168.2米,中国,亚洲,18.5节,NULL,882 鄱阳湖号补给舰,1976年6月25日,{'$oid': '5cc93216831b973d657f18ca'},NULL,1976年10月19日,10000-50000吨,1979年12月15日
http://images.huanqiu.com/sarons/2013/11/2b07843065449f7b4ed7401f984885f0.jpg,NULL,在役,20530吨,NULL,黄埔造船厂,NULL,NULL,NULL,24.6米,NULL,NULL,舰船舰艇,保障辅助舰艇,130人,171.4米,中国,NULL,19节,千岛湖号综合补给舰（舷号886），太湖号综合补给舰（舷号889），巢湖号综合补给舰（舷号890）,887 微山湖号补给舰,NULL,{'$oid': '5cc93216831b973d657f18cb'},NULL,2003年7月1日,10000-50000吨,2004年4月
http://images.huanqiu.com/sarons/2013/11/1829948605ef86daf106b197f584d5b1.jpg,NULL,NULL,37000吨,NULL,Komandram Fedko级AOR，乌克兰Kherson船厂,NULL,NULL,NULL,25.33米,NULL,NULL,舰船舰艇,保障辅助舰艇,125人,188.9米,中国,NULL,15.5节,NULL,885 青海湖号补给舰,NULL,{'$oid': '5cc93217831b973d657f18cc'},NULL,NULL,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2014/06/5c9993bea1293c4456495b147b0da290.jpg,NULL,NULL,21740吨,"
  905型“太仓”级补给船(北约代号福清级)，为我国第一艘油水干货补给船。20世纪70年代初，为了完成远程运载火箭的发射保障任务，中国海军开始建造以“旅大”级导弹驱逐舰和“远望”1、2号测量船为主体的远洋测量保障船队，为了延长编队在远海区域活动的时间，同时开始研制我国第一型综合补给舰——“太仓”级综合补给舰，由大连造船厂负责设计建造。该
",大连造船厂,18000海里,NULL,NULL,21.8米,NULL,NULL,舰船舰艇,保障辅助舰艇,180人,168.2米,中国,NULL,18.5节,NULL,905型“太仓”级补给船,1976年6月25日,{'$oid': '5cc93217831b973d657f18cd'},(5分),NULL,10000-50000吨,1979年12月15日
http://images.huanqiu.com/sarons/2013/11/7e108b5e5053c59064d8dd6b8bbbcbe4.jpg,905型福清级远洋油水干货补给舰四号舰,NULL,21740吨,"
905型远洋油水干货补给舰（718工程配套船只，北约代号“福清”级），该级舰第四艘是为巴基斯坦海军改装建造，1986年2月开工，称为T250型综合补给船A47纳色尔号。
",NULL,NULL,NULL,NULL,21.8米,NULL,NULL,舰船舰艇,保障辅助舰艇,293人,170.45米,中国,NULL,NULL,T250综合补给船,A47 纳色尔号补给船,1986年2月25日,{'$oid': '5cc93217831b973d657f18ce'},NULL,1987年11月,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2013/11/cff3e2613064c7afe36f1836539ee535.jpg,NULL,NULL,23000吨,NULL,沪东造船厂,NULL,NULL,NULL,24.8米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,178.5米,中国,NULL,NULL,NULL,890 巢湖号补给舰,NULL,{'$oid': '5cc93217831b973d657f18cf'},NULL,2012年5月7日,10000-50000吨,2013年9月12日
http://images.huanqiu.com/sarons/2013/11/1b0893098d16ef7e168ce56363a89d2b.jpg,NULL,NULL,NULL,"
614I型海洋水文天气调查船6月完成扩大初步设计，6月28日，在北京召开614I海洋水文天气船的设计审查会，同年12月完成施工设计，1967年2月由江南造船厂开工建造1艘，1969年12月14日“向阳红01”号船出厂，归东海分局使用。
",NULL,NULL,1120吨,NULL,10.2米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,66.22米,中国,NULL,15.1节,NULL,614I型海洋水文天气调查船,1967年,{'$oid': '5cc93217831b973d657f18d0'},NULL,1969年,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/b271c08caedbb185304b0fea33277960.jpg,NULL,NULL,21000吨,NULL,NULL,NULL,NULL,100天,22.6米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,192米,中国,NULL,20节,NULL,远望2号测量船,1977年,{'$oid': '5cc93217831b973d657f18d1'},NULL,1977年,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2013/11/b5d278e972c5a3e19e2cfba7d9690a1c.jpg,NULL,NULL,4590吨,NULL,上海沪东造船厂,NULL,NULL,45天,15.2米,NULL,5.5米,舰船舰艇,保障辅助舰艇,150人,112.22米,中国,NULL,19节,NULL,852 海王星侦察船/向阳红21号/海洋13号,1982年9月,{'$oid': '5cc93217831b973d657f18d2'},NULL,NULL,2000-5000吨,NULL
http://images.huanqiu.com/sarons/2013/11/ff59cd3e103b474bd057f1eb82141dee.jpg,NULL,在役,NULL,NULL,中华造船厂,NULL,1327吨,NULL,10.5米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,71.55米,中国,NULL,14节,NULL,勘查二号深潜器母船,NULL,{'$oid': '5cc93218831b973d657f18d3'},NULL,1983年5月,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/950d2d267140139f6fb64981c5472393.jpg,NULL,NULL,1500吨,NULL,沪东造船厂,NULL,NULL,NULL,11米,NULL,2.7米,舰船舰艇,保障辅助舰艇,150人,82米,中国,NULL,18节,NULL,东救304近海潜水救生船,1982年12月,{'$oid': '5cc93218831b973d657f18d4'},NULL,NULL,500-2000吨,NULL
http://images.huanqiu.com/sarons/2013/11/21a21608da38bcfa10014a4392204ced.jpg,NULL,NULL,676吨,NULL,708所4室设计，桂江造船厂（449厂）,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,60米,中国,NULL,15.51节,NULL,646型扫海测量船,1978年12月,{'$oid': '5cc93218831b973d657f18d5'},NULL,1982年7月25日,500-2000吨,NULL
http://images.huanqiu.com/sarons/2013/11/fc23fd2fc1b299fdff7329939ac22458.jpg,NULL,已退役,12700吨,NULL,NULL,NULL,NULL,100天,20.6米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,156.2米,中国,NULL,20节,NULL,远望4号测量船,1998年,{'$oid': '5cc93218831b973d657f18d6'},NULL,NULL,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2013/11/4976bb854ef85c0a9f46e3b767129088.jpg,069型登陆艇,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,NULL,中国,NULL,NULL,NULL,069型航道测量船,NULL,{'$oid': '5cc93218831b973d657f18d7'},NULL,NULL,NULL,NULL
NULL,679型改进型,现役,55000吨,NULL,中国沪东中华造船集团,NULL,NULL,NULL,16.4米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,132米,中国,NULL,22节,NULL,937号综合训练舰,2003年,{'$oid': '5cc93218831b973d657f18d8'},NULL,NULL,50000吨以上,2006年7月7日
http://images.huanqiu.com/sarons/2013/11/1b6685dd4a75d70f193e3cc02eebec3c.jpg,NULL,在役,2150吨,NULL,NULL,最大3000海里,NULL,12天,13.4米,NULL,7.3米,舰船舰艇,保障辅助舰艇,NULL,86米,中国,NULL,16节,NULL,832（南运830，南医09），琼沙级医院船,NULL,{'$oid': '5cc93218831b973d657f18d9'},NULL,NULL,2000-5000吨,NULL
NULL,NULL,NULL,590吨,NULL,NULL,NULL,NULL,NULL,8.5米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,54米,中国,NULL,15节,NULL,海声582 小型水声工作船,1965年,{'$oid': '5cc93219831b973d657f18da'},NULL,NULL,500-2000吨,NULL
http://images.huanqiu.com/sarons/2013/11/848195644ce970ebb3d87673249b6432.jpg,福池级补给舰,在役,22000吨,NULL,NULL,最大航程,NULL,NULL,24.6米,NULL,NULL,舰船舰艇,保障辅助舰艇,138人,171.4米,中国,印度洋,20节,NULL,871 锡米兰号补给舰,NULL,{'$oid': '5cc93219831b973d657f18db'},NULL,NULL,10000-50000吨,1996年8月12日
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,NULL,中国,NULL,NULL,NULL,635型中型海道测量船,1970年,{'$oid': '5cc93219831b973d657f18dc'},NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,NULL,中国,NULL,NULL,NULL,6610型(曙光级)海洋调查船 ,NULL,{'$oid': '5cc93219831b973d657f18dd'},NULL,NULL,NULL,NULL
NULL,614II海洋水文天气船,现役,NULL,NULL,广州造船厂，芜湖造船厂,NULL,1170吨,NULL,4.7米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,74米,中国,NULL,17.8节,NULL,614III型海洋综合调查船,1971年6月,{'$oid': '5cc93219831b973d657f18de'},NULL,1972年4月20日,NULL,1974年9月26日
NULL,NULL,NULL,NULL,NULL,江南造船厂,NULL,1165吨,NULL,10.2米,NULL,NULL,舰船舰艇,保障辅助舰艇,82人,65.22米,中国,NULL,15节,NULL,595型中型水声调查船,1967年9月,{'$oid': '5cc93219831b973d657f18df'},NULL,1972年,NULL,1973年
NULL,NULL,退役,14500吨,NULL,NULL,NULL,NULL,NULL,19.5米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,152.6米,中国,NULL,16节,NULL,向阳红5号海洋调查船,NULL,{'$oid': '5cc93219831b973d657f18e0'},NULL,1966年下水,10000-50000吨,1970年
http://images.huanqiu.com/sarons/2013/11/2e0607fdc7e0cf67aad69a4d0a13a3fc.jpg,NULL,NULL,NULL,NULL,中华造船厂,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,NULL,中国,NULL,NULL,NULL,勘察三号深水兵器试验船,1984年12月,{'$oid': '5cc9321a831b973d657f18e1'},NULL,1986年10月,NULL,1987年1月
http://images.huanqiu.com/sarons/2013/11/081bd5f152faa6856d82882ba100fa72.jpg,NULL,NULL,2500吨,NULL,NULL,NULL,NULL,NULL,13.5米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,85米,中国,NULL,17节,NULL,海救512号氦氧救生船,1965年,{'$oid': '5cc9321a831b973d657f18e2'},NULL,NULL,2000-5000吨,NULL
NULL,068型登陆艇,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,NULL,中国,NULL,NULL,NULL,068型航道测量船,NULL,{'$oid': '5cc9321a831b973d657f18e3'},NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/745b68c115b676f5350d16c58c59ec59.jpg,NULL,现役,2198吨,NULL,武昌造船厂,NULL,NULL,45天,11.6米,NULL,4.04米,舰船舰艇,保障辅助舰艇,152人,94.33米,中国,NULL,20.03节,NULL,北调900 侦察船,1983年12月22曰,{'$oid': '5cc9321a831b973d657f18e4'},NULL,1986年6月12日,2000-5000吨,1986年
http://images.huanqiu.com/sarons/2013/11/700df71257c42a2bd166b9d6eb61884c.jpg,沪东级,现役,NULL,NULL,武昌造船厂,NULL,NULL,NULL,14.6米,大东级,NULL,舰船舰艇,保障辅助舰艇,180人,115米,中国,NULL,16节,NULL,北救122打捞救生船,1982年12月20曰,{'$oid': '5cc9321a831b973d657f18e5'},NULL,1983年5月20曰,NULL,1987年3月16日
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.74米,NULL,NULL,舰船舰艇,保障辅助舰艇,NULL,104.27米,中国,NULL,15节,NULL,625/625B型调查船 ,NULL,{'$oid': '5cc9321a831b973d657f18e6'},NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/f0810b29feafbc08bc10b002c4038970.jpg,NULL,在役,NULL,"
郑和号训练舰是中国自行设计建造的第一艘远洋航海训练舰，1987年服役。舰上设有卫星导航仪和GPS全球定位系统等先进设备，以及全自动火炮、火箭深弹发射器等武器装备，教学、通信、机电、生活、医疗设施齐全，并设教学指挥中心和教学彩色电视闭路系统。这是中国人民海军成立以来，为海军院校建造的第一艘远洋航海训练舰，被誉为“中国军校第一舰”。
",上海求新造船厂,NULL,NULL,30天,15.8米,NULL,NULL,舰船舰艇,保障辅助舰艇,200人,103.07米,中国,NULL,17节,NULL,81 郑和号训练舰,1985年7月6日,{'$oid': '5cc9321a831b973d657f18e7'},NULL,1986年7月12日,NULL,1987年4月27日
