图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,反舰导弹,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/11/4d411d98d943ac3cfcec3e5a94e2e07f.jpg,NULL,NULL,1661.5吨,"
516 九江号，曾命名长沙号，1978年1月舷号由526改为516，1981年8月1日命名为“九江舰”。053H型（江湖I级）导弹护卫舰的首舰。1975年2月2日根据“订字75—160号”合同开工在沪东造船厂开工建造，1975年6月28日下水，1975年9月17日—10月10日试航，1975年12月31日交船，服役于东海舰队。
",沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,3.19米,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“九江”号（516）导弹护卫舰,1975年2月2日,{'$oid': '5cc931d8831b973d657f1718'},NULL,1975年6月28日,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/a1db4745d2f21631fcf32869dd866ada.jpg,NULL,2012年8月16日退役,1661.5吨,511南通号属053H型(江湖I级)导弹护卫舰。1976年2月23日在沪东造船厂开工，1976年11月9日下水，1986年8月1日被命名为“南通舰”。,沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“南通”号（511）护卫舰,1976年2月23日,{'$oid': '5cc931d8831b973d657f1719'},NULL,1976年11月9日,500-2000吨,NULL,1977年3月31日
http://images.huanqiu.com/sarons/2013/11/7ebee07c40b4aaa64c88de9ae0ac0ece.jpg,NULL,NULL,2400吨,567 襄樊号，053H3型（北约称江卫Ⅱ级)导弹护卫舰，广州造船厂制造，2002年5月服役于南海舰队。,广州造船厂,NULL,5000海里/16节,NULL,NULL,NULL,12.4米,NULL,NULL,舰船舰艇,护卫舰,168人,112米,中国,NULL,26.5节,NULL,“襄樊”号（567）,NULL,{'$oid': '5cc931d8831b973d657f171a'},NULL,NULL,2000-5000吨,NULL,2002年5月
http://images.huanqiu.com/sarons/2013/11/692a70e02b1423890742ab3b83652e96.jpg,NULL,NULL,2250吨,“江卫II”级护卫舰565号也曾被命名为“玉林”号，但现今已改名为“三亚”号2010年2月1日南海舰队054型护卫舰(“江卫II”级护卫舰)569号交付 。569号国产最新型导弹护卫舰入列命名“玉林”号（原来565玉林舰改名三亚舰，2013年4月，又改名为葫芦岛舰）。,广州造船厂,NULL,5000海里/16节,NULL,NULL,NULL,14米,葫芦岛舰,NULL,舰船舰艇,护卫舰,180人,115米,中国,NULL,28节,“三亚”号,“玉林”号（565）护卫舰,NULL,{'$oid': '5cc931d9831b973d657f171b'},NULL,NULL,2000-5000吨,NULL,2010年2月1日
NULL,NULL,已退役,1389吨,508 西昌号，曾命名为衡阳号，6601型护卫舰，是中国海军自行建造的第一型护卫舰6601型护卫舰的四号舰，1956年3月在上海沪东造船厂开工建造，1958年服役于华东军区海军，服役早期舷号为208，命名为衡阳舰。,上海沪东造船厂,NULL,2000海里/14节,NULL,NULL,NULL,10.1米,NULL,NULL,舰船舰艇,护卫舰,190人,91.5米,中国,NULL,28节,NULL,“西昌”号(508) 护卫舰,1956年,{'$oid': '5cc931d9831b973d657f171c'},NULL,1957年,500-2000吨,NULL,1958年
http://images.huanqiu.com/sarons/2013/11/1a65037c20797a6429005b665a1bbf42.jpg,NULL,NULL,2250吨,542 铜陵号，053H2G（江卫I级)型护卫舰，沪东造船厂制造，1991年开工，1993年12月下水，1994年7月1日服役。1994年11月10日，被命名为“铜陵舰”。,沪东造船厂,NULL,4000海里/18节,2座三联装鹰击-8A舰舰导弹发射装置防空导弹,NULL,NULL,12.1米,NULL,NULL,舰船舰艇,护卫舰,170人,111.7米,中国,NULL,25节,NULL,“铜陵”号（542） ,1991年,{'$oid': '5cc931d9831b973d657f171d'},NULL,1993年12月,2000-5000吨,NULL,1994年7月1日
http://images.huanqiu.com/sarons/2013/11/36eea8aa842a5cbec39eea1131c31963.jpg,NULL,NULL,2250吨,淮南号，江卫级（053H2G)护卫舰，沪东造船厂制造，于1990年下水，1992年6月服役。,沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,12.1米,NULL,NULL,舰船舰艇,护卫舰,170人,111.7米,中国,NULL,25节,NULL,“淮南”号（540）,NULL,{'$oid': '5cc931d9831b973d657f171e'},NULL,1990年,2000-5000吨,NULL,1992年6月
http://images.huanqiu.com/sarons/2013/11/3d822ce1946dc93fc337a8d8238da132.jpg,NULL,已退役,1389吨,"
506 成都号，6601型（成都级）护卫舰，1955年8月在上海沪东造船厂开工建造，1956年9月26日下水，1957年开始服役于东海舰队，1974年西沙海战后调往南海舰队。1994年退役。
",上海沪东造船厂,NULL,2000公里/18节,NULL,NULL,NULL,10.1米,NULL,NULL,舰船舰艇,护卫舰,190人,91.5米,中国,NULL,28节,NULL,“成都”号(506)护卫舰,1955年,{'$oid': '5cc931d9831b973d657f171f'},NULL,1956年,500-2000吨,NULL,1957年
http://images.huanqiu.com/sarons/2013/11/60273c8708155a50a9094a73b99bb870.jpg,NULL,NULL,1661.5吨,563 肇庆号，053H1G型（江湖Ⅴ级）导弹护卫舰。广州黄埔造船厂建造，1995年服役于南海舰队。,广州黄埔造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,28节,NULL,“肇庆”号（563）护卫舰,NULL,{'$oid': '5cc931da831b973d657f1720'},NULL,NULL,500-2000吨,NULL,1995年
http://images.huanqiu.com/sarons/2013/11/bbe2ec5ad622fcfa98bd0ef9aebe4fa4.jpg,NULL,已退役,1661.5吨,"513 淮安号，053H型(江湖I级)导弹护卫舰。原名“淮阴号”，2006年12月20日更名为“淮安号” 
。1976年3月22日在沪东造船厂开工，1977年4月19日下水，1977年10月29日—11月29日试航，1977年12月31日交船，服役于东海舰队。2013年5月20日退役。",沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“淮阴”号(513)护卫舰,1976年,{'$oid': '5cc931da831b973d657f1721'},NULL,1977年,500-2000吨,NULL,1977年
http://images.huanqiu.com/sarons/2013/11/1dab956c5c25a58d199221b237318155.jpg,NULL,NULL,1960吨,561 汕头号，053H1G型（江湖Ⅴ级）导弹护卫舰。广州黄埔造船厂建造，1993年10月“汕头舰”命名，现服役于南海舰队。,广州黄埔造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“汕头”号(561)护卫舰,1991年,{'$oid': '5cc931da831b973d657f1722'},NULL,NULL,500-2000吨,NULL,1993年
http://images.huanqiu.com/sarons/2013/11/c5c95bcdba8ca14d5dad67c5a8742d1e.jpg,NULL,NULL,1960吨,"
560 东莞号，053H1G型（江湖Ⅴ级）导弹护卫舰。1993年3月广州黄埔造船厂下水，1993年6月6日命名，1993年10月服役于南海舰队。2007年12月4806船厂改装。
",广州黄埔造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,亚洲,25.5节,NULL,“东莞”号（560）护卫舰,NULL,{'$oid': '5cc931da831b973d657f1723'},NULL,1993年3月,500-2000吨,NULL, 1993年10月
http://images.huanqiu.com/sarons/2013/11/d0266dceb6a058ddbda4b1eb50943523.jpg,NULL,NULL,2784吨,"
美国海军第一艘濒海战斗舰(LCS-1)""自由""号于2008年11月8日正式服役。它是美国海军""由海向陆""、""前沿存在""等战略的产物，它的服役填补了当前美国海军力量与新海上战略之间所存在的""空白""。
",NULL,NULL,4300海里/18节；4500海里/16节,NULL,NULL,NULL,3.16米,NULL,NULL,舰船舰艇,护卫舰,70人,127.4米,美国,NULL,44节,NULL,自由级濒海战斗舰(LCS-1),NULL,{'$oid': '5cc931da831b973d657f1724'},NULL,NULL,2000-5000吨,NULL,2008年11月8日
http://images.huanqiu.com/sarons/2013/11/506c928f6a27cd35e7d9b57bf64708e7.jpg,NULL,NULL,2250吨,564 宜昌号，053H3型（北约称江卫Ⅱ级)导弹护卫舰，广州造船厂制造，1999年12月服役，2000年2月16号正式命名。,广州造船厂,NULL,5000海里/16节,2座4联装“鹰击”-83反舰导弹发射架防空导弹,NULL,NULL,14米,NULL,NULL,舰船舰艇,护卫舰,180人,115米,中国,亚洲，欧洲,28节,NULL,“宜昌”号（564） ,NULL,{'$oid': '5cc931da831b973d657f1725'},NULL,NULL,2000-5000吨,NULL,1999年12月
http://images.huanqiu.com/sarons/2013/11/b88c6b436fd2a1181578f3234aa779e5.jpg,053H2G,在役,2980吨,"
421 纳莱颂恩(Naresuan)号，F25T型(纳来颂恩级)导弹护卫舰，是以053H2G为原型设计的出口泰国型。首舰“纳莱颂恩”号整体结构由上海中华造船厂建造，然后选择中国或西方国家的电子、武器装备进行安装。1992年2月开工建造，1993年7月24日建成下水，1994年12月15日服役。1993年7月24日出口泰国的新型导弹护卫舰“纳来颂恩”号（H.T.M.S.NARE SUAN）在中华船厂下水。泰国海军司令威切上将、船舶总公司副总经理王荣生、上海市人大常委会副主任胡传治、上海市原经委书记张定鸿等参加了下水典礼。
",上海中华造船厂,NULL,4000海里/18节,NULL,NULL,NULL,13米,NULL,NULL,舰船舰艇,护卫舰,150人,120米,中国,印度洋,32节,NULL,421 纳莱颂恩(Naresuan)号,1992年2月,{'$oid': '5cc931da831b973d657f1726'},NULL,1993年7月24日,2000-5000吨,NULL,1994年12月15日
http://images.huanqiu.com/sarons/2013/11/f569a69eec08fd1aad0723f26877d174.jpg,NULL,NULL,1960吨,"
555 昭通号，053H1型(江湖II级)护卫舰，1985年8月3日开工，1986年9月7日下水，1987年3月24日服役于南海舰队。
",广州造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.22米,中国,NULL,25.5节,NULL,“昭通”号（555）护卫舰,1985年8月3日,{'$oid': '5cc931db831b973d657f1727'},NULL,1986年9月7日,500-2000吨,NULL,1987年3月24日
NULL,NULL,服役中,1960吨,562 江门号，053H1G型（江湖Ⅴ级）导弹护卫舰。广州黄埔造船厂建造，1995年“江门舰”命名，现服役于南海舰队。,广州黄埔造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“江门”号（562）护卫舰,NULL,{'$oid': '5cc931db831b973d657f1728'},NULL,NULL,500-2000吨,NULL,1995年
NULL,T级,NULL,3076吨,"
K级常规动力攻击潜艇（Kilo class，基洛为Kilo的音译）是俄罗斯海军战后第三代、目前主力柴电潜艇。基洛级原型的苏俄编号是877级鲽鱼型，而后基洛级在经过现代化等改装后形成了基洛级改进型（Improved Kilo），俄方编号636级华沙之歌型。印度的基洛级经改装后被命名为Sindhughosh级。基洛级是目前俄罗斯出口量最大的潜艇等级。以火力强大、噪音小而闻名。

自前苏联成功研制核动力攻击潜艇后，对于一般动力潜艇的研究也相对减少了不少。而K级则是前苏联在这期间研制的最成功的柴电动力潜艇。该艇由红宝石设计局于1974年起开始设计，首艇1979年下水，1982年服役。其改进型更成为了柴电动力潜艇中的佼佼者。是目前世界上柴电动力潜艇中最安静的潜艇之一。 未来，基洛级可能将由拉达级潜艇取代。
",NULL,NULL,NULL,NULL,2325吨,NULL,9.9米,拉达级潜艇,240米,舰船舰艇,护卫舰,52人,74.3米,苏/俄,亚洲，欧洲,NULL,NULL,基洛级（877EKM/636/636M型）366号常规潜艇,1974年,{'$oid': '5cc931db831b973d657f1729'},NULL,1979年,2000-5000吨,NULL,1982年
NULL,053H2G,在役,2980吨,NULL,上海中华造船厂,NULL,4000海里/18节  ,NULL,NULL,NULL,13米,NULL,NULL,舰船舰艇,护卫舰,150人,120米,中国,印度洋,32节,NULL,422 塔克辛(Taksin)号,1992年2月,{'$oid': '5cc931db831b973d657f172a'},NULL,1994年5月14日,2000-5000吨,NULL,1995年9月28日
http://images.huanqiu.com/sarons/2013/11/c7269f1e009a2142f98f485f91500789.jpg,NULL,NULL,1960吨,江湖III型(053H2)导弹护卫舰首舰，1987年12月20日沪东造船厂开工建造，1989年10月30日下水，1990年11月17日服役，弦号537命名“舟山号”，2006年由东海舰队划拨北海舰队，弦号不变，重新命名为“沧州号”。,沪东造船厂,NULL,2700海里/18节,NULL,NULL,NULL,10.83米,NULL,NULL,舰船舰艇,护卫舰,160人,103.2米,中国,NULL,28节,沧州号,“舟山”号（537）护卫舰,1987年12月20日,{'$oid': '5cc931db831b973d657f172b'},NULL,1989年10月30日,500-2000吨,NULL,1990年11月17日
http://images.huanqiu.com/sarons/2013/11/75a4ebdf26d5375121e066b9651f3897.jpg,053H2护卫舰,NULL,1924吨,NULL,NULL,NULL,3500海里/18节  ,NULL,NULL,NULL,11.3米,NULL,NULL,舰船舰艇,护卫舰,168人,103.2米,中国,NULL,30节,，053HT型“湄南”级（“昭披耶”级）导弹护卫舰,455 昭披耶导弹护卫舰,1989年3月,{'$oid': '5cc931db831b973d657f172c'},NULL,1990年6月24日,500-2000吨,NULL,1991年4月5日
http://images.huanqiu.com/sarons/2013/11/b08953c2880ade5dd017c2d0de13b8c5.jpg,F22P型(剑级)导弹护卫舰,NULL,3144吨,NULL,中国上海沪东中华造船集团,NULL,4000海里,NULL,NULL,NULL,13.4米,NULL,NULL,舰船舰艇,护卫舰,NULL,123米,中国,NULL,29节,NULL,253 赛义夫(Saif)号护卫舰,NULL,{'$oid': '5cc931dc831b973d657f172d'},NULL,NULL,2000-5000吨,NULL,2009年至2010年间
NULL,053H2护卫舰,NULL,1924吨,NULL,NULL,NULL,3500海里/18节  ,NULL,NULL,NULL,11.3米,NULL,3.1米,舰船舰艇,护卫舰,168人,103.2米,中国,亚洲,30节,053HT型“湄南”级（“昭披耶”级）导弹护卫舰第二艘,456邦巴功号导弹护卫舰,1989年,{'$oid': '5cc931dc831b973d657f172e'},NULL,1990年7月25日,500-2000吨,NULL,1991年7月20日
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,护卫舰,NULL,NULL,中国,NULL,NULL,NULL,45米级导弹护卫艇,NULL,{'$oid': '5cc931dc831b973d657f172f'},NULL,NULL,NULL,NULL,NULL
NULL,053H2护卫舰,NULL,1924吨,NULL,NULL,NULL,3500海里/18节 ,NULL,NULL,NULL,11.3米,NULL,NULL,舰船舰艇,护卫舰,168人,103.2米,中国,亚洲,30节,053HT(H)型“湄南”级（“昭披耶”级）导弹护卫舰,458 塞巴里号导弹护卫舰,1990年,{'$oid': '5cc931dc831b973d657f1730'},NULL,1991年8月27日,500-2000吨,NULL,1992年8月4日
NULL,NULL,NULL,1662吨,956纳赛尔（Al Nasser）号，053H出口型(扎菲尔级)，埃及型，1981年6月-1982年底进行技术设计和施工设计。,NULL,NULL,2700海里（18节）,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103米,中国,NULL,26节,053H出口型(扎菲尔级),956 纳赛尔号护卫舰,1982年8月27日,{'$oid': '5cc931dc831b973d657f1731'},NULL,1983年12月20日,500-2000吨,NULL,1984年7月21日
NULL,053H2护卫舰,NULL,1924吨,457 克拉巴厘（Kraburi）号，053HT(H)型“湄南”级（“昭披耶”级）导弹护卫舰，是以053H2为原型设计的出口泰国型。1990年在沪东造船厂开工，1990年12月28日下水，1992年1月16日服役。这艘舰拆除了艉部的79式100MM56口径主炮，换上了直升机甲板。,沪东造船厂,NULL,3500海里/18节,NULL,NULL,NULL,11.3米,NULL,NULL,舰船舰艇,护卫舰,168人,103.2米,中国,NULL,30节,053HT(H)型“湄南”级（“昭披耶”级）导弹护卫舰,457 克拉巴厘号,1990年,{'$oid': '5cc931dc831b973d657f1732'},NULL,1990年12月28日,500-2000吨,NULL,1992年1月16日
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,护卫舰,NULL,NULL,中国,NULL,NULL,053H出口型,951 纳吉姆·扎费尔号导弹护卫舰,1982年8月27日,{'$oid': '5cc931dc831b973d657f1733'},NULL,1983年12月20日,NULL,NULL,1984年7月21日
http://images.huanqiu.com/sarons/2013/11/e104a75d24fbf63bc1c603e6bd79e83a.jpg,F22P型(剑级)导弹护卫舰,现役,3144吨,"
251佐勒菲卡尔(Zulfiquar)号，F22P型(剑级)导弹护卫舰，是为出口巴基斯坦而在053H3型护卫舰基础上所研制的，由中国上海沪东中华造船集团建造，2009年7月交付巴基斯坦海军。
",中国上海沪东中华造船集团,NULL,NULL,NULL,NULL,NULL,13.4米,NULL,NULL,舰船舰艇,护卫舰,NULL,123米,中国,NULL,29节,NULL,251 佐勒菲卡尔(Zulfiquar)号护卫舰,NULL,{'$oid': '5cc931dc831b973d657f1734'},NULL,NULL,2000-5000吨,NULL,2009年7月
http://images.huanqiu.com/sarons/2013/11/2b36858bd2c4fccaed7390272cc28cb3.jpg,F22P型(剑级)导弹护卫舰,NULL,NULL,"
252 沙姆谢尔(Shamsheer)号，F22P型(剑级)导弹护卫舰，是为出口巴基斯坦而在053H3型护卫舰基础上所研制的，由中国上海沪东中华造船集团建造，于2009年至2010年间交付巴基斯坦海军。
",中国上海沪东中华造船集团,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,护卫舰,NULL,NULL,中国,NULL,29节,NULL,252 沙姆谢尔(Shamsheer)号护卫舰,NULL,{'$oid': '5cc931dd831b973d657f1735'},NULL,NULL,NULL,NULL,2009年
http://images.huanqiu.com/sarons/2013/11/95884996f1c5df315d36551df45274c1.jpg,NULL,NULL,135吨,NULL,NULL,NULL,600海里,NULL,NULL,NULL,5.3米,NULL,NULL,舰船舰艇,护卫舰,36人,38.7米,中国,NULL,30节,NULL,062型(上海级)高速护卫艇 ,NULL,{'$oid': '5cc931dd831b973d657f1736'},NULL,NULL,500吨以内,NULL,1962年
http://images.huanqiu.com/sarons/2013/11/677b407ff2061394c02acca4ec1f6a09.jpg,F22P型(剑级)导弹护卫舰,现役,3144吨,"
254 阿斯雷特（Aslat）号，F22P型(剑级)导弹护卫舰第四艘，是中国为出口巴基斯坦而在053H3型护卫舰基础上所研制的。
",NULL,NULL,4000海里,NULL,NULL,NULL,13.4米,NULL,NULL,舰船舰艇,护卫舰,NULL,123米,中国,NULL,29节,NULL,254 阿斯雷特（Aslat）号护卫舰,NULL,{'$oid': '5cc931dd831b973d657f1737'},NULL,2011年6月16日,2000-5000吨,NULL,2013年4月19日
NULL,NULL,在役,NULL,"
1978年8月19日，印度通过海岸警卫法组建成立了继陆海空军后第四支武装力量海岸警卫队。这支队伍主要任务是在国防部的有效控制下对印度220万平方公里的专署经济区进行保护。
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,护卫舰,NULL,NULL,印度,NULL,NULL,NULL,海上防卫艇,NULL,{'$oid': '5cc931dd831b973d657f1738'},NULL,NULL,NULL,NULL,1986年9月19日（拉吉卡马 61）
http://images.huanqiu.com/sarons/2014/01/21fe5c384f663d872a8e882ebc7fa1c7.jpg,NULL,NULL,600吨,"阿兹玛特/AZMAT级导弹艇，2010年中巴签署采购2艘“阿兹玛特”级导弹艇的协议，同年首艇在天津新港造船厂安放龙骨，2011年9月24日下水，2012年4月交付，2012年6月加入巴基斯坦海军。“阿兹玛特”级除了海上突击，还要承担巡逻、护渔等长期任务，续航能力不可忽视。
 1013艇为阿兹玛特级导弹艇首艇。第二艘“Azmat” 级导弹快艇PNS Dehshat号于8月16日在巴基斯坦的Karachi Shipyard and Engineering Works (KS&EW)船厂下水。",NULL,NULL,1852千米,NULL,NULL,NULL,8.8米,NULL,NULL,舰船舰艇,护卫舰,60人,60米,巴基斯坦,NULL,30节,NULL,阿兹马特级护卫舰,NULL,{'$oid': '5cc931dd831b973d657f1739'},NULL,2011年9月24日,NULL,NULL,2012年6月
http://images.huanqiu.com/sarons/2013/11/3d67524e3e4d4c1e1e872a3a3bece818.jpg,NULL,NULL,4400吨,NULL,黄埔厂,NULL,3800海里/18节,2座4联装YJ-83反舰导弹发射架；防空导弹,NULL,15天,16米,NULL,NULL,舰船舰艇,护卫舰,190人,134米,中国,NULL,27节,NULL,烟台舰(538),NULL,{'$oid': '5cc931dd831b973d657f173a'},NULL,2010年8月24日,2000-5000吨,NULL,2011年7月30日
http://images.huanqiu.com/sarons/2014/01/74de46689bb3a54dc78684bba20bf8b2.jpg,NULL,NULL,2500吨,中国上海沪东中华造船厂为巴基斯坦海军建造的首艘F-22P型护卫舰正式交付。F-22P护卫舰从2005年开始设计建造，是在053H3的基础上研制而成的，装备了现代化的武器装备，并且能够携带Z9EC直升机。长桥楼舰型和全封闭结构。2009年底，巴基斯坦卡拉奇船厂已开始建造与中国联合研制的F-22P型护卫舰。根据中巴2005年签署的合同，巴总共订购了四艘F-22P型护卫舰，前三艘均由中方负责建造（首舰已于2009年7月交付巴海军），而第四艘则由巴方自行建造。,中国上海沪东中华造船厂，巴基斯坦卡拉奇船厂,NULL,6000海里/18节,NULL,NULL,NULL,13.2米,NULL,NULL,舰船舰艇,护卫舰,183人,118米,中国,NULL,30节,NULL,F-22P级护卫舰,2005年,{'$oid': '5cc931dd831b973d657f173b'},NULL,NULL,2000-5000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/12/62f57be7a0d43545731bf7b74d5f45e8.jpg,054型护卫舰,在役,4053吨,"
054A型护卫舰（北约代号：江凯II级）是我国海军最新型的护卫舰等级，目前有15艘在役。首舰徐州号（530）于2006年9月30日在广州黄埔造船厂下水，于2008年服役。舰身设计与054型护卫舰相仿，火力则比较054型护卫舰强劲许多，为我国海军装备的第一种区域防空型护卫舰。柳州号，中国第一型真正形成量产的隐身护卫舰。054A型（北约称江凯II级）导弹护卫舰，由沪东造船厂建造，2011年12月10日下水，2012年12月26日服役于南海舰队。
",沪东造船厂,NULL,3800海里/18节,NULL,NULL,NULL,15.2米,NULL,NULL,舰船舰艇,护卫舰,190人,134米,中国,NULL,27节,NULL,柳州号护卫舰（573）,NULL,{'$oid': '5cc931de831b973d657f173c'},NULL,2011年12月10日,2000-5000吨,NULL,2012年12月26日
http://images.huanqiu.com/sarons/2014/01/ac42059f5e55fad7311f50965b5e96d7.jpg,NULL,NULL,3000吨,NULL,NULL,NULL,3500海里/18节,NULL,NULL,NULL,17.5米,NULL,NULL,舰船舰艇,护卫舰,75人,115米,美国,NULL,43节,NULL,LCS-5/密尔沃基号濒海战斗舰,2011年,{'$oid': '5cc931de831b973d657f173d'},NULL,2013年12月18日,2000-5000吨,NULL,NULL
http://images.huanqiu.com/sarons/2014/01/9d4e88bd07b654ed4002c1a9ad7a5447.jpg,NULL,NULL,1470吨,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,160人,93米,日本,NULL,24节,NULL,“筑后”级导弹护卫舰,NULL,{'$oid': '5cc931de831b973d657f173e'},NULL,NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/03ad2e45717edd985254010686b0068b.jpg,NULL,NULL,4053吨,NULL,沪东造船厂,NULL,3800海里/18节 ,2座4联装YJ-83反舰导弹发射架；防空导弹,NULL,15天,15.2米,NULL,NULL,舰船舰艇,护卫舰,190人,134米,中国,NULL,27节,NULL,潍坊舰(550) ,NULL,{'$oid': '5cc931de831b973d657f173f'},NULL,2012年7月9日,2000-5000吨,NULL,2013年6月
