枪炮,图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,大类,类型,编制,舰长,产国,活动范围,航速,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间
NULL,http://images.huanqiu.com/sarons/2013/11/818e43a01268b61fdb66cdefb7dd592f.jpg,724型气垫登陆艇,现役,160吨,"
726型气垫登陆艇，北约代号玉义级（Yuyi-class），我国最新型中型气垫船。是中国人民解放军和海军使用的一种中型气垫登陆艇，由中航工业研制，江南造船厂生产，目前并不完全成熟，仍在实验中，仅小批量投产。
",江南造船厂,320公里,150吨,NULL,16米,舰船舰艇,气垫艇/气垫船,5人,30米,中国,NULL,80节,726型气垫登陆艇 ,2008年,{'$oid': '5cc93220831b973d657f190d'},NULL,2009年12月,500吨以内,2010年
两挺(双联)30毫米机枪。,http://images.huanqiu.com/sarons/2013/11/d51467684572dde6e648f634e8a871f0.jpg,NULL,NULL,87吨,"
配备 
",NULL,100英里，50节,NULL,NULL,11.2米,舰船舰艇,气垫艇/气垫船,4人,24.4米,苏/俄,NULL,50节,Lebed重型气垫船,NULL,{'$oid': '5cc93220831b973d657f190e'},NULL,NULL,500吨以内,1975年
NULL,http://images.huanqiu.com/sarons/2013/11/02fcadbc3ac7c1d0e0a278b0b24faca3.jpg,NULL,NULL,16吨,"
由安吉洛普洛斯家族捐赠给希腊海军，供特种部队使用。
",法比奥布兹(Fabio Buzzi，意大利),NULL,NULL,NULL,2.8米,舰船舰艇,气垫艇/气垫船,4人,16.4米,意大利,地中海,64节,高速拦截艇（HSIC）,NULL,{'$oid': '5cc93220831b973d657f190f'},NULL,NULL,500吨以内,NULL
一挺7.62毫米的机枪，一具40毫米的火箭筒。,NULL,NULL,NULL,6吨,"
 
",Jaroslawski Sudostroiteinyj Zawod公司,300英里，30节,NULL,NULL,5.8米,舰船舰艇,气垫艇/气垫船,6人,12米,苏/俄,NULL,33节,Czilim级轻型气垫船,NULL,{'$oid': '5cc93220831b973d657f1910'},NULL,1998年2月24日,500吨以内,2001年
一挺12.7毫米机枪。,http://images.huanqiu.com/sarons/2013/11/f0359526e8757eeead4ee41d65e2d13c.jpg,NULL,NULL,5.5吨,NULL,斯林斯贝公司(英国),400英里/30节,NULL,NULL,4.2米,舰船舰艇,气垫艇/气垫船,1人,10.6米,英国,NULL,40节,“斯林斯贝”SAH2200轻型气垫船,NULL,{'$oid': '5cc93220831b973d657f1911'},NULL,NULL,500吨以内,NULL
NULL,http://images.huanqiu.com/sarons/2013/11/d907e3c46219708488e33ec324472153.jpg,NULL,NULL,550吨,NULL,阿尔马兹船厂，大海造船厂,480千米/55节,NULL,NULL,25.6米,舰船舰艇,气垫艇/气垫船,27人,27.6米,苏/俄,NULL,63节,“赔鹏”782重型气垫船,1983年,{'$oid': '5cc93220831b973d657f1912'},NULL,NULL,500-2000吨,1988年
NULL,http://images.huanqiu.com/sarons/2014/01/9863388a3a83ea4cbd2ac7145324f1b4.jpg,NULL,在役,NULL,"
2001年7月，H-181将陷入加尔各答附近霍尔迪亚港口泥沙中的“陆南”号上的30名越南人营救出来。这次救援行动充分证明了H-181的价值。该型艇主要负责西孟加拉湾的安全巡逻。每艘艇上分配有两名军官和12名士兵。这些士兵都经过了机械、电子、航空、射击以及雷达测绘等方面的管理级培训。

这些艇的服役让印度成为南亚地区首个拥有海域保护气垫艇的国家。这些艇可以在浅海区、泥质滩地、桨挡水、河流和沼泽区域进行巡逻，以阻止走私、恐怖、贩毒以及军火走私等犯罪活动。这样的能力让这型艇能够执行两栖任务。该型挺还能进入其它常规舰艇无法进入的区域执行任务，这就大大提高了印度海岸警卫队任务执行能力。
",英国格里丰气垫船公司，加登•里奇造船工程有限公司，格里丰有限公司,400海里,NULL,NULL,11.3米,舰船舰艇,气垫艇/气垫船,12人,21.85米,印度,NULL,51节,气垫艇,NULL,{'$oid': '5cc93220831b973d657f1913'},NULL,NULL,NULL,2000年9月18日(H-181 )
NULL,NULL,NULL,NULL,NULL,NULL,ABS气垫船公司(英国)(瑞典特许生产),1111.2千米,NULL,NULL,8.8米,舰船舰艇,气垫艇/气垫船,2人,20.6米,英国,NULL,50节,ABS M-10中型气垫船,NULL,{'$oid': '5cc93220831b973d657f1914'},NULL,NULL,500吨以内,NULL
NULL,NULL,NULL,NULL,298吨,"
 
",NULL,50节行驶120英里,NULL,NULL,17.8米,舰船舰艇,气垫艇/气垫船,12人,47.3米,苏/俄,波罗的海里海。,70节,“鹳”级重型气垫船 ,1970年,{'$oid': '5cc93221831b973d657f1915'},NULL,NULL,500吨以内,NULL
NULL,http://images.huanqiu.com/sarons/2013/11/abff9c77920b9930f200192e761551ce.jpg,NULL,NULL,NULL,"
724型气垫登陆艇，由“上海第708设计学院”所设计研发的国产气垫登陆艇，1994年服役。大概20-30艘被中国海军水陆两栖舰队部署用于在大型登陆舰艇和滩头之间的人员和货物运送。每艘072-2（玉亭级）型大型登陆舰能携带二艘724型登陆艇，直接通过登陆舰的船尾门进入/离开入坞舱。
",NULL,100 英里,6吨,NULL,4.7米,舰船舰艇,气垫艇/气垫船,13人,12.4米,中国,亚洲,40节,724型气垫登陆艇,NULL,{'$oid': '5cc93221831b973d657f1916'},NULL,NULL,NULL,1994年
NULL,http://images.huanqiu.com/sarons/2013/11/3f91dec30059880d9516680a57ebfca9.jpg,NULL,现役,555吨,"
欧洲野牛级气垫登陆艇（Зубр，北约代号：Pomornik欧洲野牛）是世界上最大的气垫登陆艇，能用于两栖作战时的登陆运输任务，可对岸边的部队提供火力支持，同时还可运送和布置水雷。
",“大海”造船厂,480km/55节,480吨,5天,25.6米,舰船舰艇,气垫艇/气垫船,27人,57.3米,中国,NULL,60节,欧洲野牛气垫登陆舰,1983年,{'$oid': '5cc93221831b973d657f1917'},(4.5分),1986年,500-2000吨,1988年
