大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,编辑评分,型号,炮口初速,简介,口径,研发时间,总重
火炮,火箭炮,1985式107毫米单管火箭炮,NULL,8500米,{'$oid': '5cc93325831b973d657f1f9d'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
107毫米1985式单管火箭炮用于破坏和压制部队宿营地、机场、港口、仓库以及有生力量。
",107毫米,1985年,23千克
火炮,火箭炮,90A式122亳米轮式自行火箭炮 ,NULL,32000米,{'$oid': '5cc93325831b973d657f1f9e'},NULL,中国,NULL,9250毫米,NULL, HE-30,NULL,"
90A式122亳米轮式自行火箭炮，是我军最先进的122毫米自行火箭炮，它是将40管122毫米多管火箭发射架装在7.5吨级的铁马XC22006X6六轮越野卡车上而成。
",122毫米,NULL,20000千克
火炮,火箭炮,WS-1B式320毫米轮式自行火箭炮,NULL,80000米,{'$oid': '5cc93326831b973d657f1f9f'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
WS-1B多管火箭系统，一个火箭连为一个作战单元，包括1辆射击指挥车、6~9辆火箭发射车和6~9辆运输装填车。
",320毫米,NULL,505千克
火炮,火箭炮,WS-2多管火箭炮,NULL,360000米,{'$oid': '5cc93326831b973d657f1fa0'},http://images.huanqiu.com/sarons/2013/11/4fd53fa1ec439c4bbd9964daed4a220b.jpg,中国,NULL,NULL,NULL,NULL,NULL,"
WS-2（卫士二号）多管火箭炮，以高机动轮式越野车为运载方式，采用六联装贮运发射箱，火箭弹可根据不同的战略战术要求，换用六种以上不同类型的战斗部。该系统的火箭发射车通常以连作为基本作战单元，任务是攻击敌方400里内纵深范围内的目标。
",380毫米,NULL,NULL
火炮,火箭炮,PHZ89式122毫米火箭炮,NULL,30000米,{'$oid': '5cc93326831b973d657f1fa1'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
PHZ89式122毫米火箭炮由武器系统和底盘组成，战斗全重约33吨，弹药携行量80发，乘员5人，主要装备陆军装甲(机械化)部队。
",122毫米,NULL,33000千克
火炮,火箭炮,四式400mm重火箭,3220毫米,3700米,{'$oid': '5cc93326831b973d657f1fa2'},NULL,日本,NULL,NULL,NULL,NULL,NULL,"
重型炮兵火箭，主要装备火箭炮兵联队，这种火箭可以直接放在木架子或地面斜坡上发射，使用情况与203毫米重火箭一样，当然，这种火箭的威力更大。
",400毫米,NULL,220千克
火炮,火箭炮,83式273mm履带式自行火箭炮,NULL,40000米,{'$oid': '5cc93326831b973d657f1fa3'},NULL,中国,NULL,6190毫米,NULL,NULL,NULL,"
该炮它是由钢板冲压后组焊而成，定向器四周用薄钢板封闭，在定向器床上还装压弹器和挡弹器，在发射时可气动操纵自动解脱。
",273毫米,1983年,17541千克
火炮,火箭炮,BM-30龙卷风式多管火箭炮,NULL,90米,{'$oid': '5cc93326831b973d657f1fa4'},http://images.huanqiu.com/sarons/2014/05/bae40b4c7bcbcbc00232891e42e095e7.jpg,苏/俄,合金精密仪表设计局,NULL,(5分),NULL,NULL,NULL,300毫米,1987年,NULL
火炮,火箭炮,四式203毫米重火箭,NULL,2400米,{'$oid': '5cc93326831b973d657f1fa5'},NULL,日本,NULL,NULL,NULL,NULL,NULL,"
重型炮兵火箭，主要装备火箭炮兵联队，使用方便，日军在各个战场均有大量使用，为了争取火箭的精度，日军这种火箭的射程是不远的，主要用于近迫攻击。
",203毫米,NULL,227.6千克
火炮,火箭炮,90B122毫米多管火箭炮 ,NULL,40000米,{'$oid': '5cc93327831b973d657f1fa6'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
中国90B122毫米多管火箭炮主要用于歼灭和压制敌纵深内的有生力量、火力设施、集结的摩托化步兵、坦克等。
",122毫米,1990年,NULL
火炮,火箭炮,88式122毫米单管火箭炮,NULL,10200米,{'$oid': '5cc93327831b973d657f1fa7'},http://images.huanqiu.com/sarons/2013/11/a6a3201f36e75cd9c90b7c0d331f340a.jpg,中国,NULL,3000毫米,NULL,NULL,NULL,"
88式122毫米单管火箭炮是81式122毫米40管火箭炮的一种变型，于1988定型。
",122毫米,NULL,137.65千克
火炮,火箭炮,WM-80式273毫米火箭炮,NULL,80000米,{'$oid': '5cc93327831b973d657f1fa8'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
WM-80式273毫米火箭炮系统是在83式基型273毫米火箭炮系统基础上发展的远程火箭炮系统，是中国新近研制成的多管火箭炮之一。
",273毫米,NULL,505千克
火炮,火箭炮,82式130毫米轮式自行火箭炮,NULL,10200米,{'$oid': '5cc93327831b973d657f1fa9'},NULL,中国,NULL,6438毫米,NULL,NULL,NULL,"
82式130毫米30管火箭炮是63式130毫米19管火箭炮的改进型，于1982年设计定型。
",130毫米,NULL,8000千克
火炮,火箭炮,63式107mm牵引式火箭炮,NULL,8500米,{'$oid': '5cc93328831b973d657f1faa'},http://images.huanqiu.com/sarons/2013/11/f2ca1edc878e9662904a43c6e3a0a544.jpg,中国,NULL,2600毫米,NULL,NULL,NULL,"
中国的63式107毫米火箭筒看起来有些简陋，粘上泥土后竟然分不清是兵器还是农具，和高科技、数字化更粘不上边。尽管其貌不扬，但在其服役期间的40年中，却屡屡创出另人难以置信的奇迹。至今，使用它的武装力量遍布世界各地。
",107毫米,NULL,613千克
火炮,火箭炮,“短尾雕”II式火箭炮,NULL,33000米,{'$oid': '5cc93328831b973d657f1fab'},NULL,南非,NULL,NULL,NULL,NULL,NULL,"
“短尾雕”II式火箭炮是南非于1990年装备南非军队的一种127mm40管火箭炮。
",127毫米,NULL,21500千克
火炮,火箭炮,70式130毫米履带式自行火箭炮,NULL,10120米,{'$oid': '5cc93328831b973d657f1fac'},http://images.huanqiu.com/sarons/2013/11/961cb1c583fbf697fa6f29a55474f278.jpg,中国,NULL,5746毫米,NULL,NULL,NULL,"
70式130毫米火箭炮属于地面火箭炮兵的近程野战火箭武器，用以歼灭10千米内目标，并能在多种条件下执行各种战斗任务，以猛烈的火力打击敌人，支援各兵种战术行动。可两栖作战。
",130毫米,NULL,12800千克
火炮,火箭炮,“菲洛斯”6式火箭炮 ,NULL,6550米,{'$oid': '5cc93328831b973d657f1fad'},NULL,意大利,NULL,NULL,NULL,NULL,NULL,"
“菲洛斯”6式火箭炮是意大利于1977年开始研制的一种51mm48管自行火箭炮。可发射反坦克杀伤火箭弹、爆破燃烧火箭弹等。
",51毫米,1977年,NULL
火炮,火箭炮,BM-21式火箭炮,NULL,20380米,{'$oid': '5cc93328831b973d657f1fae'},http://images.huanqiu.com/sarons/2013/11/5c1d7c645678eef52f9834f4df0f3faf.jpg,苏/俄,NULL,7350毫米,NULL,NULL,NULL,"
BM-21式火箭炮是前苏联研制的一种122毫米40管自行火箭炮。
",122.4毫米,NULL,48000千克
火炮,火箭炮,“雷霆2000”火箭炮,NULL,45000米,{'$oid': '5cc93329831b973d657f1faf'},http://images.huanqiu.com/sarons/2013/11/2e56bd9ef02fd22ef119b77fd5b63ff4.jpg,中国,NULL,NULL,NULL,MK30或Mk45型火箭弹,NULL,"
“雷霆2000”火箭炮，采用MK30或Mk45型火箭弹，可配置钢珠高爆弹头或群子弹头，还装备有GPS定位系统和惯性导引系统，射击精度高。
",227毫米,1997年,NULL
火炮,火箭炮,75式火箭炮 ,NULL,15000米,{'$oid': '5cc93329831b973d657f1fb0'},http://images.huanqiu.com/sarons/2013/11/5001e87753563f6ca8a14ae66acc28ca.jpg,日本,三菱重工业,NULL,NULL,NULL,NULL,"
75式火箭炮是日本于1965年研制的一种130mm30管自行火箭炮。驾驶舱顶部安装一挺大口径机枪，用于自卫和防空。
",130毫米,1970年,16500千克
火炮,火箭炮,81式107毫米轮式自行火箭炮,NULL,8500米,{'$oid': '5cc93329831b973d657f1fb1'},http://images.huanqiu.com/sarons/2013/11/2a5433e34157eb43ef8e1ffb7b7781a4.jpg,中国,NULL,4510毫米,NULL,NULL,NULL,"
81式107毫米12管火箭炮于1980年研制，1982年设计定型并投入批量生产，装备部队。
",107毫米,NULL,NULL
火炮,火箭炮,81式122毫米轮式自行火箭炮,NULL,20580米,{'$oid': '5cc93329831b973d657f1fb2'},NULL,中国,NULL,7120毫米,NULL,NULL,NULL,"
81式122毫米40管火箭炮是仿制前苏联BM-21火箭炮的产品，1982年设计定型，是目前我军的主力火箭炮。
",122毫米,NULL,15532千克
火炮,火箭炮,63式130毫米轮式自行火箭炮,NULL,10120米,{'$oid': '5cc93329831b973d657f1fb3'},http://images.huanqiu.com/sarons/2013/11/14117c26d46f6ce230c6085b6aea4168.jpg,中国,NULL,5400毫米,NULL,NULL,NULL,"
63式130毫米19管火箭炮于1963年定型，大量装备部队，曾在79年中越战争中使用。
",130毫米,NULL,5570千克
火炮,火箭炮,M270式火箭炮,NULL,640000米,{'$oid': '5cc93329831b973d657f1fb4'},NULL,美国,NULL,6850毫米,NULL,M77式子弹,NULL,"
M270式火箭炮是美国研制的一种多管火箭炮。该型火箭炮由履带发射车、发射箱和火控系统3大部分组成。
",NULL,1977年,24950千克
火炮,火箭炮,63式107毫米牵引式火箭炮,NULL,8500米,{'$oid': '5cc9332a831b973d657f1fb5'},http://images.huanqiu.com/sarons/2013/11/061cc744f072faa8f14ca3f0ad8daa5a.jpg,中国,八零三厂,2600毫米,NULL,NULL,NULL,"
中国的63式107毫米火箭筒看起来有些简陋，粘上泥土后竟然分不清是兵器还是农具，和高科技、数字化更粘不上边。尽管其貌不扬，但在其服役期间的40年中，却屡屡创出另人难以置信的奇迹。
",107毫米,20世纪50年代末,613千克
火炮,火箭炮, “菲洛斯”30式122毫米火箭炮,NULL,33500米,{'$oid': '5cc9332a831b973d657f1fb6'},NULL,意大利,意大利斯尼亚BPD公司,3700毫米,NULL,NULL,NULL,"
意大利斯尼亚BPD公司研制的口径122毫米的40管自行式火箭炮。1987年装备意大利陆军师属火箭炮团。主要用于大面积杀伤人员、攻击装甲车辆及摧毁固定和半固定军事设施。
",122毫米,NULL,NULL
火炮,火箭炮,“飓风”220毫米火箭炮,NULL,40000米,{'$oid': '5cc9332a831b973d657f1fb7'},NULL,苏/俄,NULL,5000毫米,NULL,NULL,NULL,"
苏联研制的口径220毫米的16管自行式火箭炮。20世纪70年代中期研制，1977年装备苏联陆军集团军以上所属炮兵部队。用于歼灭集结的有生力量，压制集群坦克及装甲车辆等目标。
",220毫米,20世纪70年代中期,22750千克
火炮,火箭炮, “喀秋莎”火箭炮,NULL,8600米,{'$oid': '5cc9332a831b973d657f1fb8'},NULL,苏/俄,苏联沃罗涅日州“共产国际”兵工厂,NULL,NULL,NULL,NULL,"
苏联沃罗涅日州“共产国际”兵工厂生产的滑轨式自行式火箭炮。代号BM-13。当时为了保密，未公开火箭炮的正式名称，只将该炮生产工厂俄文名称的第一个字母“K”（读音喀）刻印在发射架上，炮兵部队便用俄罗斯少女常用的名字“喀秋莎”作为该炮的代名。

20世纪30年代末期研制，1941年6月苏德战争爆发后，苏联大量生产此炮，并装备苏军预备炮兵部队。主要用于压制面目标，歼灭集结步兵，摧毁浅近纵深内的技术兵器。在第二次世界大战中，该炮多次用于苏德战场。中国在50年代初期引进，装备炮兵师，在抗美援朝战争中发挥了重要作用。
",132毫米,20世纪30年代末期,NULL
火炮,火箭炮,83式273毫米履带式自行火箭炮,NULL,40000米,{'$oid': '5cc9332a831b973d657f1fb9'},http://images.huanqiu.com/sarons/2013/11/8a45f9d967512875f49302d4fb2dc457.jpg,中国,NULL,6190毫米,NULL,NULL,NULL,"
83式273毫米履带式自行火箭炮于1983年设计定型，并投入小批量生产，供部队试用。发射架为箱式桁架结构。
",273毫米,NULL,17541千克
火炮,火箭炮,“拉尔斯”火箭炮,NULL,14000米,{'$oid': '5cc9332a831b973d657f1fba'},http://images.huanqiu.com/sarons/2013/11/e9e68c518d9305151cd076045fde6f1b.jpg,德国,NULL,NULL,NULL,NULL,NULL,"
“拉尔斯”火箭炮是德国于1965年开始研制的一种110mm36管火箭炮。
",122毫米,1965年,NULL
火炮,火箭炮,BMD-20 200毫米火箭炮,NULL,19500米,{'$oid': '5cc9332b831b973d657f1fbb'},NULL,苏/俄,NULL,7200毫米,NULL,NULL,NULL,"
苏联研制的口径200毫米的4管自行式火箭炮。是苏联研制的第一种重型火箭炮。20世纪50年代初装备苏联陆军，并出口古巴和朝鲜等国。主要用于对面目标进行压制射击。50年代中期被淘汰。
",200毫米,20世纪50年代初,8700千克
火炮,火箭炮, LAR-160式160毫米火箭炮,NULL,30000米,{'$oid': '5cc9332b831b973d657f1fbc'},http://images.huanqiu.com/sarons/2014/03/27064b3705bc67ff160bba491edc559f.jpg,以色列,以色列军事工业公司,3460毫米,NULL,NULL,NULL,"
以色列军事工业公司研制的口径160毫米多管火箭炮。有自行式和牵引式两种。自行式火箭炮于1982年装备以色列陆军，并在对黎巴嫩作战中首次使用。1986年又发展一种轻型牵引式火箭炮。主要用于压制和摧毁装甲部队、机械化部队以及固定和半固定军事设施。
",160毫米,NULL,NULL
火炮,火箭炮,PF-98式120毫米反坦克火箭,NULL,1800米,{'$oid': '5cc9332b831b973d657f1fbd'},http://images.huanqiu.com/sarons/2013/11/768c992e07d71f2cd4c74bcf71ef784a.jpg,中国,NULL,NULL,NULL,NULL,NULL,"
PF98式120毫米反坦克火箭，一经出现就受到各方面的重视。目前该武器已经在部队部署，以其强大的破甲威力和完备的火控系统在中国重型武器中占据重要地位。
",120毫米,NULL,6.28千克
火炮,火箭炮,85式130毫米自行火箭炮,NULL,15000米,{'$oid': '5cc9332b831b973d657f1fbe'},http://images.huanqiu.com/sarons/2013/11/35fcc787376bf550d258c5b27953031d.jpg,中国,NULL,NULL,NULL,63式130毫米爆破杀伤火箭弹,NULL,"
85式130亳米履带式自行火箭炮，则由30管82式130亳米多管火箭炮发射器与885式装甲运兵车的底盘相结合而成，具有一定的装甲防护能力。
",130毫米,NULL,14500千克
火炮,火箭炮,PF97式93毫米单兵云爆火箭,NULL,850米,{'$oid': '5cc9332b831b973d657f1fbf'},NULL,苏/俄,NULL,920毫米,NULL,NULL,NULL,"
PF97式93毫米单兵云爆火箭是一种仿制的云爆武器，1996年开始在俄罗斯“什米尔－2”单兵云爆弹技术进行国产化研制，2000年定型。所采用的材料及工艺全部实现了国产化，性能完全达到“什米尔－2”的水平，并且有些技术指标超过了“什米尔－2”的指标要求。
",93毫米,1996年,39千克
火炮,火箭炮,81式107毫米轮式自行火箭炮,NULL,8500米,{'$oid': '5cc9332b831b973d657f1fc0'},http://images.huanqiu.com/sarons/2013/11/ec492365023ba762d6d5b85177b7c14c.jpg,中国,NULL,4510毫米,NULL,NULL,NULL,"
81式107毫米轮式自行火箭炮，于1980年研制，1982年设计定型并投入批量生产。
",107毫米,NULL,NULL
火炮,火箭炮,“特鲁埃尔”3式140毫米火箭炮,NULL,28000米,{'$oid': '5cc9332c831b973d657f1fc1'},NULL,西班牙,西班牙圣·巴巴拉军事工业公司,3470毫米,NULL,NULL,687米/秒,"
西班牙圣·巴巴拉军事工业公司研制的口径140毫米的40管自行式火箭炮。20世纪80年代初期开始研制，1985年装备西班牙陆军。主要用于对集群目标实施饱和射击。
",140毫米,20世纪80年代初期,76千克
火炮,火箭炮,“普利玛”122毫米火箭炮,NULL,20500米,{'$oid': '5cc9332c831b973d657f1fc2'},NULL,苏/俄,NULL,NULL,NULL,NULL,NULL,"
苏联研制的口径122毫米的50管自行式火箭炮。20世纪80年代初开始研制，1987年装备陆军师一级。每个火箭炮营装备12门，战时可扩大到18门。
",122毫米,20世纪80年代初,13900千克
火炮,火箭炮,LAU-97式70毫米火箭炮,NULL,10000米,{'$oid': '5cc9332c831b973d657f1fc3'},NULL,比利时,比利时泽布勒赫铸造厂,NULL,NULL,NULL,NULL,LAU-97式70毫米火箭炮是比利时泽布勒赫铸造厂研制的口径70毫米的40管轻型火箭炮。分牵引式和自行式两种。1984年曾进行过射击表演，装备团一级部队，用于对面目标设计。,70毫米,1997年,1200千克
火炮,火箭炮,RM70 122毫米火箭炮,NULL,20380米,{'$oid': '5cc9332c831b973d657f1fc4'},http://images.huanqiu.com/sarons/2014/03/238d38ed282b1dc213625818ff21c101.jpg,捷克,NULL,NULL,NULL,NULL,NULL,"
RM70 122毫米火箭炮是捷克和斯洛伐克生产的口径122毫米的40管自行式火箭炮。是在苏联BM-21式多管火箭炮基础上改进而成。1972年在捷克、斯洛伐克阅兵上首次出现，西方称为M-1972式，装备捷克、斯洛伐克陆军摩托化步兵师和坦克师。主要用于对大面积目标实施集中射击。曾出口德国和利比亚等国。
",122毫米,NULL,24000千克
火炮,火箭炮,“阿斯特罗斯”Ⅱ式火箭炮,3900毫米,30000米,{'$oid': '5cc9332c831b973d657f1fc5'},NULL,巴西,巴西宇航工业公司,NULL,NULL,NULL,NULL,"
“阿斯特罗斯”Ⅱ式火箭炮是巴西宇航工业公司研制的自行式火箭炮。是一种炮兵面饱和火箭攻击系统。可配用3中发射箱。20世纪80年代开始研制，1983年装备巴西陆军师属炮兵，可攻击9~60千米纵深内的炮阵地和群集目标。曾出口利比亚、伊拉克、沙特阿拉伯等国。伊拉克军队在海湾战争中曾使用过此火箭炮。
",127毫米,20世纪80年代,68千克
火炮,火箭炮, “旋风”300毫米火箭炮,NULL,100000米,{'$oid': '5cc9332d831b973d657f1fc6'},NULL,苏/俄,苏联“合金”国家科研生产联合体,NULL,NULL,NULL,NULL,"
苏联“合金”国家科研生产联合体研制和生产的口径300毫米的12管自行式火箭炮。又译为“龙卷风”，代号为9K58或BM－30。1983年定型，1987年装备苏军师属炮兵部队。1990年2月在吉隆坡亚洲防务展览会上首次展出。是90年代装备部队的口径最大的火箭炮。用于攻击对面目标，歼灭有生力量，摧毁军事设施。
",300毫米,NULL,43100千克
